MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/26/2023 00:00:00,Brown Andrew William Fraser,4,S-Sale,--D,9097,44964,1,0001593803,Class A Common Stock
D,06/22/2023 00:00:00,Murphy John Francis,4,S-Sale,--D,9097,36396,1,0001417762,Class A Common Stock
D,06/20/2023 00:00:00,Colgrove John,4,F-InKind,--D,15309,8020317,1,0001651902,Class A Common Stock
D,06/20/2023 00:00:00,Singh Ajay,4,F-InKind,--D,23403,390990,1,0001897944,Class A Common Stock
D,06/20/2023 00:00:00,FitzSimons Dan,4,M-Exempt,--D,25000,0,4,0001958028,Stock Option (right to buy)
D,06/20/2023 00:00:00,FitzSimons Dan,4,S-Sale,--D,40668,160119,3,0001958028,Class A Common Stock
A,06/20/2023 00:00:00,FitzSimons Dan,4,M-Exempt,--D,25000,200787,2,0001958028,Class A Common Stock
D,06/20/2023 00:00:00,FitzSimons Dan,4,F-InKind,--D,16743,175787,1,0001958028,Class A Common Stock
D,06/20/2023 00:00:00,Giancarlo Charles H,4,F-InKind,--D,43739,1824038,1,0001299634,Class A Common Stock
D,06/20/2023 00:00:00,Chu Mona,4,F-InKind,--D,2849,152575,1,0001915915,Class A Common Stock
D,06/20/2023 00:00:00,Krysler P. Kevan,4,S-Sale,--D,26925,528059,2,0001584979,Class A Common Stock
D,06/20/2023 00:00:00,Krysler P. Kevan,4,F-InKind,--D,29072,554984,1,0001584979,Class A Common Stock
D,06/15/2023 00:00:00,Chu Mona,4,S-Sale,--D,7567,155424,1,0001915915,Class A Common Stock
A,06/14/2023 00:00:00,Dietzen Scott,4,A-Award,--D,8543,105377,1,0001651908,Class A Common Stock
A,06/14/2023 00:00:00,Tomb Gregory,4,A-Award,--D,8543,39087,1,0001804221,Class A Common Stock
A,06/14/2023 00:00:00,Taylor Roxanne,4,A-Award,--D,8543,71959,1,0001768759,Class A Common Stock
A,06/14/2023 00:00:00,Rothschild Jeffrey,4,A-Award,--D,8543,98470,1,0001550341,Class A Common Stock
A,06/14/2023 00:00:00,Taylor Susan J.S.,4,A-Award,--D,8543,90633,1,0001541774,Class A Common Stock
A,06/14/2023 00:00:00,Brown Andrew William Fraser,4,A-Award,--D,8543,54061,1,0001593803,Class A Common Stock
A,06/14/2023 00:00:00,Yen Mallun,4,A-Award,--D,8543,52811,1,0001511893,Class A Common Stock
A,06/14/2023 00:00:00,Murphy John Francis,4,A-Award,--D,8543,45493,1,0001417762,Class A Common Stock
D,06/13/2023 00:00:00,Singh Ajay,4,S-Sale,--D,37084,414393,1,0001897944,Class A Common Stock
A,06/10/2023 00:00:00,Giancarlo Charles H,4,A-Award,--D,813526,813526,2,0001299634,Stock-Related Performance Restricted Stock Unit
A,06/10/2023 00:00:00,Krysler P. Kevan,4,A-Award,--D,284734,284734,2,0001584979,Stock-Related Performance Restricted Stock Unit
A,06/10/2023 00:00:00,Singh Ajay,4,A-Award,--D,284734,284734,2,0001897944,Stock-Related Performance Restricted Stock Unit
A,06/10/2023 00:00:00,Colgrove John,4,A-Award,--D,284734,284734,5,0001651902,Stock-Related Performance Restricted Stock Unit
A,06/10/2023 00:00:00,FitzSimons Dan,4,A-Award,--D,284734,284734,2,0001958028,Stock-Related Performance Restricted Stock Unit
A,06/10/2023 00:00:00,Chu Mona,4,A-Award,--D,61014,61014,2,0001915915,Stock-Related Performance Restricted Stock Unit
D,06/02/2023 00:00:00,Chu Mona,4,S-Sale,--D,11053,162991,1,0001915915,Class A Common Stock
D,04/13/2023 00:00:00,Taylor Roxanne,4,S-Sale,--D,19155,63416,1,0001768759,Class A Common Stock
D,03/21/2023 00:00:00,FitzSimons Dan,4,S-Sale,--D,28481,192530,2,0001958028,Class A Common Stock
D,03/20/2023 00:00:00,Singh Ajay,4,F-InKind,--D,37036,451477,1,0001897944,Class A Common Stock
D,03/20/2023 00:00:00,Krysler P. Kevan,4,F-InKind,--D,56695,584056,1,0001584979,Class A Common Stock
D,03/20/2023 00:00:00,Giancarlo Charles H,4,F-InKind,--D,111801,1867777,1,0001299634,Class A Common Stock
D,03/20/2023 00:00:00,FitzSimons Dan,4,F-InKind,--D,35334,221011,1,0001958028,Class A Common Stock
D,03/20/2023 00:00:00,Colgrove John,4,F-InKind,--D,37300,8035626,1,0001651902,Class A Common Stock
D,03/20/2023 00:00:00,Chu Mona,4,F-InKind,--D,2751,174044,1,0001915915,Class A Common Stock
A,03/14/2023 00:00:00,Singh Ajay,4,A-Award,--D,159543,488136,1,0001897944,Class A Common Stock
A,03/14/2023 00:00:00,Krysler P. Kevan,4,A-Award,--D,159543,640374,1,0001584979,Class A Common Stock
A,03/14/2023 00:00:00,Giancarlo Charles H,4,A-Award,--D,455835,1979201,1,0001299634,Class A Common Stock
A,03/14/2023 00:00:00,FitzSimons Dan,4,A-Award,--D,136751,255968,1,0001958028,Class A Common Stock
A,03/14/2023 00:00:00,Colgrove John,4,A-Award,--D,159543,8072926,1,0001651902,Class A Common Stock
D,12/29/2022 00:00:00,Krysler P. Kevan,4,S-Sale,--D,27679,480831,1,0001584979,Class A Common Stock
D,12/27/2022 00:00:00,Tomb Gregory,4,S-Sale,--D,10643,30544,1,0001804221,Class A Common Stock
D,12/21/2022 00:00:00,FitzSimons Dan,4,S-Sale,--D,10918,119217,2,0001958028,Class A Common Stock
D,12/21/2022 00:00:00,Brown Andrew William Fraser,4,S-Sale,--D,9930,45518,1,0001593803,Class A Common Stock
D,12/20/2022 00:00:00,FitzSimons Dan,4,F-InKind,--D,11667,130135,1,0001958028,Class A Common Stock
D,12/20/2022 00:00:00,Giancarlo Charles H,4,F-InKind,--D,42717,1523366,1,0001299634,Class A Common Stock
D,12/20/2022 00:00:00,Krysler P. Kevan,4,F-InKind,--D,30199,508510,1,0001584979,Class A Common Stock
D,12/20/2022 00:00:00,Singh Ajay,4,F-InKind,--D,16812,328593,1,0001897944,Class A Common Stock
D,12/20/2022 00:00:00,Colgrove John,4,F-InKind,--D,17030,7913383,1,0001651902,Class A Common Stock
D,12/20/2022 00:00:00,Chu Mona,4,F-InKind,--D,3645,176418,1,0001915915,Class A Common Stock
D,09/20/2022 00:00:00,Singh Ajay,4,F-InKind,--D,16811,345405,1,0001897944,Class A Common Stock
D,09/20/2022 00:00:00,Krysler P. Kevan,4,F-InKind,--D,30199,538709,1,0001584979,Class A Common Stock
D,09/20/2022 00:00:00,Giancarlo Charles H,4,F-InKind,--D,42716,1566083,1,0001299634,Class A Common Stock
D,09/20/2022 00:00:00,Chu Mona,4,F-InKind,--D,2802,180063,1,0001915915,Class A Common Stock
D,09/20/2022 00:00:00,Colgrove John,4,F-InKind,--D,17030,7930413,1,0001651902,Class A Common Stock
D,09/12/2022 00:00:00,Brown Andrew William Fraser,4,S-Sale,--D,12637,55448,1,0001593803,Class A Common Stock
A,06/28/2022 00:00:00,Dietzen Scott,5,J-Other,--I,173500,173500,3,0001651908,Class A Common Stock
A,06/28/2022 00:00:00,Dietzen Scott,5,J-Other,--I,173500,173500,2,0001651908,Class A Common Stock
D,06/28/2022 00:00:00,Dietzen Scott,5,J-Other,--I,347000,0,1,0001651908,Class A Common Stock
D,06/20/2022 00:00:00,Singh Ajay,4,F-InKind,--D,16811,361843,1,0001897944,Class A Common Stock
D,06/20/2022 00:00:00,Krysler P. Kevan,4,F-InKind,--D,30199,568601,1,0001584979,Class A Common Stock
D,06/20/2022 00:00:00,Giancarlo Charles H,4,F-InKind,--D,42716,1608492,1,0001299634,Class A Common Stock
D,06/20/2022 00:00:00,Colgrove John,4,F-InKind,--D,17029,7947443,1,0001651902,Class A Common Stock
D,06/20/2022 00:00:00,Chu Mona,4,F-InKind,--D,2542,182558,1,0001915915,Class A Common Stock
A,06/15/2022 00:00:00,Taylor Roxanne,4,A-Award,--D,9097,82571,1,0001768759,Class A Common Stock
A,06/15/2022 00:00:00,Taylor Susan J.S.,4,A-Award,--D,9097,82090,1,0001541774,Class A Common Stock
A,06/15/2022 00:00:00,Tomb Gregory,4,A-Award,--D,9097,41187,1,0001804221,Class A Common Stock
A,06/15/2022 00:00:00,Dietzen Scott,4,A-Award,--D,9097,96834,1,0001651908,Class A Common Stock
A,06/15/2022 00:00:00,Murphy John Francis,4,A-Award,--D,9097,36950,1,0001417762,Class A Common Stock
A,06/15/2022 00:00:00,Yen Mallun,4,A-Award,--D,9097,44268,1,0001511893,Class A Common Stock
A,06/15/2022 00:00:00,Rothschild Jeffrey,4,A-Award,--D,9097,89927,1,0001550341,Class A Common Stock
A,06/15/2022 00:00:00,Brown Andrew William Fraser,4,A-Award,--D,9097,68085,1,0001593803,Class A Common Stock
D,03/23/2022 00:00:00,Singh Ajay,4,S-Sale,--D,36338,378654,1,0001897944,Class A Common Stock
D,03/21/2022 00:00:00,Brown Andrew William Fraser,4,S-Sale,--D,11564,58988,1,0001593803,Class A Common Stock
D,03/20/2022 00:00:00,Singh Ajay,4,F-InKind,--D,62943,414992,1,0001897944,Class A Common Stock
D,03/20/2022 00:00:00,Krysler P. Kevan,4,F-InKind,--D,56420,598800,1,0001584979,Class A Common Stock
D,03/20/2022 00:00:00,Giancarlo Charles H,4,F-InKind,--D,125851,1651208,1,0001299634,Class A Common Stock
D,03/20/2022 00:00:00,Colgrove John,4,F-InKind,--D,44050,7964472,1,0001651902,Class A Common Stock
A,03/15/2022 00:00:00,Colgrove John,4,A-Award,--D,210967,8008522,1,0001651902,Class A Common Stock
A,03/15/2022 00:00:00,Giancarlo Charles H,4,A-Award,--D,602764,1776087,1,0001299634,Class A Common Stock
A,03/15/2022 00:00:00,Singh Ajay,4,A-Award,--D,195898,477562,1,0001897944,Class A Common Stock
A,03/15/2022 00:00:00,Krysler P. Kevan,4,A-Award,--D,210967,654248,1,0001584979,Class A Common Stock
A,03/15/2022 00:00:00,Chu Mona,4,A-Award,--D,117598,185100,1,0001915915,Class A Common Stock
D,12/20/2021 00:00:00,Krysler P. Kevan,4,F-InKind,--D,21482,443281,1,0001584979,Class A Common Stock
D,12/20/2021 00:00:00,Giancarlo Charles H,4,F-InKind,--D,30589,1173323,1,0001299634,Class A Common Stock
D,12/20/2021 00:00:00,Colgrove John,4,F-InKind,--D,13444,7797555,1,0001651902,Class A Common Stock
D,12/09/2021 00:00:00,Krysler P. Kevan,4,S-Sale,--D,26444,464763,1,0001584979,Class A Common Stock
D,12/02/2021 00:00:00,Tomb Gregory,4,S-Sale,--D,29311,32090,1,0001804221,Class A Common Stock
A,12/01/2021 00:00:00,Murphy John Francis,4,A-Award,--D,6324,27853,2,0001417762,Class A Common Stock
A,12/01/2021 00:00:00,Murphy John Francis,4,A-Award,--D,21529,21529,1,0001417762,Class A Common Stock
D,09/20/2021 00:00:00,Krysler P. Kevan,4,F-InKind,--D,21481,491207,1,0001584979,Class A Common Stock
D,09/20/2021 00:00:00,Giancarlo Charles H,4,F-InKind,--D,44991,1203912,1,0001299634,Class A Common Stock
D,09/20/2021 00:00:00,Colgrove John,4,F-InKind,--D,13445,7810999,1,0001651902,Class A Common Stock
A,09/13/2021 00:00:00,Yen Mallun,4,A-Award,--D,7986,35171,2,0001511893,Class A Common Stock
A,09/13/2021 00:00:00,Yen Mallun,4,A-Award,--D,27185,27185,1,0001511893,Class A Common Stock
D,09/10/2021 00:00:00,Sands Anita M,4,M-Exempt,--D,60000,138000,4,0001589849,Stock Option (right to buy)
D,09/10/2021 00:00:00,Sands Anita M,4,S-Sale,--D,14157,26819,3,0001589849,Class A Common Stock
D,09/10/2021 00:00:00,Sands Anita M,4,S-Sale,--D,60000,40976,2,0001589849,Class A Common Stock
A,09/10/2021 00:00:00,Sands Anita M,4,M-Exempt,--D,60000,100976,1,0001589849,Class A Common Stock
D,06/20/2021 00:00:00,Krysler P. Kevan,4,F-InKind,--D,21481,511716,1,0001584979,Class A Common Stock
D,06/20/2021 00:00:00,Giancarlo Charles H,4,F-InKind,--D,44991,1247931,1,0001299634,Class A Common Stock
D,06/20/2021 00:00:00,Colgrove John,4,F-InKind,--D,13444,7824444,1,0001651902,Class A Common Stock
A,06/15/2021 00:00:00,Tomb Gregory,4,A-Award,--D,12637,61401,1,0001804221,Class A Common Stock
A,06/15/2021 00:00:00,Taylor Susan J.S.,4,A-Award,--D,12637,72993,1,0001541774,Class A Common Stock
A,06/15/2021 00:00:00,Taylor Roxanne,4,A-Award,--D,12637,73474,1,0001768759,Class A Common Stock
