MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/13/2023 00:00:00,Tellem Nancy,4,A-Award,--D,23193,72508,1,0001797895,Class A common stock
A,06/13/2023 00:00:00,SHANK SUZANNE F.,4,A-Award,--D,23193,72508,1,0001713197,Class A common stock
A,06/13/2023 00:00:00,MARINER JONATHAN D,4,A-Award,--D,23193,67750,1,0001063663,Class A common stock
D,03/07/2023 00:00:00,Brown Brian Nicholas,4,F-InKind,--D,24283,608363,1,0001820672,Class A common stock
D,03/07/2023 00:00:00,Farner Jay,4,F-InKind,--D,97125,5843882,1,0001816502,Class A common stock
A,03/03/2023 00:00:00,Emerson William C.,4,A-Award,--D,694444,743987,1,0001965677,Class A common stock
A,03/03/2023 00:00:00,Brown Brian Nicholas,4,A-Award,--D,260417,632646,1,0001820672,Class A common stock
A,03/03/2023 00:00:00,John Tina V.,4,A-Award,--D,202546,211499,1,0001948779,Class A common stock
A,03/03/2023 00:00:00,Walters Robert D. Jr.,4,A-Award,--D,347222,966124,1,0001816534,Class A common stock
A,12/27/2022 00:00:00,Rizik Matthew,4,P-Purchase,--D,2000,571502,1,0001817213,Class A common stock
A,12/23/2022 00:00:00,Rizik Matthew,4,P-Purchase,--D,2900,569502,2,0001817213,Class A common stock
A,12/22/2022 00:00:00,Rizik Matthew,4,P-Purchase,--D,3000,566602,1,0001817213,Class A common stock
A,12/21/2022 00:00:00,Rizik Matthew,4,P-Purchase,--D,2800,563602,3,0001817213,Class A common stock
A,12/20/2022 00:00:00,Rizik Matthew,4,P-Purchase,--D,2800,560802,2,0001817213,Class A common stock
A,12/19/2022 00:00:00,Rizik Matthew,4,P-Purchase,--D,2700,558002,1,0001817213,Class A common stock
A,12/19/2022 00:00:00,Farner Jay,4,P-Purchase,--D,1000,5941007,1,0001816502,Class A common stock
A,12/16/2022 00:00:00,Farner Jay,4,P-Purchase,--D,25200,5940007,2,0001816502,Class A common stock
