MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/30/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1260,124042,5,0001447652,Common Stock
D,05/30/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1332,125302,4,0001447652,Common Stock
D,05/30/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,704,126634,3,0001447652,Common Stock
D,05/30/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,3168,127338,2,0001447652,Common Stock
D,05/30/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,3536,130506,1,0001447652,Common Stock
A,05/17/2023 00:00:00,McEvoy Robert Ambrose,4,A-Award,--D,615,21741,1,0001656431,Common Stock
A,05/17/2023 00:00:00,DELLAQUILA FRANK J,4,A-Award,--D,615,1382,1,0001470848,Common Stock
A,05/17/2023 00:00:00,Colonias Karen Winifred,4,A-Award,--D,615,615,1,0001457051,Common Stock
A,05/17/2023 00:00:00,Baldwin Lisa,4,A-Award,--D,615,3586,1,0001790611,Common Stock
A,05/17/2023 00:00:00,Stotlar Douglas,4,A-Award,--I,615,8241,1,0001311702,Common Stock
A,05/17/2023 00:00:00,Seeger David W,4,A-Award,--D,615,1382,1,0001753192,Common Stock
A,05/17/2023 00:00:00,KAMINSKI MARK V,4,A-Award,--D,615,15482,1,0001121844,Common Stock
A,03/17/2023 00:00:00,HOFFMAN JAMES DONALD,4,G-Gift,--I,78709,134042,2,0001447652,Common Stock
D,03/17/2023 00:00:00,HOFFMAN JAMES DONALD,4,G-Gift,--D,78709,19680,1,0001447652,Common Stock
D,03/03/2023 00:00:00,Mollins Sean Michael,4,S-Sale,--D,4750,16930,2,0001871348,Common Stock
A,03/01/2023 00:00:00,Mollins Sean Michael,4,A-Award,--D,1129,21680,1,0001871348,Common Stock
A,03/01/2023 00:00:00,Ajemyan Arthur,4,A-Award,--D,1129,14136,1,0001777542,Common Stock
A,03/01/2023 00:00:00,Lewis Karla R,4,A-Award,--D,5809,121258,1,0001256541,Common Stock
A,03/01/2023 00:00:00,Durham Jeffrey Wayne,4,A-Award,--D,1129,30154,1,0001765800,Common Stock
A,03/01/2023 00:00:00,Hynes Michael R,4,A-Award,--D,1129,7013,1,0001935259,Common Stock
A,03/01/2023 00:00:00,Smith William A II,4,A-Award,--D,1129,24366,1,0001408793,Common Stock
A,03/01/2023 00:00:00,Koch Stephen Paul,4,A-Award,--D,3066,20276,1,0001488432,Common Stock
D,02/27/2023 00:00:00,Ajemyan Arthur,4,G-Gift,--D,21,13007,2,0001777542,Common Stock
D,02/27/2023 00:00:00,Ajemyan Arthur,4,S-Sale,--D,1640,13028,1,0001777542,Common Stock
D,02/22/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,2835,55333,14,0001447652,Common Stock
D,02/22/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,11795,58168,13,0001447652,Common Stock
D,02/22/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,970,69963,12,0001447652,Common Stock
D,02/22/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1300,70933,11,0001447652,Common Stock
D,02/22/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1827,72233,10,0001447652,Common Stock
D,02/22/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1273,74060,9,0001447652,Common Stock
D,02/21/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1178,75333,8,0001447652,Common Stock
D,02/21/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1761,76511,7,0001447652,Common Stock
D,02/21/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1600,78272,6,0001447652,Common Stock
D,02/21/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,1400,79872,5,0001447652,Common Stock
D,02/21/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,8165,81272,4,0001447652,Common Stock
D,02/21/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--I,5896,89437,3,0001447652,Common Stock
D,02/17/2023 00:00:00,HOFFMAN JAMES DONALD,4,F-InKind,--D,60405,98389,2,0001447652,Common Stock
D,02/17/2023 00:00:00,HOFFMAN JAMES DONALD,4,A-Award,--D,139114,158794,1,0001447652,Common Stock
D,02/17/2023 00:00:00,Hynes Michael R,4,F-InKind,--D,1114,5884,2,0001935259,Common Stock
D,02/17/2023 00:00:00,Hynes Michael R,4,A-Award,--D,3610,6998,1,0001935259,Common Stock
D,02/17/2023 00:00:00,Mollins Sean Michael,4,F-InKind,--D,1511,20551,2,0001871348,Common Stock
D,02/17/2023 00:00:00,Mollins Sean Michael,4,A-Award,--D,4226,22062,1,0001871348,Common Stock
D,02/17/2023 00:00:00,Koch Stephen Paul,4,F-InKind,--D,7984,17210,2,0001488432,Common Stock
D,02/17/2023 00:00:00,Koch Stephen Paul,4,A-Award,--D,19708,25194,1,0001488432,Common Stock
D,02/17/2023 00:00:00,Ajemyan Arthur,4,F-InKind,--D,1808,14668,2,0001777542,Common Stock
D,02/17/2023 00:00:00,Ajemyan Arthur,4,A-Award,--D,4830,16476,1,0001777542,Common Stock
D,02/17/2023 00:00:00,Durham Jeffrey Wayne,4,F-InKind,--D,7169,29025,2,0001765800,Common Stock
D,02/17/2023 00:00:00,Durham Jeffrey Wayne,4,A-Award,--D,19708,36194,1,0001765800,Common Stock
D,02/17/2023 00:00:00,Smith William A II,4,F-InKind,--D,8681,23237,2,0001408793,Common Stock
D,02/17/2023 00:00:00,Smith William A II,4,A-Award,--D,18694,31918,1,0001408793,Common Stock
D,02/17/2023 00:00:00,Lewis Karla R,4,F-InKind,--D,35803,115449,2,0001256541,Common Stock
D,02/17/2023 00:00:00,Lewis Karla R,4,A-Award,--D,73420,151252,1,0001256541,Common Stock
D,01/06/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--D,785,19680,6,0001447652,Common Stock
D,01/06/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--D,6683,20465,5,0001447652,Common Stock
D,01/06/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--D,1510,27148,4,0001447652,Common Stock
D,01/06/2023 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--D,1022,28658,3,0001447652,Common Stock
A,12/30/2022 00:00:00,HOFFMAN JAMES DONALD,4,G-Gift,-EI,95333,95333,2,0001447652,Common Stock
D,12/30/2022 00:00:00,HOFFMAN JAMES DONALD,4,G-Gift,-ED,95333,29680,1,0001447652,Common Stock
D,12/02/2022 00:00:00,Lewis Karla R,4,S-Sale,--D,1900,77832,2,0001256541,Common Stock
D,12/02/2022 00:00:00,Lewis Karla R,4,S-Sale,--D,7278,79732,1,0001256541,Common Stock
D,12/02/2022 00:00:00,Koch Stephen Paul,4,S-Sale,--D,1306,5486,2,0001488432,Common Stock
D,12/02/2022 00:00:00,Koch Stephen Paul,4,S-Sale,--D,5263,6792,1,0001488432,Common Stock
D,12/01/2022 00:00:00,Hynes Michael R,4,F-InKind,--D,819,3388,1,0001935259,Common Stock
D,12/01/2022 00:00:00,KAMINSKI MARK V,4,G-Gift,-ED,947,14867,1,0001121844,Common Stock
D,12/01/2022 00:00:00,Mollins Sean Michael,4,F-InKind,--D,1048,17836,1,0001871348,Common Stock
D,12/01/2022 00:00:00,Durham Jeffrey Wayne,4,F-InKind,--D,2585,16486,1,0001765800,Common Stock
D,12/01/2022 00:00:00,Ajemyan Arthur,4,F-InKind,--D,1198,11646,1,0001777542,Common Stock
D,12/01/2022 00:00:00,HOFFMAN JAMES DONALD,4,F-InKind,--D,7725,125013,1,0001447652,Common Stock
D,12/01/2022 00:00:00,Smith William A II,4,F-InKind,--D,3090,13224,1,0001408793,Common Stock
D,10/06/2022 00:00:00,HOFFMAN JAMES DONALD,4,S-Sale,--D,600,132738,4,0001447652,Common Stock
