MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/03/2023 00:00:00,Ramolo Claudio,4,A-Award,--D,20932,20932,2,0001947633,Stock Option (Right to Buy)
A,04/03/2023 00:00:00,Ramolo Claudio,4,A-Award,--D,6203,6203,1,0001947633,"Class A Common Stock, par value $0.0001 per share"
A,04/03/2023 00:00:00,Pavlovski Christopher,4,A-Award,--D,223906,223906,2,0001947645,Stock Option (Right to Buy)
A,04/03/2023 00:00:00,Pavlovski Christopher,4,A-Award,--D,66348,1193745,1,0001947645,"Class A Common Stock, par value $0.0001 per share"
A,04/03/2023 00:00:00,Hughes Tyler,4,A-Award,--D,87216,87216,2,0001947980,Stock Option (Right to Buy)
A,04/03/2023 00:00:00,Hughes Tyler,4,A-Award,--D,25844,32693,1,0001947980,"Class A Common Stock, par value $0.0001 per share"
A,04/03/2023 00:00:00,Hlibowicki Wojciech,4,A-Award,--D,87216,87216,2,0001947979,Stock Option (Right to Buy)
A,04/03/2023 00:00:00,Hlibowicki Wojciech,4,A-Award,--D,25844,32693,1,0001947979,"Class A Common Stock, par value $0.0001 per share"
A,04/03/2023 00:00:00,Ellis Michael Jay,4,A-Award,--D,89562,89562,2,0001948196,Stock Option (Right to Buy)
A,04/03/2023 00:00:00,Ellis Michael Jay,4,A-Award,--D,26539,33388,1,0001948196,"Class A Common Stock, par value $0.0001 per share"
A,04/03/2023 00:00:00,CAPPUCCIO PAUL T,4,A-Award,--D,5308,24176,1,0001237444,"Class A Common Stock, par value $0.0001 per share"
A,04/03/2023 00:00:00,Armstrong Nancy,4,A-Award,--D,3981,17346,1,0001947666,"Class A Common Stock, par value $0.0001 per share"
A,04/03/2023 00:00:00,Alexandroff Brandon,4,A-Award,--D,87216,87216,2,0001947691,Stock Option (Right to Buy)
A,04/03/2023 00:00:00,Alexandroff Brandon,4,A-Award,--D,25844,32693,1,0001947691,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Ramolo Claudio,4,A-Award,--D,6217,6217,1,0001947633,Stock Option (Right to Buy)
A,11/16/2022 00:00:00,Pavlovski Christopher,4,A-Award,--D,92272,92272,2,0001947645,Stock Option (Right to Buy)
A,11/16/2022 00:00:00,Pavlovski Christopher,4,A-Award,--D,27397,1127397,1,0001947645,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Milnes Ryan,4,A-Award,--D,18868,18868,1,0001947993,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Hughes Tyler,4,A-Award,--D,23068,23068,2,0001947980,Stock Option (Right to Buy)
A,11/16/2022 00:00:00,Hughes Tyler,4,A-Award,--D,6849,6849,1,0001947980,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Hlibowicki Wojciech,4,A-Award,--D,23068,23068,2,0001947979,Stock Option (Right to Buy)
A,11/16/2022 00:00:00,Hlibowicki Wojciech,4,A-Award,--D,6849,6849,1,0001947979,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Fallang Ethan,4,A-Award,--D,18868,18868,1,0001947647,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Ellis Michael Jay,4,A-Award,--D,23068,23068,2,0001948196,Stock Option (Right to Buy)
A,11/16/2022 00:00:00,Ellis Michael Jay,4,A-Award,--D,6849,6849,1,0001948196,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,CAPPUCCIO PAUL T,4,A-Award,--D,18868,18868,1,0001237444,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Arsov Robert,4,A-Award,--D,18868,15444968,1,0001947700,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Armstrong Nancy,4,A-Award,--D,13365,13365,1,0001947666,"Class A Common Stock, par value $0.0001 per share"
A,11/16/2022 00:00:00,Alexandroff Brandon,4,A-Award,--D,23068,23068,2,0001947691,Stock Option (Right to Buy)
A,11/16/2022 00:00:00,Alexandroff Brandon,4,A-Award,--D,6849,6849,1,0001947691,"Class A Common Stock, par value $0.0001 per share"
