MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/29/2023 00:00:00,Hughes Aaron,4,A-Award,--D,3782,31632,2,0001866183,Class A Common Stock
A,06/29/2023 00:00:00,Hughes Aaron,4,A-Award,--D,14185,27850,1,0001866183,Class A Common Stock
A,06/29/2023 00:00:00,Pinczuk Ana G.,4,A-Award,--D,3530,39535,2,0001689411,Class A Common Stock
A,06/29/2023 00:00:00,Pinczuk Ana G.,4,A-Award,--D,14185,36005,1,0001689411,Class A Common Stock
A,06/29/2023 00:00:00,Scheinman Daniel,4,A-Award,--D,14185,37193,1,0001605698,Class A Common Stock
A,06/29/2023 00:00:00,BEGLEY CHARLENE T,4,A-Award,--D,4413,42254,2,0001233150,Class A Common Stock
A,06/29/2023 00:00:00,BEGLEY CHARLENE T,4,A-Award,--D,14185,37841,1,0001233150,Class A Common Stock
A,06/29/2023 00:00:00,PEEK MARK S,4,A-Award,--D,4539,32495,2,0001184754,Class A Common Stock
A,06/29/2023 00:00:00,PEEK MARK S,4,A-Award,--D,14185,27956,1,0001184754,Class A Common Stock
D,06/16/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,0,6,0001866222,Class B Common Stock
A,06/16/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,40000,5,0001866222,Class B Common Stock
D,06/16/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,2016351,4,0001866222,Stock Option (right to buy)
D,06/16/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,600,890794,3,0001866222,Class A Common Stock
D,06/16/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,39400,891394,2,0001866222,Class A Common Stock
A,06/16/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,930794,1,0001866222,Class A Common Stock
D,06/15/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,0,11,0001866222,Class B Common Stock
A,06/15/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,40000,10,0001866222,Class B Common Stock
D,06/15/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,2056351,9,0001866222,Stock Option (right to buy)
D,06/15/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,900,890794,5,0001866222,Class A Common Stock
D,06/15/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,39100,891694,4,0001866222,Class A Common Stock
A,06/15/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,930794,3,0001866222,Class A Common Stock
D,06/14/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,0,8,0001866222,Class B Common Stock
A,06/14/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,40000,7,0001866222,Class B Common Stock
D,06/14/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,2096351,6,0001866222,Stock Option (right to buy)
D,06/14/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,40000,890794,2,0001866222,Class A Common Stock
A,06/14/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,930794,1,0001866222,Class A Common Stock
D,06/13/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,10,0001586637,Class B Common Stock
A,06/13/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,9,0001586637,Class B Common Stock
D,06/13/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2035326,8,0001586637,Stock Option (right to buy)
D,06/13/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,382086,4,0001586637,Class A Common Stock
A,06/13/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,383624,3,0001586637,Class A Common Stock
D,06/12/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,7,0001586637,Class B Common Stock
A,06/12/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,6,0001586637,Class B Common Stock
D,06/12/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2036864,5,0001586637,Stock Option (right to buy)
D,06/12/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,382086,2,0001586637,Class A Common Stock
A,06/12/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,383624,1,0001586637,Class A Common Stock
D,06/07/2023 00:00:00,Smith Ric,4,S-Sale,--D,15440,531764,2,0001866450,Class A Common Stock
D,06/06/2023 00:00:00,Srivatsan Narayanan,4,S-Sale,--D,7749,596679,1,0001922406,Class A Common Stock
D,06/06/2023 00:00:00,Smith Ric,4,S-Sale,--D,15498,547204,1,0001866450,Class A Common Stock
D,06/06/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,21697,890794,1,0001866222,Class A Common Stock
D,06/06/2023 00:00:00,TOMASELLO ROBIN,4,S-Sale,--D,3793,158805,1,0001608511,Class A Common Stock
D,06/06/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,6486,382086,1,0001586637,Class A Common Stock
D,06/06/2023 00:00:00,Conder Keenan Michael,4,S-Sale,--D,5063,362722,1,0001333280,Class A Common Stock
D,05/25/2023 00:00:00,Smith Ric,4,C-Conversion,--D,112665,0,5,0001866450,Class B Common Stock
A,05/25/2023 00:00:00,Smith Ric,4,M-Exempt,--D,112665,112665,4,0001866450,Class B Common Stock
D,05/25/2023 00:00:00,Smith Ric,4,M-Exempt,--D,112665,412335,3,0001866450,Stock Option (right to buy)
D,05/25/2023 00:00:00,Smith Ric,4,S-Sale,--D,115752,562702,2,0001866450,Class A Common Stock
A,05/25/2023 00:00:00,Smith Ric,4,C-Conversion,--D,112665,678454,1,0001866450,Class A Common Stock
D,05/12/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,0,5,0001866222,Class B Common Stock
A,05/12/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,40000,4,0001866222,Class B Common Stock
D,05/12/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,2136351,3,0001866222,Stock Option (right to buy)
D,05/12/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,40000,912491,2,0001866222,Class A Common Stock
A,05/12/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,952491,1,0001866222,Class A Common Stock
D,05/11/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,0,6,0001866222,Class B Common Stock
A,05/11/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,40000,5,0001866222,Class B Common Stock
D,05/11/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,2176351,4,0001866222,Stock Option (right to buy)
D,05/11/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,40000,912491,3,0001866222,Class A Common Stock
A,05/11/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,952491,2,0001866222,Class A Common Stock
D,05/11/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,10,0001586637,Class B Common Stock
A,05/11/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,9,0001586637,Class B Common Stock
D,05/11/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2038402,8,0001586637,Stock Option (right to buy)
D,05/11/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,388572,4,0001586637,Class A Common Stock
A,05/11/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,390110,3,0001586637,Class A Common Stock
D,05/10/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,10061,912491,1,0001866222,Class A Common Stock
D,05/10/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,7,0001586637,Class B Common Stock
A,05/10/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,6,0001586637,Class B Common Stock
D,05/10/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2039940,5,0001586637,Stock Option (right to buy)
D,05/10/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,388572,2,0001586637,Class A Common Stock
A,05/10/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,390110,1,0001586637,Class A Common Stock
D,05/08/2023 00:00:00,Smith Ric,4,S-Sale,--D,3066,565789,1,0001866450,Class A Common Stock
D,05/08/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,9944,922552,1,0001866222,Class A Common Stock
D,05/08/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,3315,388572,1,0001586637,Class A Common Stock
D,05/08/2023 00:00:00,Conder Keenan Michael,4,S-Sale,--D,814,367785,1,0001333280,Class A Common Stock
D,04/20/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,0,11,0001866222,Class B Common Stock
A,04/20/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,40000,10,0001866222,Class B Common Stock
D,04/20/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,2216351,9,0001866222,Stock Option (right to buy)
D,04/20/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,40000,932496,5,0001866222,Class A Common Stock
A,04/20/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,972496,4,0001866222,Class A Common Stock
D,04/20/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,10,0001586637,Class B Common Stock
A,04/20/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,9,0001586637,Class B Common Stock
D,04/20/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2041478,8,0001586637,Stock Option (right to buy)
D,04/20/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,391887,4,0001586637,Class A Common Stock
A,04/20/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,393425,3,0001586637,Class A Common Stock
D,04/19/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,0,8,0001866222,Class B Common Stock
A,04/19/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,40000,7,0001866222,Class B Common Stock
D,04/19/2023 00:00:00,Weingarten Tomer,4,M-Exempt,--D,40000,2256351,6,0001866222,Stock Option (right to buy)
D,04/19/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,40000,932496,3,0001866222,Class A Common Stock
A,04/19/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,40000,972496,2,0001866222,Class A Common Stock
D,04/19/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,7,0001586637,Class B Common Stock
A,04/19/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,6,0001586637,Class B Common Stock
D,04/19/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2043016,5,0001586637,Stock Option (right to buy)
D,04/19/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,391887,2,0001586637,Class A Common Stock
A,04/19/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,393425,1,0001586637,Class A Common Stock
D,04/18/2023 00:00:00,Weingarten Tomer,4,S-Sale,--D,12468,932496,1,0001866222,Class A Common Stock
D,04/12/2023 00:00:00,Weingarten Tomer,4,G-Gift,--D,63926,944964,1,0001866222,Class A Common Stock
D,04/06/2023 00:00:00,Srivatsan Narayanan,4,S-Sale,--D,43310,604428,1,0001922406,Class A Common Stock
D,04/06/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,63926,4171153,2,0001866222,Class B Common Stock
A,04/06/2023 00:00:00,Weingarten Tomer,4,C-Conversion,--D,63926,1008890,1,0001866222,Class A Common Stock
D,03/28/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,10,0001586637,Class B Common Stock
A,03/28/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,9,0001586637,Class B Common Stock
D,03/28/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2044554,8,0001586637,Stock Option (right to buy)
D,03/28/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,391887,4,0001586637,Class A Common Stock
A,03/28/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,393425,3,0001586637,Class A Common Stock
D,03/27/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,0,7,0001586637,Class B Common Stock
A,03/27/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,1538,6,0001586637,Class B Common Stock
D,03/27/2023 00:00:00,Bernhardt David J.,4,M-Exempt,--D,1538,2046092,5,0001586637,Stock Option (right to buy)
D,03/27/2023 00:00:00,Bernhardt David J.,4,S-Sale,--D,1538,391887,2,0001586637,Class A Common Stock
A,03/27/2023 00:00:00,Bernhardt David J.,4,C-Conversion,--D,1538,393425,1,0001586637,Class A Common Stock
D,03/16/2023 00:00:00,Smith Ric,4,C-Conversion,--D,175000,0,5,0001866450,Class B Common Stock
A,03/16/2023 00:00:00,Smith Ric,4,M-Exempt,--D,175000,175000,4,0001866450,Class B Common Stock
D,03/16/2023 00:00:00,Smith Ric,4,M-Exempt,--D,175000,525000,3,0001866450,Stock Option (right to buy)
D,03/16/2023 00:00:00,Smith Ric,4,S-Sale,--D,190539,568855,2,0001866450,Class A Common Stock
