MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/25/2023 00:00:00,BOWEN LAURIE,4,A-Award,--D,743,743,2,0001978602,Restricted Stock Units
A,05/25/2023 00:00:00,BOWEN LAURIE,4,A-Award,--D,10000,10000,1,0001978602,Stock Options (Right to Buy)
A,05/25/2023 00:00:00,Wilson Amy E,4,A-Award,--D,743,743,2,0001772229,Restricted Stock Units
A,05/25/2023 00:00:00,Wilson Amy E,4,A-Award,--D,10000,10000,1,0001772229,Stock Options (Right to Buy)
A,05/25/2023 00:00:00,LANGER JACK,4,A-Award,--D,743,743,8,0001253093,Restricted Stock Units
A,05/25/2023 00:00:00,Krouse George R Jr,4,A-Award,--D,743,743,5,0001473955,Restricted Stock Units
A,05/25/2023 00:00:00,Johnson Jay LeCoryelle,4,A-Award,--D,743,743,4,0001736249,Restricted Stock Units
A,05/25/2023 00:00:00,Chan Mary S,4,A-Award,--D,743,743,7,0001641154,Restricted Stock Units
A,05/25/2023 00:00:00,BEEBE KEVIN L,4,A-Award,--D,743,743,7,0001187378,Restricted Stock Units
A,05/25/2023 00:00:00,BERNSTEIN STEVEN E,4,A-Award,--D,743,743,8,0001089833,Restricted Stock Units
D,05/01/2023 00:00:00,Johnson Jay LeCoryelle,4,A-Award,--D,175,350,4,0001736249,Restricted Stock Units
D,05/01/2023 00:00:00,Johnson Jay LeCoryelle,4,F-InKind,--D,64.75,110.25,2,0001736249,Class A Common Stock
A,05/01/2023 00:00:00,Johnson Jay LeCoryelle,4,M-Exempt,--D,175,175,1,0001736249,Class A Common Stock
D,05/01/2023 00:00:00,LANGER JACK,4,M-Exempt,--D,175,350,11,0001253093,Restricted Stock Units
D,05/01/2023 00:00:00,LANGER JACK,4,M-Exempt,--D,206,207,10,0001253093,Restricted Stock Units
D,05/01/2023 00:00:00,LANGER JACK,4,M-Exempt,--D,190,0,9,0001253093,Restricted Stock Units
D,05/01/2023 00:00:00,LANGER JACK,4,F-InKind,--D,211.27,6406.502,4,0001253093,Class A Common Stock
A,05/01/2023 00:00:00,LANGER JACK,4,M-Exempt,--D,175,6617.772,3,0001253093,Class A Common Stock
A,05/01/2023 00:00:00,LANGER JACK,4,M-Exempt,--D,206,6442.772,2,0001253093,Class A Common Stock
A,05/01/2023 00:00:00,LANGER JACK,4,M-Exempt,--D,190,6236.772,1,0001253093,Class A Common Stock
D,05/01/2023 00:00:00,Krouse George R Jr,4,M-Exempt,--D,175,350,8,0001473955,Restricted Stock Units
D,05/01/2023 00:00:00,Krouse George R Jr,4,M-Exempt,--D,206,207,7,0001473955,Restricted Stock Units
D,05/01/2023 00:00:00,Krouse George R Jr,4,M-Exempt,--D,190,0,6,0001473955,Restricted Stock Units
D,05/01/2023 00:00:00,Krouse George R Jr,4,F-InKind,--D,199.849,8871.502,4,0001473955,Class A Common Stock
A,05/01/2023 00:00:00,Krouse George R Jr,4,M-Exempt,--D,175,9071.351,3,0001473955,Class A Common Stock
A,05/01/2023 00:00:00,Krouse George R Jr,4,M-Exempt,--D,206,8896.351,2,0001473955,Class A Common Stock
A,05/01/2023 00:00:00,Krouse George R Jr,4,M-Exempt,--D,190,8690.351,1,0001473955,Class A Common Stock
D,05/01/2023 00:00:00,Chan Mary S,4,M-Exempt,--D,175,350,9,0001641154,Restricted Stock Units
D,05/01/2023 00:00:00,Chan Mary S,4,M-Exempt,--D,206,207,8,0001641154,Restricted Stock Units
D,05/01/2023 00:00:00,Chan Mary S,4,M-Exempt,--D,190,0,7,0001641154,Restricted Stock Units
A,05/01/2023 00:00:00,Chan Mary S,4,M-Exempt,--D,175,4621.8975,3,0001641154,Class A Common Stock
A,05/01/2023 00:00:00,Chan Mary S,4,M-Exempt,--D,206,4446.8975,2,0001641154,Class A Common Stock
A,05/01/2023 00:00:00,Chan Mary S,4,M-Exempt,--D,190,4240.8975,1,0001641154,Class A Common Stock
D,05/01/2023 00:00:00,RUSSO FIDELMA,4,M-Exempt,--D,175,350,8,0001700118,Restricted Stock Units
