MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/05/2023 00:00:00,Wurster Richard A,4,F-InKind,--D,1177,100214,1,0001889263,Common Stock
D,05/23/2023 00:00:00,Schwab Charles R.,4,G-Gift,--I,22740,59748538,3,0000923738,Common Stock
A,05/22/2023 00:00:00,Ellis Stephen A,4,A-Award,--D,5464,5464,3,0001561563,Nonqualified Stock Option (right to buy)
A,05/22/2023 00:00:00,Ellis Stephen A,4,A-Award,--D,2496,7395,1,0001561563,Common Stock
A,05/22/2023 00:00:00,Goldfarb Mark A,4,A-Award,--D,5464,5464,3,0001562215,Nonqualified Stock Option (right to buy)
A,05/22/2023 00:00:00,Goldfarb Mark A,4,A-Award,--D,2496,7395,1,0001562215,Common Stock
A,05/22/2023 00:00:00,Levitt Brian M,4,A-Award,--D,5464,5464,3,0001391568,Nonqualified Stock Option (right to buy)
A,05/22/2023 00:00:00,Levitt Brian M,4,A-Award,--D,2496,6070,1,0001391568,Common Stock
A,05/22/2023 00:00:00,HERRINGER FRANK C,4,A-Award,--D,5464,5464,4,0001171694,Nonqualified Stock Option (right to buy)
A,05/22/2023 00:00:00,HERRINGER FRANK C,4,A-Award,--D,2496,7395,1,0001171694,Common Stock
A,05/22/2023 00:00:00,Masrani Bharat,4,A-Award,--D,5464,5464,2,0001343539,Nonqualified Stock Option (right to buy)
A,05/22/2023 00:00:00,Masrani Bharat,4,A-Award,--D,2496,6070,1,0001343539,Common Stock
A,05/22/2023 00:00:00,MARTIN-FLICKINGER GERRI,4,A-Award,--D,5464,5464,3,0001730661,Nonqualified Stock Option (right to buy)
A,05/22/2023 00:00:00,MARTIN-FLICKINGER GERRI,4,A-Award,--D,2496,2496,1,0001730661,Common Stock
A,05/22/2023 00:00:00,SNEED PAULA A,4,A-Award,--D,5464,5464,3,0001193024,Nonqualified Stock Option (right to buy)
