MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/08/2023 00:00:00,THOMPSON WILLIAM C JR,4,M-Exempt,--D,10344,0,3,0001635976,Restricted Stock Units
A,06/08/2023 00:00:00,THOMPSON WILLIAM C JR,4,M-Exempt,--D,10344,36981,1,0001635976,Class A Common Stock
D,06/08/2023 00:00:00,Prober Charles J.,4,M-Exempt,--D,10344,0,3,0001696247,Restricted Stock Units
A,06/08/2023 00:00:00,Prober Charles J.,4,M-Exempt,--D,10344,21207,1,0001696247,Class A Common Stock
D,06/08/2023 00:00:00,Marchetti Michael,4,M-Exempt,--D,10344,0,3,0001304491,Restricted Stock Units
A,06/08/2023 00:00:00,Marchetti Michael,4,M-Exempt,--D,10344,61388,1,0001304491,Class A Common Stock
D,06/08/2023 00:00:00,Earl Nicholas,4,M-Exempt,--D,10344,0,3,0001660014,Restricted Stock Units
A,06/08/2023 00:00:00,Earl Nicholas,4,M-Exempt,--D,10344,21086,1,0001660014,Class A Common Stock
D,06/08/2023 00:00:00,Cohen Gerald D.,4,M-Exempt,--D,10344,0,3,0001773987,Restricted Stock Units
A,06/08/2023 00:00:00,Cohen Gerald D.,4,M-Exempt,--D,10344,35937,1,0001773987,Class A Common Stock
D,06/08/2023 00:00:00,Henry April,4,M-Exempt,--D,10344,0,3,0001841776,Class A Common Stock
A,06/08/2023 00:00:00,Henry April,4,M-Exempt,--D,10344,21207,1,0001841776,Class A Common Stock
A,06/07/2023 00:00:00,THOMPSON WILLIAM C JR,4,A-Award,--D,7494,7494,2,0001635976,Restricted Stock Units
A,06/07/2023 00:00:00,Prober Charles J.,4,A-Award,--D,7494,7494,2,0001696247,Restricted Stock Units
A,06/07/2023 00:00:00,Marchetti Michael,4,A-Award,--D,7494,7494,2,0001304491,Restricted Stock Units
A,06/07/2023 00:00:00,Earl Nicholas,4,A-Award,--D,7494,7494,2,0001660014,Restricted Stock Units
A,06/07/2023 00:00:00,Cohen Gerald D.,4,A-Award,--D,7494,7494,2,0001773987,Restricted Stock Units
A,06/07/2023 00:00:00,Henry April,4,A-Award,--D,7494,7494,2,0001841776,Restricted Stock Units
D,05/16/2023 00:00:00,Cohen Gerald D.,4,S-Sale,--D,1044,25593,1,0001773987,Class A Common Stock
D,05/01/2023 00:00:00,Henry April,4,M-Exempt,--D,10863,0,2,0001841776,Restricted Stock Units
A,05/01/2023 00:00:00,Henry April,4,M-Exempt,--D,10863,10863,1,0001841776,Class A Common Stock
D,05/01/2023 00:00:00,Prober Charles J.,4,M-Exempt,--D,10863,0,2,0001696247,Restricted Stock Units
A,05/01/2023 00:00:00,Prober Charles J.,4,M-Exempt,--D,10863,10863,1,0001696247,Class A Common Stock
D,04/15/2023 00:00:00,Earl Nicholas,4,M-Exempt,--D,10742,0,2,0001660014,Restricted Stock Units
A,04/15/2023 00:00:00,Earl Nicholas,4,M-Exempt,--D,10742,10742,1,0001660014,Class A Common Stock
D,03/20/2023 00:00:00,OQuinn Daniel,4,F-InKind,--D,41,8830,2,0001877754,Class A Common Stock
A,03/20/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,167,8871,1,0001877754,Class A Common Stock
D,03/16/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,3330,3340,11,0001877754,Restricted Stock Units
D,03/16/2023 00:00:00,OQuinn Daniel,4,F-InKind,--D,811,8704,6,0001877754,Class A Common Stock
A,03/16/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,3330,9515,5,0001877754,Class A Common Stock
D,03/15/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,167,0,3,0001877754,Restricted Stock Units
A,03/15/2023 00:00:00,Wilson Joshua J.,4,A-Award,--D,288374,288374,8,0001774465,Restricted Stock Units
D,03/15/2023 00:00:00,Wilson Joshua J.,4,M-Exempt,--D,8846,0,7,0001774465,Restricted Stock Units
A,03/15/2023 00:00:00,Wilson Joshua J.,4,A-Award,--D,8846,8846,6,0001774465,Restricted Stock Units
D,03/15/2023 00:00:00,Wilson Joshua J.,4,M-Exempt,--D,22500,0,5,0001774465,Restricted Stock Units
D,03/15/2023 00:00:00,Wilson Joshua J.,4,F-InKind,--D,2155,252055,4,0001774465,Class A Common Stock
A,03/15/2023 00:00:00,Wilson Joshua J.,4,M-Exempt,--D,8846,254210,3,0001774465,Class A Common Stock
D,03/15/2023 00:00:00,Wilson Joshua J.,4,F-InKind,--D,6086,245364,2,0001774465,Class A Common Stock
A,03/15/2023 00:00:00,Wilson Joshua J.,4,M-Exempt,--D,22500,251450,1,0001774465,Class A Common Stock
D,03/15/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,3143,3143,10,0001877754,Restricted Stock Units
A,03/15/2023 00:00:00,OQuinn Daniel,4,A-Award,--D,6286,6286,9,0001877754,Restricted Stock Units
D,03/15/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,1939,0,8,0001877754,Restricted Stock Units
A,03/15/2023 00:00:00,OQuinn Daniel,4,A-Award,--D,1939,1939,7,0001877754,Restricted Stock Units
D,03/15/2023 00:00:00,OQuinn Daniel,4,F-InKind,--D,833,6185,4,0001877754,Class A Common Stock
A,03/15/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,3143,7018,3,0001877754,Class A Common Stock
D,03/15/2023 00:00:00,OQuinn Daniel,4,F-InKind,--D,466,3875,2,0001877754,Class A Common Stock
A,03/15/2023 00:00:00,OQuinn Daniel,4,M-Exempt,--D,1939,4341,1,0001877754,Class A Common Stock
D,03/14/2023 00:00:00,OQuinn Daniel,4,S-Sale,--D,5900,2402,1,0001877754,Class A Common Stock
