MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/07/2023 00:00:00,HIMES VAUGHN B,4,M-Exempt,--D,16215,0,4,0001361966,Non-Qualified Stock Option (right to buy)
D,06/07/2023 00:00:00,HIMES VAUGHN B,4,S-Sale,--D,16215,43837,2,0001361966,Common Stock
A,06/07/2023 00:00:00,HIMES VAUGHN B,4,M-Exempt,--D,16215,60052,1,0001361966,Common Stock
A,05/31/2023 00:00:00,BAKER BROS. ADVISORS LP,4,A-Award,--I,2044,42977301,4,0001263508,Common Stock
A,05/31/2023 00:00:00,BAKER BROS. ADVISORS LP,4,A-Award,--I,2044,1731202,3,0001263508,Common Stock
A,05/31/2023 00:00:00,GRYSKA DAVID W,4,A-Award,--D,2044,51047,1,0001202335,Common Stock
A,05/31/2023 00:00:00,LOVE TED W,4,A-Award,--D,2044,6748,1,0001188919,Common Stock
A,05/31/2023 00:00:00,Orwin John A,4,A-Award,--D,2044,31047,1,0001477384,Common Stock
A,05/31/2023 00:00:00,Seth Alpna,4,A-Award,--D,2044,14997,1,0001721020,Common Stock
A,05/31/2023 00:00:00,Simonian Nancy A,4,A-Award,--D,2044,64797,1,0001359574,Common Stock
A,05/31/2023 00:00:00,SWAIN SANDRA M,4,A-Award,--D,2044,2822,1,0001908755,Common Stock
A,05/31/2023 00:00:00,WELCH DANIEL G,4,A-Award,--D,2044,8297,1,0001206199,Common Stock
D,05/16/2023 00:00:00,ROMP CHARLES R,4,S-Sale,--D,349,59777,1,0001809717,Common Stock
D,05/15/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,1864,1812,4,0001206199,Non-Qualified Stock Option (right to buy)
D,05/15/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,1864,6253,2,0001206199,Common Stock
A,05/15/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,1864,8117,1,0001206199,Common Stock
D,05/02/2023 00:00:00,BAKER BROS. ADVISORS LP,4,G-Gift,--D,209175,23277,7,0001263508,Common Stock
D,05/02/2023 00:00:00,BAKER BROS. ADVISORS LP,4,G-Gift,--D,209175,23280,6,0001263508,Common Stock
D,05/02/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,3462,0,19,0001206199,Non-Qualified Stock Option (right to buy)
D,05/02/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,3171,0,18,0001206199,Non-Qualified Stock Option (right to buy)
D,05/02/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,1888,0,17,0001206199,Non-Qualified Stock Option (right to buy)
D,05/02/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--I,5835,12335,14,0001206199,Common Stock
D,05/02/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,351,6253,13,0001206199,Common Stock
D,05/02/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,3462,6604,12,0001206199,Common Stock
A,05/02/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,3462,10066,11,0001206199,Common Stock
D,05/02/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,3171,6604,10,0001206199,Common Stock
A,05/02/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,3171,9775,9,0001206199,Common Stock
D,05/02/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,1888,6604,8,0001206199,Common Stock
A,05/02/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,1888,8492,7,0001206199,Common Stock
D,05/01/2023 00:00:00,BAKER BROS. ADVISORS LP,4,M-Exempt,--I,8750,0,9,0001263508,Non-Qualified Stock Option (right to buy)
D,05/01/2023 00:00:00,BAKER BROS. ADVISORS LP,4,M-Exempt,--I,8750,0,8,0001263508,Non-Qualified Stock Option (right to buy)
A,05/01/2023 00:00:00,BAKER BROS. ADVISORS LP,4,J-Other,--D,209175,232452,5,0001263508,Common Stock
A,05/01/2023 00:00:00,BAKER BROS. ADVISORS LP,4,J-Other,--D,209175,232455,4,0001263508,Common Stock
D,05/01/2023 00:00:00,BAKER BROS. ADVISORS LP,4,J-Other,--I,2368357,1729158,3,0001263508,Common Stock
A,05/01/2023 00:00:00,BAKER BROS. ADVISORS LP,4,M-Exempt,--I,8750,42975257,2,0001263508,Common Stock
A,05/01/2023 00:00:00,BAKER BROS. ADVISORS LP,4,M-Exempt,--I,8750,4097515,1,0001263508,Common Stock
D,05/01/2023 00:00:00,HIMES VAUGHN B,4,G-Gift,--D,25000,43837,1,0001361966,Common Stock
D,05/01/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,5150,1888,16,0001206199,Non-Qualified Stock Option (right to buy)
D,05/01/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,1990,0,15,0001206199,Non-Qualified Stock Option (right to buy)
D,05/01/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--I,4890,18170,6,0001206199,Common Stock
D,05/01/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,295,6604,5,0001206199,Common Stock
D,05/01/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,1990,6899,4,0001206199,Common Stock
A,05/01/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,1990,8889,3,0001206199,Common Stock
D,05/01/2023 00:00:00,WELCH DANIEL G,4,S-Sale,--D,5150,6899,2,0001206199,Common Stock
A,05/01/2023 00:00:00,WELCH DANIEL G,4,M-Exempt,--D,5150,12049,1,0001206199,Common Stock
D,04/17/2023 00:00:00,LIU JEAN I,4,M-Exempt,--D,5000,7446,3,0001241357,Non-Qualified Stock Option (right to buy)
D,04/17/2023 00:00:00,LIU JEAN I,4,S-Sale,--D,5000,86763,2,0001241357,Common Stock
A,04/17/2023 00:00:00,LIU JEAN I,4,M-Exempt,--D,5000,91763,1,0001241357,Common Stock
D,04/17/2023 00:00:00,DANSEY ROGER D,4,M-Exempt,--D,10000,18083,3,0001741836,Non-Qualified Stock Option (right to buy)
