MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/01/2023 00:00:00,SISKIND RICHARD,4,A-Award,--D,3500,156499,1,0001062181,Class A Common Stock
A,06/01/2023 00:00:00,Macias Yolanda,4,A-Award,--D,3500,10500,1,0001920393,Class A Common Stock
A,06/01/2023 00:00:00,Garcia Zulema,4,A-Award,--D,3500,10500,1,0001899131,Class A Common Stock
A,06/01/2023 00:00:00,Erlich Morton D,4,A-Award,--D,3500,10500,1,0001348533,Class A Common Stock
A,06/01/2023 00:00:00,BLAIR KATHERINE J.,4,A-Award,--D,3500,10500,1,0001777032,Class A Common Stock
D,05/08/2023 00:00:00,BLAIR KATHERINE J.,4,S-Sale,--D,3500,7000,1,0001777032,Class A Common Stock
D,05/03/2023 00:00:00,SISKIND RICHARD,4,S-Sale,--D,20000,152999,1,0001062181,Class A Common Stock
A,04/19/2023 00:00:00,PACCIONE PHILLIP,4,A-Award,--D,20000,40000,1,0001242134,Class A Common Stock
A,03/10/2023 00:00:00,NASON MARK A,4,A-Award,--D,15120,34022.604,1,0001242135,Class A Common Stock
A,03/10/2023 00:00:00,Vandemore John M,4,A-Award,--D,30120,126076,1,0001542442,Class A Common Stock
A,03/10/2023 00:00:00,WEINBERG DAVID,4,A-Award,--D,50250,149669,1,0001242132,Class A Common Stock
A,03/10/2023 00:00:00,GREENBERG MICHAEL,4,A-Award,--D,62850,449880.258,1,0001105376,Class A Common Stock
A,03/10/2023 00:00:00,GREENBERG ROBERT,4,A-Award,--D,77300,246207,1,0001080904,Class A Common Stock
D,03/06/2023 00:00:00,NASON MARK A,4,S-Sale,--D,1093,18902.604,3,0001242135,Class A Common Stock
D,03/03/2023 00:00:00,NASON MARK A,4,S-Sale,--D,2100,19995.604,2,0001242135,Class A Common Stock
D,03/02/2023 00:00:00,NASON MARK A,4,S-Sale,--D,14270,22095.604,1,0001242135,Class A Common Stock
D,03/02/2023 00:00:00,PACCIONE PHILLIP,4,S-Sale,--D,11874,20000,2,0001242134,Class A Common Stock
D,03/02/2023 00:00:00,Vandemore John M,4,S-Sale,--D,13255,95956,2,0001542442,Class A Common Stock
