MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/24/2023 00:00:00,GIERTZ JAMES R,4,A-Award,--D,5674,45713.9,1,0001226578,Class B Common Stock
A,04/24/2023 00:00:00,Zimmermann Kathleen M.,4,A-Award,--D,5674,361320,1,0001701082,Class B Common Stock
A,04/24/2023 00:00:00,KNIGHT ROBERT M JR,4,A-Award,--D,5674,24960,1,0001200009,Class B Common Stock
A,04/24/2023 00:00:00,Swainson John A,4,A-Award,--D,5674,30916,1,0001309401,Class B Common Stock
A,04/24/2023 00:00:00,WELCH JAMES L,4,A-Award,--D,5674,36388,1,0001178218,Class B Common Stock
A,04/24/2023 00:00:00,Koller Therese A.,4,A-Award,--D,5674,1665187,1,0001701081,Class B Common Stock
A,04/24/2023 00:00:00,GRUBBS ROBERT W,4,A-Award,--D,5674,316675,1,0001217245,Class B Common Stock
A,04/24/2023 00:00:00,Chopra Jyoti,4,A-Award,--D,5674,20156,1,0001838962,Class B Common Stock
A,04/10/2023 00:00:00,GIERTZ JAMES R,4,A-Award,--D,14.2,40039.9,1,0001226578,Class B Common Stock
A,04/03/2023 00:00:00,Godfrey Adam P,4,A-Award,--D,1230,669632,1,0001332186,Class B Common Stock
D,03/15/2023 00:00:00,Reich Robert M JR,4,F-InKind,--D,544,113682,3,0001775030,Class B Common Stock
D,03/15/2023 00:00:00,Reich Robert M JR,4,F-InKind,--D,533,114226,2,0001775030,Class B Common Stock
D,03/15/2023 00:00:00,Reich Robert M JR,4,F-InKind,--D,474,114759,1,0001775030,Class B Common Stock
D,03/15/2023 00:00:00,BRUFFETT STEPHEN L,4,F-InKind,--D,1428,107035.85,3,0001135732,Class B Common Stock
D,03/15/2023 00:00:00,BRUFFETT STEPHEN L,4,F-InKind,--D,1367,108463.85,2,0001135732,Class B Common Stock
D,03/15/2023 00:00:00,BRUFFETT STEPHEN L,4,F-InKind,--D,1312,109830.85,1,0001135732,Class B Common Stock
D,03/15/2023 00:00:00,Rourke Mark B.,4,F-InKind,--I,4675,832403,4,0001699618,Class B Common Stock
D,03/15/2023 00:00:00,Rourke Mark B.,4,F-InKind,--I,3867,837078,3,0001699618,Class B Common Stock
D,03/15/2023 00:00:00,Rourke Mark B.,4,F-InKind,--I,1722,840945,2,0001699618,Class B Common Stock
