MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/12/2023 00:00:00,Kuczynski Stephen E,4,S-Sale,--D,5000,136284.1563,1,0001524757,Southern Company Common Stock
D,06/09/2023 00:00:00,FANNING THOMAS A,4,S-Sale,--D,50000,844238.797,1,0001227464,Southern Company Common Stock
D,06/05/2023 00:00:00,Poroch David P.,4,M-Exempt,--D,10000,20099,5,0001616250,Option Right to Buy
D,06/05/2023 00:00:00,Poroch David P.,4,S-Sale,--D,10000,28691,2,0001616250,Southern Company Common Stock
A,06/05/2023 00:00:00,Poroch David P.,4,M-Exempt,--D,10000,38691,1,0001616250,Southern Company Common Stock
D,06/05/2023 00:00:00,"Greene Kimberly S,",4,S-Sale,--D,47326,118659,1,0001573512,Southern Company Common Stock
D,06/01/2023 00:00:00,DAVIS MARTIN BERNARD,4,S-Sale,--D,1435,74246,1,0001674959,Southern Company Common Stock
D,05/10/2023 00:00:00,FANNING THOMAS A,4,S-Sale,--D,50000,847591.797,1,0001227464,Southern Company Common Stock
D,05/10/2023 00:00:00,Kuczynski Stephen E,4,S-Sale,--D,5000,141284.1563,1,0001524757,Southern Company Common Stock
D,05/10/2023 00:00:00,Anderson Bryan D,4,M-Exempt,--D,27426,0,3,0001831824,Option Right to Buy
D,05/10/2023 00:00:00,Anderson Bryan D,4,S-Sale,--D,27426,36119,2,0001831824,Southern Company Common Stock
A,05/10/2023 00:00:00,Anderson Bryan D,4,M-Exempt,--D,27426,63545,1,0001831824,Southern Company Common Stock
D,05/08/2023 00:00:00,Anderson Bryan D,4,M-Exempt,--D,9491,27426,3,0001831824,Option Right to Buy
D,05/08/2023 00:00:00,Anderson Bryan D,4,S-Sale,--D,9491,36119,2,0001831824,Southern Company Common Stock
A,05/08/2023 00:00:00,Anderson Bryan D,4,M-Exempt,--D,9491,45610,1,0001831824,Southern Company Common Stock
D,04/10/2023 00:00:00,Kuczynski Stephen E,4,S-Sale,--D,5000,146284.1563,1,0001524757,Southern Company Common Stock
D,04/10/2023 00:00:00,FANNING THOMAS A,4,S-Sale,--D,50000,897591.797,1,0001227464,Southern Company Common Stock
A,04/03/2023 00:00:00,SMITH WILLIAM G JR,4,A-Award,--D,1041.9661,133603.4823,1,0000909019,Deferred Stock Units
A,04/03/2023 00:00:00,Akella Janaki,4,A-Award,--D,574.8778,12526.56,1,0001763595,Deferred Stock Units
A,04/03/2023 00:00:00,Clark Henry A III,4,A-Award,--D,970.1064,58816.9246,1,0001474932,Deferred Stock Units
A,04/03/2023 00:00:00,EARLEY ANTHONY F JR,4,A-Award,--D,948.5484,18679.7335,1,0001167316,Deferred Stock Units
A,04/03/2023 00:00:00,GRAIN DAVID J,4,A-Award,--D,1077.8959,65699.276,1,0001249303,Deferred Stock Units
A,04/03/2023 00:00:00,Honorable Colette D,4,A-Award,--D,772.4921,9127.5983,1,0001827550,Deferred Stock Units
A,04/03/2023 00:00:00,JAMES DONALD M,4,A-Award,--D,574.8778,176781.4981,1,0001188417,Deferred Stock Units
A,04/03/2023 00:00:00,JOHNS JOHN D,4,A-Award,--D,574.8778,72577.3964,1,0001189571,Deferred Stock Units
A,04/03/2023 00:00:00,Klein Dale E.,4,A-Award,--D,574.8778,45617.1891,1,0001493467,Deferred Stock Units
A,04/03/2023 00:00:00,Moniz Ernest J,4,A-Award,--D,574.8778,15867.52,1,0001265177,Deferred Stock Units
A,04/03/2023 00:00:00,Svinicki Kristine L,4,A-Award,--D,574.8778,3985.8786,1,0001889194,Deferred Stock Units
A,04/03/2023 00:00:00,WOOD E JENNER III,4,A-Award,--D,574.8778,56437.6414,1,0001015221,Deferred Stock Units
D,03/01/2023 00:00:00,DAVIS MARTIN BERNARD,4,S-Sale,--D,1601,75681,1,0001674959,Southern Company Common Stock
D,02/16/2023 00:00:00,Cummiskey Christopher,4,S-Sale,--D,1282,27512.4417,1,0001642170,Southern Company Common Stock
D,02/15/2023 00:00:00,Kuczynski Stephen E,4,M-Exempt,--D,3285,6570,5,0001524757,Performance Restricted Stock Units
D,02/13/2023 00:00:00,Cummiskey Christopher,4,M-Exempt,--D,1524,3048,6,0001642170,Performance Restricted Stock Units
D,02/13/2023 00:00:00,Cummiskey Christopher,4,F-InKind,--D,715,28794.4417,4,0001642170,Southern Company Common Stock
A,02/13/2023 00:00:00,Cummiskey Christopher,4,M-Exempt,--D,1582,29509.4417,3,0001642170,Southern Company Common Stock
D,02/13/2023 00:00:00,Cummiskey Christopher,4,F-InKind,--D,4481,27927.4417,2,0001642170,Southern Company Common Stock
A,02/13/2023 00:00:00,Cummiskey Christopher,4,A-Award,--D,9934,32408.4417,1,0001642170,Southern Company Common Stock
D,02/13/2023 00:00:00,"Greene Kimberly S,",4,M-Exempt,--D,2991,5981,5,0001573512,Performance Restricted Stock Units
D,02/13/2023 00:00:00,"Greene Kimberly S,",4,F-InKind,--D,1400,150446,4,0001573512,Southern Company Common Stock
A,02/13/2023 00:00:00,"Greene Kimberly S,",4,M-Exempt,--D,3104,151846,3,0001573512,Southern Company Common Stock
D,02/13/2023 00:00:00,"Greene Kimberly S,",4,F-InKind,--D,18165,148742,2,0001573512,Southern Company Common Stock
A,02/13/2023 00:00:00,"Greene Kimberly S,",4,A-Award,--D,40274,166907,1,0001573512,Southern Company Common Stock
D,02/13/2023 00:00:00,Tucker Daniel S,4,M-Exempt,--D,2467,4933,7,0001881495,Performance Restricted Stock Units
D,02/13/2023 00:00:00,Tucker Daniel S,4,F-InKind,--D,1160,38687,4,0001881495,Southern Company Common Stock
A,02/13/2023 00:00:00,Tucker Daniel S,4,M-Exempt,--D,2561,39847,3,0001881495,Southern Company Common Stock
D,02/13/2023 00:00:00,Tucker Daniel S,4,F-InKind,--D,2621,37286,2,0001881495,Southern Company Common Stock
A,02/13/2023 00:00:00,Tucker Daniel S,4,A-Award,--D,5809,39907,1,0001881495,Southern Company Common Stock
D,02/13/2023 00:00:00,Peoples James Jeffrey,4,M-Exempt,--D,758,1516,6,0001815666,Southern Co Restricted Stock Units
D,02/13/2023 00:00:00,Peoples James Jeffrey,4,F-InKind,--D,348,9342,4,0001815666,Southern Company Common Stock
A,02/13/2023 00:00:00,Peoples James Jeffrey,4,M-Exempt,--D,787,9690,3,0001815666,Southern Company Common Stock
D,02/13/2023 00:00:00,Peoples James Jeffrey,4,F-InKind,--D,4412,8903,2,0001815666,Southern Company Common Stock
A,02/13/2023 00:00:00,Peoples James Jeffrey,4,A-Award,--D,9947,13315,1,0001815666,Southern Company Common Stock
D,02/13/2023 00:00:00,Daiss Ann P,4,M-Exempt,--D,659,1316,6,0001354912,Southern Co Restricted Stock Units
D,02/13/2023 00:00:00,Daiss Ann P,4,F-InKind,--D,314,19689.028,4,0001354912,Southern Company Common Stock
A,02/13/2023 00:00:00,Daiss Ann P,4,M-Exempt,--D,684,20003.028,3,0001354912,Southern Company Common Stock
D,02/13/2023 00:00:00,Daiss Ann P,4,F-InKind,--D,3998,19319.028,2,0001354912,Southern Company Common Stock
A,02/13/2023 00:00:00,Daiss Ann P,4,A-Award,--D,8865,23317.028,1,0001354912,Southern Company Common Stock
D,02/13/2023 00:00:00,DAVIS MARTIN BERNARD,4,M-Exempt,--D,1594,3186,5,0001674959,Performance Restricted Stock Units
D,02/13/2023 00:00:00,DAVIS MARTIN BERNARD,4,F-InKind,--D,747,49592,4,0001674959,Southern Company Common Stock
A,02/13/2023 00:00:00,DAVIS MARTIN BERNARD,4,M-Exempt,--D,1655,50339,3,0001674959,Southern Company Common Stock
