MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/12/2023 00:00:00,YARDLEY JAMES C,4,A-Award,--D,815.45,815.45,1,0001326431,Restricted Phantom Shares
A,05/12/2023 00:00:00,WARNER CYNTHIA J,4,A-Award,--D,816,3161.73,1,0001570212,Common Stock
A,05/12/2023 00:00:00,Walker Cynthia Lynn,4,A-Award,--D,815.45,815.45,1,0001554592,Restricted Phantom Shares
A,05/12/2023 00:00:00,Taylor Jack T,4,A-Award,--D,815.45,815.45,1,0001570352,Restricted Phantom Shares
A,05/12/2023 00:00:00,MEARS MICHAEL N,4,A-Award,--D,815.45,815.45,1,0001188019,Restricted Phantom Shares
A,05/12/2023 00:00:00,Mayer Bethany,4,A-Award,--D,816,1494.54,1,0001405693,Common Stock
A,05/12/2023 00:00:00,Ferrero Pablo,4,A-Award,--D,815.45,815.45,1,0001591955,Restricted Phantom Shares
D,05/12/2023 00:00:00,CONESA ANDRES,4,F-InKind,--D,221.06,9519.03,2,0001699739,Common Stock
A,05/12/2023 00:00:00,CONESA ANDRES,4,A-Award,--D,816,9740.09,1,0001699739,Common Stock
A,04/03/2023 00:00:00,Contreras-Sweet Maria,4,A-Award,--D,38.57,4286.9,1,0001700964,Phantom Shares
A,04/03/2023 00:00:00,Ferrero Pablo,4,A-Award,--D,83.57,5562.9,1,0001591955,Phantom Shares
A,04/03/2023 00:00:00,Mayer Bethany,4,A-Award,--D,83.57,4937.58,1,0001405693,Phantom Shares
A,04/03/2023 00:00:00,MEARS MICHAEL N,4,A-Award,--D,83.57,6079.33,1,0001188019,Phantom Shares
A,04/03/2023 00:00:00,Taylor Jack T,4,A-Award,--D,83.57,15557.91,1,0001570352,Phantom Shares
A,04/03/2023 00:00:00,Walker Cynthia Lynn,4,A-Award,--D,83.57,4296.43,1,0001554592,Phantom Shares
A,04/03/2023 00:00:00,WARNER CYNTHIA J,4,A-Award,--D,191.12,3238.93,1,0001570212,Phantom Shares
A,04/03/2023 00:00:00,YARDLEY JAMES C,4,A-Award,--D,83.57,15292.68,1,0001326431,Phantom Shares
A,04/03/2023 00:00:00,CONESA ANDRES,4,A-Award,--D,83.57,4329.91,1,0001699739,Phantom Shares
A,04/03/2023 00:00:00,BOECKMANN ALAN L,4,A-Award,--D,115.71,28434.52,1,0001194751,Phantom Shares
D,03/15/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,900,1.1,3,0001461446,Common Stock
D,03/15/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,14460,901.1,2,0001461446,Common Stock
D,03/15/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,3900,15361.1,1,0001461446,Common Stock
D,03/01/2023 00:00:00,MIHALIK TREVOR I,4,S-Sale,--D,2306,21362.04,1,0001554221,Common Stock
D,02/28/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,1200,19261.1,4,0001461446,Common Stock
D,02/28/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,3518,20461.1,3,0001461446,Common Stock
D,02/28/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,3000,23979.1,2,0001461446,Common Stock
D,02/28/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,2695,26979.1,1,0001461446,Common Stock
D,02/21/2023 00:00:00,WALL PETER R,4,F-InKind,--D,453.53,6535.36,3,0001738586,Common Stock
A,02/21/2023 00:00:00,WALL PETER R,4,A-Award,--D,420.99,6988.89,2,0001738586,Common Stock
A,02/21/2023 00:00:00,WALL PETER R,4,A-Award,--D,886.54,6567.9,1,0001738586,Common Stock
D,02/21/2023 00:00:00,Sedgwick Karen L,4,F-InKind,--D,304.94,21397.88,2,0001851750,Common Stock
A,02/21/2023 00:00:00,Sedgwick Karen L,4,A-Award,--D,879.94,21702.82,1,0001851750,Common Stock
D,02/21/2023 00:00:00,Sagara Kevin C.,4,F-InKind,--D,1421.39,12275.04,2,0001815360,Common Stock
A,02/21/2023 00:00:00,Sagara Kevin C.,4,A-Award,--D,3152.39,13696.43,1,0001815360,Common Stock
D,02/21/2023 00:00:00,MIHALIK TREVOR I,4,F-InKind,--D,2341.74,23668.04,2,0001554221,Common Stock
A,02/21/2023 00:00:00,MIHALIK TREVOR I,4,A-Award,--D,6196.99,26009.78,1,0001554221,Common Stock
D,02/21/2023 00:00:00,Martin Jeffrey W,4,F-InKind,--D,10241.43,29674.1,2,0001461446,Common Stock
A,02/21/2023 00:00:00,Martin Jeffrey W,4,A-Award,--D,20654.43,39915.53,1,0001461446,Common Stock
D,02/02/2023 00:00:00,Sedgwick Karen L,4,S-Sale,--D,8,20822.88,2,0001851750,Common Stock
D,02/02/2023 00:00:00,Sedgwick Karen L,4,S-Sale,--D,1613,20830.88,1,0001851750,Common Stock
D,01/31/2023 00:00:00,WALL PETER R,4,S-Sale,--D,2940,5681.36,1,0001738586,Common Stock
D,01/30/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,8584,19261.1,5,0001461446,Common Stock
D,01/30/2023 00:00:00,Martin Jeffrey W,4,S-Sale,--D,7380,27845.1,4,0001461446,Common Stock
D,01/26/2023 00:00:00,Martin Jeffrey W,4,F-InKind,--D,13878.22,35255.1,3,0001461446,Common Stock
A,01/26/2023 00:00:00,Martin Jeffrey W,4,A-Award,--D,23583.71,49103.32,2,0001461446,Common Stock
A,01/26/2023 00:00:00,Martin Jeffrey W,4,A-Award,--D,6258.52,25519.62,1,0001461446,Common Stock
D,01/26/2023 00:00:00,WALL PETER R,4,F-InKind,--D,655.21,8621.36,5,0001738586,Common Stock
A,01/26/2023 00:00:00,WALL PETER R,4,A-Award,--D,481.07,9276.57,4,0001738586,Common Stock
A,01/26/2023 00:00:00,WALL PETER R,4,A-Award,--D,127.78,8795.5,3,0001738586,Common Stock
A,01/26/2023 00:00:00,WALL PETER R,4,A-Award,--D,1011.96,8667.72,2,0001738586,Common Stock
A,01/26/2023 00:00:00,WALL PETER R,4,A-Award,--D,268.4,7655.76,1,0001738586,Common Stock
D,01/26/2023 00:00:00,Sagara Kevin C.,4,F-InKind,--D,1574.96,10544.04,3,0001815360,Common Stock
A,01/26/2023 00:00:00,Sagara Kevin C.,4,A-Award,--D,3598.56,12118.99,2,0001815360,Common Stock
A,01/26/2023 00:00:00,Sagara Kevin C.,4,A-Award,--D,955.4,8520.43,1,0001815360,Common Stock
D,01/26/2023 00:00:00,MIHALIK TREVOR I,4,F-InKind,--D,2840.77,19812.79,3,0001554221,Common Stock
A,01/26/2023 00:00:00,MIHALIK TREVOR I,4,A-Award,--D,7075.11,22653.55,2,0001554221,Common Stock
A,01/26/2023 00:00:00,MIHALIK TREVOR I,4,A-Award,--D,1877.91,15578.44,1,0001554221,Common Stock
D,01/26/2023 00:00:00,Sedgwick Karen L,4,F-InKind,--D,439.97,22443.88,3,0001851750,Common Stock
A,01/26/2023 00:00:00,Sedgwick Karen L,4,A-Award,--D,1003.35,22883.85,2,0001851750,Common Stock
A,01/26/2023 00:00:00,Sedgwick Karen L,4,A-Award,--D,266.62,21880.5,1,0001851750,Common Stock
D,01/17/2023 00:00:00,MIHALIK TREVOR I,4,F-InKind,--D,1.43,13700.53,1,0001554221,Common Stock
D,01/17/2023 00:00:00,WALL PETER R,4,F-InKind,--D,6.96,7387.36,1,0001738586,Common Stock
D,01/17/2023 00:00:00,Sagara Kevin C.,4,F-InKind,--D,0.52,7565.04,1,0001815360,Common Stock
D,01/17/2023 00:00:00,Sedgwick Karen L,4,F-InKind,--D,1.14,21613.88,1,0001851750,Common Stock
A,01/03/2023 00:00:00,Sagara Kevin C.,4,A-Award,--D,21340,21340,3,0001815360,Employee Stock Option (right to buy)
D,01/03/2023 00:00:00,Sagara Kevin C.,4,F-InKind,--D,319.03,7514.04,1,0001815360,Common Stock
A,01/03/2023 00:00:00,MIHALIK TREVOR I,4,A-Award,--D,32391,32391,3,0001554221,Employee Stock Option (right to buy)
D,01/03/2023 00:00:00,MIHALIK TREVOR I,4,F-InKind,--D,313.92,13687.04,1,0001554221,Common Stock
A,01/03/2023 00:00:00,Martin Jeffrey W,4,A-Award,--D,109556,109556,1,0001461446,Employee Stock Option (right to buy)
A,01/03/2023 00:00:00,WALL PETER R,4,A-Award,--D,1410,7345.46,2,0001738586,Common Stock
D,01/03/2023 00:00:00,WALL PETER R,4,F-InKind,--D,991.84,5935.46,1,0001738586,Common Stock
A,01/03/2023 00:00:00,Sedgwick Karen L,4,A-Award,--D,3357,21504.86,2,0001851750,Common Stock
D,01/03/2023 00:00:00,Sedgwick Karen L,4,F-InKind,--D,511.85,18147.86,1,0001851750,Common Stock
A,01/03/2023 00:00:00,YARDLEY JAMES C,4,A-Award,--D,81.32,15103.41,1,0001326431,Phantom Shares
