MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/15/2023 00:00:00,FRINZI THOMAS G,4,F-InKind,--D,501,92033,1,0001663458,Common Shares
A,06/15/2023 00:00:00,FARRELL STEPHEN C,4,M-Exempt,--D,3127,3127,2,0001188757,Common Stock Options
A,06/15/2023 00:00:00,FARRELL STEPHEN C,4,M-Exempt,--D,1709,8276,1,0001188757,Common Stock
A,06/15/2023 00:00:00,Kliman Gilbert H,4,M-Exempt,--D,3417,9656,1,0001293171,Common Stock
A,06/15/2023 00:00:00,WEISNER AIMEE S,4,M-Exempt,--D,3417,3417,1,0001227308,Common Stock
A,06/15/2023 00:00:00,Yu K Peony,4,M-Exempt,--D,3127,3127,2,0001621328,Common Stock Options
A,06/15/2023 00:00:00,Yu K Peony,4,M-Exempt,--D,1709,2786,1,0001621328,Common Stock
A,06/15/2023 00:00:00,Lin Elizabeth Yeu,4,M-Exempt,--D,6256,6256,1,0001842190,Common Stock Options
D,06/06/2023 00:00:00,Williams Patrick F.,4,F-InKind,--D,1987,45400,2,0001562229,Common Stock
A,06/06/2023 00:00:00,Williams Patrick F.,4,M-Exempt,--D,5121,47387,1,0001562229,Common Stock
A,05/08/2023 00:00:00,Michna Magda,4,M-Exempt,--D,25955,25955,2,0001731487,Common Stock Options
A,05/08/2023 00:00:00,Michna Magda,4,M-Exempt,--D,14047,14047,1,0001731487,Common Stock
A,05/08/2023 00:00:00,Foust Warren,4,M-Exempt,--D,37567,37567,2,0001970778,Common Stock Options
A,05/08/2023 00:00:00,Foust Warren,4,M-Exempt,--D,20331,20331,1,0001970778,Common Stock
D,03/20/2023 00:00:00,Holliday Keith,4,F-InKind,--D,907,28157,1,0001678691,Common Stock
D,03/20/2023 00:00:00,Gesten Samuel J,4,F-InKind,--D,892,43665,1,0001496615,Common Stock
D,03/20/2023 00:00:00,Francese James E,4,F-InKind,--D,797,42660,1,0001571478,Common Stock
D,03/20/2023 00:00:00,Barnes Scott D,4,F-InKind,--D,911,41502,1,0001781830,Common Stock
D,03/17/2023 00:00:00,Holliday Keith,4,S-Sale,--D,823,27633,1,0001678691,Common Stock
A,03/10/2023 00:00:00,Barnes Scott D,4,M-Exempt,--D,19301,19301,3,0001781830,Common Stock Options
A,03/10/2023 00:00:00,Barnes Scott D,4,M-Exempt,--D,10555,40810,2,0001781830,Common Stock
D,03/10/2023 00:00:00,Barnes Scott D,4,F-InKind,--D,285,30255,1,0001781830,Common Stock
A,03/10/2023 00:00:00,Francese James E,4,M-Exempt,--D,15339,15339,3,0001571478,Common Stock Options
A,03/10/2023 00:00:00,Francese James E,4,M-Exempt,--D,8388,42374,2,0001571478,Common Stock
D,03/10/2023 00:00:00,Francese James E,4,F-InKind,--D,250,33986,1,0001571478,Common Stock
A,03/10/2023 00:00:00,Gesten Samuel J,4,M-Exempt,--D,17430,17430,3,0001496615,Common Stock Options
A,03/10/2023 00:00:00,Gesten Samuel J,4,M-Exempt,--D,9531,43219,2,0001496615,Common Stock
D,03/10/2023 00:00:00,Gesten Samuel J,4,F-InKind,--D,280,33688,1,0001496615,Common Stock
A,03/10/2023 00:00:00,Holliday Keith,4,M-Exempt,--D,18638,18638,3,0001678691,Common Stock Options
A,03/10/2023 00:00:00,Holliday Keith,4,M-Exempt,--D,10192,28456,2,0001678691,Common Stock
D,03/10/2023 00:00:00,Holliday Keith,4,F-InKind,--D,284,18264,1,0001678691,Common Stock
A,03/10/2023 00:00:00,Williams Patrick F.,4,M-Exempt,--D,22281,22281,3,0001562229,Common Stock Options
A,03/10/2023 00:00:00,Williams Patrick F.,4,M-Exempt,--D,12184,45676,2,0001562229,Common Stock
D,03/10/2023 00:00:00,Williams Patrick F.,4,F-InKind,--D,289,33492,1,0001562229,Common Stock
A,03/10/2023 00:00:00,Studholme Robert,4,M-Exempt,--D,16200,16200,2,0001936289,Common Stock Options
A,03/10/2023 00:00:00,Studholme Robert,4,M-Exempt,--D,8859,31980,1,0001936289,Common Stock
A,03/07/2023 00:00:00,Williams Patrick F.,4,M-Exempt,--D,1711,35492,2,0001562229,Common Stock
D,03/07/2023 00:00:00,Williams Patrick F.,4,F-InKind,--D,1063,33781,1,0001562229,Common Stock
A,03/07/2023 00:00:00,Studholme Robert,4,M-Exempt,--D,1709,23121,1,0001936289,Common Shares
A,03/07/2023 00:00:00,Holliday Keith,4,M-Exempt,--D,1431,19979,2,0001678691,Common Stock
D,03/07/2023 00:00:00,Holliday Keith,4,F-InKind,--D,889,18548,1,0001678691,Common Stock
