MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/29/2023 00:00:00,Nelson Christopher John,4,A-Award,--D,32006,32006,2,0001808520,Stock Option (Right to Buy)
A,06/29/2023 00:00:00,Nelson Christopher John,4,A-Award,--D,68559,68559,1,0001808520,Common Stock
A,06/20/2023 00:00:00,Ayers Andrea J.,4,A-Award,--D,84.4036,9857.8119,2,0001420673,Deferred Shares
A,06/20/2023 00:00:00,Ayers Andrea J.,4,A-Award,--D,73.1066,24292.1211,1,0001420673,Common Stock
A,06/20/2023 00:00:00,Hankin Michael David,4,A-Award,--D,67.4053,7983.5669,2,0001672184,Deferred Shares
A,06/20/2023 00:00:00,Hankin Michael David,4,A-Award,--D,52.135,8032.6229,1,0001672184,Common Stock
A,06/20/2023 00:00:00,Palmieri Jane,4,A-Award,--D,16.9047,1905.1583,2,0001809709,Deferred Shares
A,06/20/2023 00:00:00,Palmieri Jane,4,A-Award,--D,38.4262,4330.6389,1,0001809709,Common Stock
A,06/20/2023 00:00:00,CAMPBELL PATRICK D,4,A-Award,--D,204.8039,23081.4021,2,0001196472,Deferred Shares
A,06/20/2023 00:00:00,CAMPBELL PATRICK D,4,A-Award,--D,52.135,5875.6229,1,0001196472,Common Stock
A,06/20/2023 00:00:00,Poul Mojdeh,4,A-Award,--D,20.4437,2649.5055,2,0001743760,Deferred Shares
A,06/20/2023 00:00:00,Poul Mojdeh,4,A-Award,--D,38.4262,4330.6389,1,0001743760,Common Stock
A,06/20/2023 00:00:00,Mitchell Adrian V,4,A-Award,--D,14.0984,1934.4116,2,0001830542,Deferred Shares
A,06/20/2023 00:00:00,Mitchell Adrian V,4,A-Award,--D,31.1799,3513.9826,1,0001830542,Common Stock
A,06/20/2023 00:00:00,Crew Debra Ann,4,A-Award,--D,98.4669,11498.0458,2,0001594085,Deferred Shares
A,06/20/2023 00:00:00,Crew Debra Ann,4,A-Award,--D,52.135,5875.6229,1,0001594085,Common Stock
A,06/20/2023 00:00:00,Tan Irving,4,A-Award,--D,26.8446,3426.1952,2,0001729518,Deferred Shares
A,06/20/2023 00:00:00,Tan Irving,4,A-Award,--D,52.135,5875.6229,1,0001729518,Common Stock
A,06/15/2023 00:00:00,Poul Mojdeh,4,A-Award,--D,345.5138,2629.0618,1,0001743760,Deferred Shares
A,06/15/2023 00:00:00,Tan Irving,4,A-Award,--D,400.796,3399.3506,1,0001729518,Deferred Shares
A,06/15/2023 00:00:00,Ayers Andrea J.,4,A-Award,--D,345.5138,9773.4083,2,0001420673,Deferred Shares
