MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/09/2023 00:00:00,Lobo Kevin,4/A,G-Gift,--D,8904,80959,1,0001519419,Common Stock
D,06/05/2023 00:00:00,Lobo Kevin,4,G-Gift,--D,8904,80959,1,0001519419,Common Stock
D,06/01/2023 00:00:00,Datar Srikant M.,4,S-Sale,--D,500,5467,1,0001376436,Common Stock
D,05/18/2023 00:00:00,Datar Srikant M.,4,S-Sale,--D,1000,5967,1,0001376436,Common Stock
A,05/10/2023 00:00:00,Silvernail Andrew K,4,A-Award,--D,705,7117,1,0001485532,Common Stock
A,05/10/2023 00:00:00,Suri Rajeev,4,A-Award,--D,705,5215,1,0001738349,Common Stock
A,05/10/2023 00:00:00,STRYKER RONDA E,4,A-Award,--D,705,3287,1,0001242914,Common Stock
A,05/10/2023 00:00:00,Skeete Tatum Lisa M,4,A-Award,--D,705,3230,1,0001811382,Common Stock
A,05/10/2023 00:00:00,McCoy Sherilyn S,4,A-Award,--D,705,5215,1,0001422968,Common Stock
A,05/10/2023 00:00:00,Golston Allan C.,4,A-Award,--D,705,14242,1,0001509370,Common Stock
A,05/10/2023 00:00:00,Datar Srikant M.,4,A-Award,--D,705,6967,1,0001376436,Common Stock
A,05/10/2023 00:00:00,Caforio Giovanni,4,A-Award,--D,705,2555,1,0001533201,Common Stock
A,05/10/2023 00:00:00,BRAINERD MARY K,4,A-Award,--D,705,5815,1,0001195918,Common Stock
D,05/08/2023 00:00:00,STRYKER RONDA E,4,G-Gift,--I,200000,3956274,1,0001242914,Common Stock
D,05/04/2023 00:00:00,Suri Rajeev,4,M-Exempt,--D,841,0,2,0001738349,Restricted Stock Units granted 05/04/2022
A,05/04/2023 00:00:00,Suri Rajeev,4,M-Exempt,--D,841,4510,1,0001738349,Common Stock
D,05/04/2023 00:00:00,Skeete Tatum Lisa M,4,M-Exempt,--D,841,0,2,0001811382,Restricted Stock Units granted 05/04/2022
A,05/04/2023 00:00:00,Skeete Tatum Lisa M,4,M-Exempt,--D,841,2525,1,0001811382,Common Stock
D,05/04/2023 00:00:00,McCoy Sherilyn S,4,M-Exempt,--D,841,0,2,0001422968,Restricted Stock Units granted 05/04/2022
A,05/04/2023 00:00:00,McCoy Sherilyn S,4,M-Exempt,--D,841,4510,1,0001422968,Common Stock
D,05/04/2023 00:00:00,Caforio Giovanni,4,M-Exempt,--D,841,0,2,0001533201,Restricted Stock Units granted 05/04/2022
A,05/04/2023 00:00:00,Caforio Giovanni,4,M-Exempt,--D,841,1850,1,0001533201,Common Stock
D,05/04/2023 00:00:00,BRAINERD MARY K,4,M-Exempt,--D,841,0,2,0001195918,Restricted Stock Units granted 05/04/2022
A,05/04/2023 00:00:00,BRAINERD MARY K,4,M-Exempt,--D,841,5110,1,0001195918,Common Stock
D,05/01/2023 00:00:00,Menon Viju,4,F-InKind,--D,649,11994,1,0001738369,Common Stock
D,05/01/2023 00:00:00,Fink M Kathryn,4,F-InKind,--D,140,10103,1,0001663095,Common Stock
D,05/01/2023 00:00:00,Boehnlein Glenn S,4,F-InKind,--D,572,4615,1,0001670936,Common Stock
D,05/01/2023 00:00:00,Becker Yin C,4,F-InKind,--D,148,21931,1,0001663135,Common Stock
D,03/21/2023 00:00:00,STRYKER RONDA E,4,M-Exempt,--D,1048,0,7,0001242914,Restricted Stock Units granted 05/02/2018
A,03/21/2023 00:00:00,STRYKER RONDA E,4,M-Exempt,--D,1048,2582,4,0001242914,Common Stock
D,03/21/2023 00:00:00,Stiles Spencer S,4,M-Exempt,--D,107,0,4,0001886430,Dividend Equivalents
D,03/21/2023 00:00:00,Stiles Spencer S,4,F-InKind,--D,1419,43994,2,0001886430,Common Stock
A,03/21/2023 00:00:00,Stiles Spencer S,4,M-Exempt,--D,107,45413,1,0001886430,Common Stock
D,03/21/2023 00:00:00,Pierce James Andrew,4,M-Exempt,--D,107,0,6,0001886518,Dividend Equivalents
D,03/21/2023 00:00:00,Pierce James Andrew,4,F-InKind,--D,1952,48658,2,0001886518,Common Stock
A,03/21/2023 00:00:00,Pierce James Andrew,4,M-Exempt,--D,107,50610,1,0001886518,Common Stock
D,03/21/2023 00:00:00,Menon Viju,4,M-Exempt,--D,88,0,4,0001738369,Dividend Equivalents
D,03/21/2023 00:00:00,Menon Viju,4,F-InKind,--D,1218,12643,2,0001738369,Common Stock
A,03/21/2023 00:00:00,Menon Viju,4,M-Exempt,--D,88,13861,1,0001738369,Common Stock
D,03/21/2023 00:00:00,Lobo Kevin,4,M-Exempt,--D,504,0,4,0001519419,Dividend Equivalents
