MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,151,0,10,0001191714,Non-Employee Director Stock Option (right-to-buy)
D,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,101,0,9,0001191714,Non-Employee Director Stock Option (right-to-buy)
D,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,57,0,8,0001191714,Non-Employee Director Stock Option (right-to-buy)
D,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,111,0,7,0001191714,Non-Employee Director Stock Option (right-to-buy)
D,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,1545,0,6,0001191714,Non-Employee Director Stock Option (right-to-buy)
A,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,151,62128,5,0001191714,Common Stock
A,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,101,61977,4,0001191714,Common Stock
A,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,57,61876,3,0001191714,Common Stock
A,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,111,61819,2,0001191714,Common Stock
A,05/26/2023 00:00:00,LORNE SIMON M,4,M-Exempt,--D,1545,61708,1,0001191714,Common Stock
D,05/15/2023 00:00:00,Cibik Melanie Susan,4,M-Exempt,--D,2000,13000,3,0001555594,Stock Option right-to-buy
D,05/15/2023 00:00:00,Cibik Melanie Susan,4,S-Sale,--D,2000,27305.0452,2,0001555594,Common Stock
A,05/15/2023 00:00:00,Cibik Melanie Susan,4,M-Exempt,--D,2000,29305.0452,1,0001555594,Common Stock
A,04/26/2023 00:00:00,VON SCHACK WESLEY W,4,A-Award,--I,419,12343,1,0001025355,Common Stock
A,04/26/2023 00:00:00,CROCKER CHARLES,4,A-Award,--D,419,45932,1,0001061568,Common Stock
A,04/26/2023 00:00:00,SMITH MICHAEL T,4,A-Award,--D,419,56492,1,0001186676,Common Stock
A,04/26/2023 00:00:00,Singleton Denise R,4,A-Award,--D,419,1631,1,0001524595,Common Stock
A,04/26/2023 00:00:00,Sherburne Jane Cecile,4,A-Award,--D,419,5501,1,0001438784,Common Stock
A,04/26/2023 00:00:00,Morales Vincent J,4,A-Award,--D,419,939,1,0001700271,Common Stock
A,04/26/2023 00:00:00,Malone Robert A,4,A-Award,--D,419,4924,1,0001464471,Common Stock
A,04/26/2023 00:00:00,LORNE SIMON M,4,A-Award,--D,419,60163,1,0001191714,Common Stock
A,04/26/2023 00:00:00,Kumbier Michelle,4,A-Award,--D,419,1633,1,0001640036,Common Stock
A,04/26/2023 00:00:00,DAHLBERG KENNETH C,4,A-Award,--D,419,18735,1,0001222184,Common Stock
D,03/07/2023 00:00:00,MEHRABIAN ROBERT,4,M-Exempt,--D,1100,45500,7,0001184647,Stock Option right-to-buy
D,03/07/2023 00:00:00,MEHRABIAN ROBERT,4,S-Sale,--D,100,196052,5,0001184647,Common Stock
D,03/07/2023 00:00:00,MEHRABIAN ROBERT,4,S-Sale,--D,1000,196152,4,0001184647,Common Stock
A,03/07/2023 00:00:00,MEHRABIAN ROBERT,4,M-Exempt,--D,1100,197152,3,0001184647,Common Stock
