MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/30/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,300,0,5,0001666121,Class A Common Stock
D,06/30/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,1850,300,4,0001666121,Class A Common Stock
D,06/30/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,3969,2150,3,0001666121,Class A Common Stock
D,06/30/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,1233,6119,2,0001666121,Class A Common Stock
D,06/30/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,889,7352,1,0001666121,Class A Common Stock
D,06/30/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,1232,0,5,0001666120,Class A Common Stock
D,06/30/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,889,1232,4,0001666120,Class A Common Stock
D,06/30/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,3970,2121,3,0001666120,Class A Common Stock
D,06/30/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,1850,6091,2,0001666120,Class A Common Stock
D,06/30/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,300,7941,1,0001666120,Class A Common Stock
D,06/29/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,500,8241,5,0001666121,Class A Common Stock
D,06/29/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,703,8741,4,0001666121,Class A Common Stock
D,06/29/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,1053,9444,3,0001666121,Class A Common Stock
D,06/29/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,2206,10497,2,0001666121,Class A Common Stock
D,06/29/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,3779,12703,1,0001666121,Class A Common Stock
D,06/29/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,500,8241,5,0001666120,Class A Common Stock
D,06/29/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,704,8741,4,0001666120,Class A Common Stock
D,06/29/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,1052,9445,3,0001666120,Class A Common Stock
D,06/29/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,2206,10497,2,0001666120,Class A Common Stock
D,06/29/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,3779,12703,1,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,200,16482,8,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,500,16682,7,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,650,17182,6,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,200,17832,5,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,3831,18032,4,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,1695,21863,3,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,815,23558,2,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Farquhar Scott,4,S-Sale,--I,350,24373,1,0001666121,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,350,16482,8,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,650,16832,7,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,500,17482,6,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,3831,17982,5,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,200,21813,4,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,1696,22013,3,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,814,23709,2,0001666120,Class A Common Stock
D,06/28/2023 00:00:00,Cannon-Brookes Michael,4,S-Sale,--I,200,24523,1,0001666120,Class A Common Stock
