MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/24/2023 00:00:00,WEISLER DION J,4,A-Award,--D,392,4236,1,0001580693,Common Stock
A,05/24/2023 00:00:00,SPERLING SCOTT M,4,A-Award,--D,392,72462,1,0001214212,Common Stock
A,05/24/2023 00:00:00,Spar Debora L,4,A-Award,--D,392,1371,1,0001523191,Common Stock
A,05/24/2023 00:00:00,SORENSEN LARS REBIEN,4,A-Award,--D,392,9351,1,0001225514,Common Stock
A,05/24/2023 00:00:00,MULLEN JAMES C,4,A-Award,--D,392,2489,1,0001226288,Common Stock
A,05/24/2023 00:00:00,Keith R. Alexandra,4,A-Award,--D,392,1199,1,0001710268,Common Stock
A,05/24/2023 00:00:00,Jacks Tyler,4,A-Award,--D,392,8059,1,0001464237,Common Stock
A,05/24/2023 00:00:00,HARRIS C MARTIN,4,A-Award,--D,392,8129,1,0001236982,Common Stock
A,05/24/2023 00:00:00,CHANDY RUBY R,4,A-Award,--D,392,2060,1,0001358419,Common Stock
A,05/24/2023 00:00:00,Chai Nelson,4,A-Award,--D,392,13909,1,0001299914,Common Stock
D,05/18/2023 00:00:00,SORENSEN LARS REBIEN,4,F-InKind,--D,111,8959,1,0001225514,Common Stock
D,05/18/2023 00:00:00,WEISLER DION J,4,F-InKind,--D,53,3844,1,0001580693,Common Stock
D,05/12/2023 00:00:00,Holmes Joseph R.,4,F-InKind,--D,5,1575,1,0001839832,Common Stock
D,05/09/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,1600,63200,19,0001216055,Stock Option (Right to Buy)
D,05/09/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,156,141329.53,13,0001216055,Common Stock
D,05/09/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,600,141485.53,12,0001216055,Common Stock
D,05/09/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,704,142085.53,11,0001216055,Common Stock
D,05/09/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,140,142789.53,10,0001216055,Common Stock
A,05/09/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,1600,142929.53,9,0001216055,Common Stock
D,05/08/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,10000,64800,18,0001216055,Stock Option (Right to Buy)
D,05/08/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,500,141329.53,8,0001216055,Common Stock
D,05/08/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,379,141829.53,7,0001216055,Common Stock
D,05/08/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,600,142208.53,6,0001216055,Common Stock
D,05/08/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,2828,142808.53,5,0001216055,Common Stock
D,05/08/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,3200,145636.53,4,0001216055,Common Stock
D,05/08/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,1793,148836.53,3,0001216055,Common Stock
D,05/08/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,700,150629.53,2,0001216055,Common Stock
A,05/08/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,10000,151329.53,1,0001216055,Common Stock
D,05/05/2023 00:00:00,Pettiti Gianluca,4,F-InKind,--D,118,18601,1,0001844600,Common Stock
D,05/05/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,10000,74800,24,0001216055,Stock Option (Right to Buy)
D,05/05/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,1300,141329.53,18,0001216055,Common Stock
D,05/05/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,1101,142629.53,17,0001216055,Common Stock
D,05/05/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,2264,143730.53,16,0001216055,Common Stock
D,05/05/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,2235,145994.53,15,0001216055,Common Stock
D,05/05/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,2400,148229.53,14,0001216055,Common Stock
D,05/05/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,700,150629.53,13,0001216055,Common Stock
A,05/05/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,10000,151329.53,12,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,10000,84800,23,0001216055,Stock Option (Right to Buy)
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,232,141329.53,11,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,596,141561.53,10,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,100,142157.53,9,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,877,142257.53,8,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,600,143134.53,7,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,848,143734.53,6,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,2397,144582.53,5,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,2501,146979.53,4,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,1104,149480.53,3,0001216055,Common Stock
D,05/04/2023 00:00:00,CASPER MARC N,4,S-Sale,--D,745,150584.53,2,0001216055,Common Stock
A,05/04/2023 00:00:00,CASPER MARC N,4,M-Exempt,--D,10000,151329.53,1,0001216055,Common Stock
A,04/01/2023 00:00:00,Keith R. Alexandra,4,A-Award,--D,54.22,542.45,1,0001710268,Phantom Stock Units
A,04/01/2023 00:00:00,SPERLING SCOTT M,4,A-Award,--D,71.57,16622.05,1,0001214212,Phantom Stock Units
A,04/01/2023 00:00:00,WEISLER DION J,4,A-Award,--D,65.06,1844.3,1,0001580693,Phantom Stock Units
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,100,59155,23,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,100,59255,22,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,400,59355,21,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,800,59755,20,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,560,60555,19,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,400,61115,18,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,850,61515,17,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,667,62365,16,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,1200,63032,15,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,840,64232,14,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,1183,65072,13,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,200,66255,12,0001216055,Common Stock
D,03/14/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,200,66455,11,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,400,66655,10,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,400,67055,9,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,700,67455,8,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,600,68155,7,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,1300,68755,6,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,1584,70055,5,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,1300,71639,4,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,716,72939,3,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,200,73655,2,0001216055,Common Stock
D,03/13/2023 00:00:00,CASPER MARC N,4,S-Sale,--I,300,73855,1,0001216055,Common Stock
D,03/05/2023 00:00:00,Lagarde Michel,4,F-InKind,--D,131,19184.205,1,0001518973,Common Stock
D,03/05/2023 00:00:00,Pettiti Gianluca,4,F-InKind,--D,66,18719,1,0001844600,Common Stock
D,02/28/2023 00:00:00,Williamson Stephen,4,F-InKind,--D,835,27393,1,0001648929,Common Stock
