MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/27/2023 00:00:00,Comparato Christopher P,4,S-Sale,--D,49053,367816,1,0001868272,Class A Common Stock
D,06/20/2023 00:00:00,Comparato Christopher P,4,C-Conversion,--D,375000,1991390,3,0001868272,Class B Common Stock
D,06/20/2023 00:00:00,Comparato Christopher P,4,S-Sale,--D,8947,416869,2,0001868272,Class A Common Stock
A,06/20/2023 00:00:00,Comparato Christopher P,4,C-Conversion,--D,375000,425816,1,0001868272,Class A Common Stock
D,06/15/2023 00:00:00,Fredette Stephen,4,S-Sale,--D,90950,2968655,2,0001869038,Class A Common Stock
D,06/15/2023 00:00:00,Fredette Stephen,4,S-Sale,--D,166783,3059605,1,0001869038,Class A Common Stock
D,06/15/2023 00:00:00,Matlock James Michael,4,S-Sale,--D,4803,24241,2,0001887681,Class A Common Stock
D,06/15/2023 00:00:00,Matlock James Michael,4,S-Sale,--D,10190,29044,1,0001887681,Class A Common Stock
D,06/15/2023 00:00:00,Bennett Richard Kent,4,C-Conversion,--I,0,0,4,0001860725,Class B Common Stock
D,06/15/2023 00:00:00,Bennett Richard Kent,4,S-Sale,--I,0,0,2,0001860725,Class A Common Stock
A,06/15/2023 00:00:00,Bennett Richard Kent,4,C-Conversion,--I,0,0,1,0001860725,Class A Common Stock
D,06/15/2023 00:00:00,Bessemer Venture Partners IX L.P.,4,C-Conversion,--I,2980233,25251522,3,0001655213,Class B Common Stock
D,06/15/2023 00:00:00,Bessemer Venture Partners IX L.P.,4,S-Sale,--I,2980233,0,2,0001655213,Class A Common Stock
A,06/15/2023 00:00:00,Bessemer Venture Partners IX L.P.,4,C-Conversion,--I,2980233,2980233,1,0001655213,Class A Common Stock
A,06/08/2023 00:00:00,BELL PAUL D,4,A-Award,--D,11593,11593,2,0001077816,Restricted Stock Units
A,06/08/2023 00:00:00,Chapman-Hughes Susan,4,A-Award,--D,11593,11593,2,0001608495,Restricted Stock Units
A,06/08/2023 00:00:00,Hawkins Mark J,4,A-Award,--D,11593,11593,2,0001430437,Restricted Stock Units
A,06/08/2023 00:00:00,PATRICK DEVAL L,4,A-Award,--D,11593,11593,2,0001053466,Restricted Stock Units
A,06/08/2023 00:00:00,Koplow Hilarie A.,4,A-Award,--D,11593,11593,2,0001517131,Restricted Stock Units
A,06/08/2023 00:00:00,Yuan David,4,A-Award,--D,11593,11593,5,0001406509,Restricted Stock Units
A,06/08/2023 00:00:00,Bennett Richard Kent,4,A-Award,--I,11593,11593,2,0001860725,Restricted Stock Units
