MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/24/2023 00:00:00,Golden Russell G.,4,A-Award,--D,1023,1023,1,0001977982,Common Stock
D,05/10/2023 00:00:00,Klein Michael Frederick,4,M-Exempt,--D,10246,0,5,0001689571,Stock Options (Right to Buy)
D,05/10/2023 00:00:00,Klein Michael Frederick,4,S-Sale,--D,4710,14079.798,3,0001689571,Common Stock
D,05/10/2023 00:00:00,Klein Michael Frederick,4,S-Sale,--D,5536,18789.798,2,0001689571,Common Stock
A,05/10/2023 00:00:00,Klein Michael Frederick,4,M-Exempt,--D,10246,24325.798,1,0001689571,Common Stock
D,05/05/2023 00:00:00,Rowland David Donnay,4,G-Gift,--I,838,8523,1,0001865043,Common Stock
D,04/25/2023 00:00:00,BESSETTE ANDY F,4,M-Exempt,--D,11572,0,7,0001198918,Stock Options (Right to Buy)
D,04/25/2023 00:00:00,BESSETTE ANDY F,4,G-Gift,--D,559,16802.419,5,0001198918,Common Stock
D,04/25/2023 00:00:00,BESSETTE ANDY F,4,S-Sale,--D,2565,17361.419,4,0001198918,Common Stock
D,04/25/2023 00:00:00,BESSETTE ANDY F,4,S-Sale,--D,1800,19926.419,3,0001198918,Common Stock
D,04/25/2023 00:00:00,BESSETTE ANDY F,4,S-Sale,--D,7207,21726.419,2,0001198918,Common Stock
A,04/25/2023 00:00:00,BESSETTE ANDY F,4,M-Exempt,--D,11572,28933.419,1,0001198918,Common Stock
D,04/24/2023 00:00:00,Kess Avrohom J.,4,G-Gift,--D,1000,35634.943,1,0001693186,Common Stock
D,04/21/2023 00:00:00,Frey Daniel S.,4,M-Exempt,--D,39044,0,8,0001751992,Stock Options (Right to Buy)
D,04/21/2023 00:00:00,Frey Daniel S.,4,M-Exempt,--D,1462,0,7,0001751992,Stock Options (Right to Buy)
D,04/21/2023 00:00:00,Frey Daniel S.,4,S-Sale,--D,16415,14809.561,6,0001751992,Common Stock
D,04/21/2023 00:00:00,Frey Daniel S.,4,S-Sale,--D,19522,31224.561,5,0001751992,Common Stock
A,04/21/2023 00:00:00,Frey Daniel S.,4,M-Exempt,--D,39044,50746.561,4,0001751992,Common Stock
D,04/21/2023 00:00:00,Frey Daniel S.,4,S-Sale,--D,648,11702.561,3,0001751992,Common Stock
D,04/21/2023 00:00:00,Frey Daniel S.,4,S-Sale,--D,731,12350.561,2,0001751992,Common Stock
A,04/21/2023 00:00:00,Frey Daniel S.,4,M-Exempt,--D,1462,13081.561,1,0001751992,Common Stock
A,03/31/2023 00:00:00,Robinson Elizabeth,4,A-Award,--D,233.36,7263.033,1,0001687218,Common Stock
D,02/23/2023 00:00:00,Toczydlowski Gregory C,4,S-Sale,--D,5419.557,18415.938,3,0001689378,Common Stock
D,02/23/2023 00:00:00,Klenk Jeffrey P.,4,S-Sale,--D,2132,6073.991,3,0001879574,Common Stock
D,02/23/2023 00:00:00,Lefebvre Mojgan M,4,S-Sale,--D,5374.832,0,3,0001753788,Common Stock
D,02/22/2023 00:00:00,Toczydlowski Gregory C,4,F-InKind,--D,4707,23835.495,2,0001689378,Common Stock
A,02/22/2023 00:00:00,Toczydlowski Gregory C,4,A-Award,--D,10126.557,28542.495,1,0001689378,Common Stock
D,02/22/2023 00:00:00,Klenk Jeffrey P.,4,F-InKind,--D,1864,8205.991,2,0001879574,Common Stock
A,02/22/2023 00:00:00,Klenk Jeffrey P.,4,A-Award,--D,3996.924,10069.991,1,0001879574,Common Stock
