MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/17/2023 00:00:00,Estep Jonathan S,4,M-Exempt,--D,3447,0,5,0001778757,Employee stock option
D,05/17/2023 00:00:00,Estep Jonathan S,4,S-Sale,--I,164,62.552,4,0001778757,Common stock
D,05/17/2023 00:00:00,Estep Jonathan S,4,S-Sale,--D,8627,7972,3,0001778757,Common stock
D,05/17/2023 00:00:00,Estep Jonathan S,4,S-Sale,--D,3447,16599,2,0001778757,Common stock
A,05/17/2023 00:00:00,Estep Jonathan S,4,M-Exempt,--D,3447,20046,1,0001778757,Common stock
D,05/16/2023 00:00:00,Mills Robert D,4,S-Sale,--D,7982,14980,1,0001601974,Common stock
D,05/16/2023 00:00:00,Barton Kurt D,4,S-Sale,--D,9091,27061,1,0001699806,Common stock
A,05/10/2023 00:00:00,Brown Joy,4,A-Award,--D,652,2355,1,0001842251,Common stock
A,05/10/2023 00:00:00,Weikel Mark J,4,A-Award,--D,652,8833,1,0001599351,Common stock
A,05/10/2023 00:00:00,Krishnan Ramkumar,4,A-Award,--D,652,9847.199,1,0001689525,Common stock
A,05/10/2023 00:00:00,MORRIS EDNA,4,A-Award,--D,947,3660,1,0001170836,Common stock
A,05/10/2023 00:00:00,Hawaux Andre J,4,A-Award,--D,652,652,1,0001327043,Common stock
A,05/10/2023 00:00:00,Jackson Denise L,4,A-Award,--D,652,7031,1,0001320242,Common stock
A,05/10/2023 00:00:00,Cardenas Ricardo,4,A-Award,--D,652,5638.529,1,0001653795,Common stock
D,04/20/2023 00:00:00,Yankee Colin,4,M-Exempt,--D,1335,2671,3,0001802675,Employee stock option
D,04/20/2023 00:00:00,Yankee Colin,4,S-Sale,--D,1335,9886,2,0001802675,Common stock
A,04/20/2023 00:00:00,Yankee Colin,4,M-Exempt,--D,1335,11221,1,0001802675,Common stock
A,04/03/2023 00:00:00,Krishnan Ramkumar,4,A-Award,--D,101.199,9195.199,1,0001689525,Common stock
A,04/03/2023 00:00:00,Cardenas Ricardo,4,A-Award,--D,70.529,4986.529,1,0001653795,Common stock
D,02/16/2023 00:00:00,Kersey Melissa,4,S-Sale,--D,200,8051,6,0001819248,Common stock
D,02/16/2023 00:00:00,Kersey Melissa,4,S-Sale,--D,120,8251,5,0001819248,Common stock
D,02/16/2023 00:00:00,Kersey Melissa,4,S-Sale,--D,140,8371,4,0001819248,Common stock
D,02/16/2023 00:00:00,Kersey Melissa,4,S-Sale,--D,12,8511,3,0001819248,Common stock
D,02/16/2023 00:00:00,Kersey Melissa,4,S-Sale,--D,100,8523,2,0001819248,Common stock
D,02/16/2023 00:00:00,Kersey Melissa,4,S-Sale,--D,1128,8623,1,0001819248,Common stock
D,02/15/2023 00:00:00,Ellison Noni L,4,S-Sale,--D,57,1787,2,0001840857,Common stock
D,02/15/2023 00:00:00,Ellison Noni L,4,S-Sale,--D,2268,1844,1,0001840857,Common stock
D,02/14/2023 00:00:00,Rubin Matthew L.,4,M-Exempt,--D,1161,2324,6,0001844191,Employee stock option
D,02/14/2023 00:00:00,Rubin Matthew L.,4,S-Sale,--D,1161,3658,4,0001844191,Common stock
A,02/14/2023 00:00:00,Rubin Matthew L.,4,M-Exempt,--D,1161,4819,3,0001844191,Common stock
D,02/14/2023 00:00:00,Rubin Matthew L.,4,S-Sale,--D,1,3658,2,0001844191,Common stock
D,02/14/2023 00:00:00,Rubin Matthew L.,4,S-Sale,--D,839,3659,1,0001844191,Common stock
D,02/13/2023 00:00:00,Lawton III Harry A,4,G-Gift,--D,1070,83664,1,0001647222,Common stock
D,02/10/2023 00:00:00,Yankee Colin,4,S-Sale,--D,3650,9886,1,0001802675,Common stock
A,02/09/2023 00:00:00,Ordus John P,4,A-Award,--D,3283,3283,6,0001778751,Employee stock option
A,02/09/2023 00:00:00,Ordus John P,4,A-Award,--D,890,15889,4,0001778751,Common stock
D,02/09/2023 00:00:00,Ordus John P,4,F-InKind,--D,123,14999,3,0001778751,Common stock
A,02/09/2023 00:00:00,Mills Robert D,4,A-Award,--D,1223,22962,5,0001601974,Common stock
A,02/09/2023 00:00:00,Mills Robert D,4,A-Award,--D,859,21739,4,0001601974,Common stock
D,02/09/2023 00:00:00,Mills Robert D,4,F-InKind,--D,169,20880,3,0001601974,Common stock
A,02/09/2023 00:00:00,Ellison Noni L,4,A-Award,--D,2811,2811,5,0001840857,Employee stock option
A,02/09/2023 00:00:00,Ellison Noni L,4,A-Award,--D,762,4112,3,0001840857,Common stock
A,02/09/2023 00:00:00,Ellison Noni L,4,A-Award,--D,214,3350,2,0001840857,Common stock
A,02/09/2023 00:00:00,Barton Kurt D,4,A-Award,--D,6156,6156,9,0001699806,Employee stock option
D,02/09/2023 00:00:00,Barton Kurt D,4,S-Sale,--D,5020,37152,7,0001699806,Common stock
D,02/09/2023 00:00:00,Barton Kurt D,4,S-Sale,--D,5000,42172,6,0001699806,Common stock
A,02/09/2023 00:00:00,Barton Kurt D,4,M-Exempt,--D,5000,47172,5,0001699806,Common stock
A,02/09/2023 00:00:00,Barton Kurt D,4,A-Award,--D,1669,42172,4,0001699806,Common stock
D,02/09/2023 00:00:00,Barton Kurt D,4,F-InKind,--D,307,40503,3,0001699806,Common stock
A,02/09/2023 00:00:00,Lawton III Harry A,4,A-Award,--D,34887,34887,7,0001647222,Employee stock option
D,02/09/2023 00:00:00,Lawton III Harry A,4,S-Sale,--D,20067,84734,5,0001647222,Common stock
A,02/09/2023 00:00:00,Lawton III Harry A,4,A-Award,--D,9457,104801,4,0001647222,Common stock
D,02/09/2023 00:00:00,Lawton III Harry A,4,F-InKind,--D,1075,95344,3,0001647222,Common stock
A,02/09/2023 00:00:00,Kersey Melissa,4,A-Award,--D,3283,3283,6,0001819248,Employee stock option
A,02/09/2023 00:00:00,Kersey Melissa,4,A-Award,--D,890,9751,4,0001819248,Common stock
D,02/09/2023 00:00:00,Kersey Melissa,4,F-InKind,--D,123,8861,3,0001819248,Common stock
A,02/09/2023 00:00:00,Estep Jonathan S,4,A-Award,--D,3283,3283,6,0001778757,Employee stock option
A,02/09/2023 00:00:00,Estep Jonathan S,4,A-Award,--D,890,16599,4,0001778757,Common stock
D,02/09/2023 00:00:00,Estep Jonathan S,4,F-InKind,--D,123,15709,3,0001778757,Common stock
A,02/09/2023 00:00:00,Yankee Colin,4,A-Award,--D,3283,3283,6,0001802675,Employee stock option
A,02/09/2023 00:00:00,Yankee Colin,4,A-Award,--D,890,14189,4,0001802675,Common stock
D,02/09/2023 00:00:00,Yankee Colin,4,F-InKind,--D,123,13299,3,0001802675,Common stock
A,02/09/2023 00:00:00,Rubin Matthew L.,4,A-Award,--D,1436,1436,4,0001844191,Employee stock option
A,02/09/2023 00:00:00,Rubin Matthew L.,4,A-Award,--D,389,4498,2,0001844191,Common stock
D,02/09/2023 00:00:00,Rubin Matthew L.,4,F-InKind,--D,41,4109,1,0001844191,Common stock
A,02/09/2023 00:00:00,Gardiner Kimberley S.,4,A-Award,--D,2052,2052,2,0001939292,Employee stock option
A,02/09/2023 00:00:00,Gardiner Kimberley S.,4,A-Award,--D,556,1787,1,0001939292,Common stock
D,02/08/2023 00:00:00,Ordus John P,4,F-InKind,--D,1892,15122,2,0001778751,Common stock
A,02/08/2023 00:00:00,Ordus John P,4,A-Award,--D,5708,17014,1,0001778751,Common stock
A,02/08/2023 00:00:00,Mills Robert D,4,A-Award,--D,4514,4514,7,0001601974,Employee stock option
D,02/08/2023 00:00:00,Mills Robert D,4,F-InKind,--D,3350,21049,2,0001601974,Common stock
A,02/08/2023 00:00:00,Mills Robert D,4,A-Award,--D,8972,24399,1,0001601974,Common stock
D,02/08/2023 00:00:00,Ellison Noni L,4,F-InKind,--D,58,3136,1,0001840857,Common stock
D,02/08/2023 00:00:00,Barton Kurt D,4,M-Exempt,--D,5000,6712,10,0001699806,Employee stock option
D,02/08/2023 00:00:00,Barton Kurt D,4,F-InKind,--D,4652,40810,2,0001699806,Common stock
A,02/08/2023 00:00:00,Barton Kurt D,4,A-Award,--D,12234,45462,1,0001699806,Common stock
D,02/08/2023 00:00:00,Lawton III Harry A,4,F-InKind,--D,17653,96419,2,0001647222,Common stock
A,02/08/2023 00:00:00,Lawton III Harry A,4,A-Award,--D,44860,114072,1,0001647222,Common stock
D,02/08/2023 00:00:00,Kersey Melissa,4,F-InKind,--D,2042,8984,2,0001819248,Common stock
A,02/08/2023 00:00:00,Kersey Melissa,4,A-Award,--D,6622,11026,1,0001819248,Common stock
D,02/08/2023 00:00:00,Estep Jonathan S,4,F-InKind,--D,1892,15832,2,0001778757,Common stock
A,02/08/2023 00:00:00,Estep Jonathan S,4,A-Award,--D,5708,17724,1,0001778757,Common stock
D,02/08/2023 00:00:00,Yankee Colin,4,S-Sale,--D,653,13536,5,0001802675,Common stock
D,02/08/2023 00:00:00,Yankee Colin,4,F-InKind,--D,2247,13422,2,0001802675,Common stock
