MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,11/18/2031 00:00:00,BATRACK DAN L,4,S-Sale,--D,15000,159029,6,0001207854,COMMON STOCK
D,06/13/2023 00:00:00,THOMPSON J KENNETH,4,S-Sale,--D,2500,17836,1,0001188787,COMMON STOCK
D,06/07/2023 00:00:00,CARTER BRIAN N,4,S-Sale,--D,2234,7818,1,0001561742,COMMON STOCK
D,06/02/2023 00:00:00,THOMPSON J KENNETH,4,S-Sale,--D,5000,20336,1,0001188787,COMMON STOCK
D,02/27/2023 00:00:00,Volpi Kirsten M,4,M-Exempt,--D,825,2000,3,0001582882,STOCK OPTION
D,02/27/2023 00:00:00,Volpi Kirsten M,4,F-InKind,--D,221,12167,2,0001582882,COMMON STOCK
A,02/27/2023 00:00:00,Volpi Kirsten M,4,M-Exempt,--D,825,12388,1,0001582882,COMMON STOCK
D,02/16/2023 00:00:00,Volpi Kirsten M,4,S-Sale,--D,900,11563,1,0001582882,COMMON STOCK
D,02/08/2023 00:00:00,Ritrievi Kimberly E,4,S-Sale,--D,1800,29940,1,0001592089,COMMON STOCK
D,02/06/2023 00:00:00,BURDICK STEVEN M,4,S-Sale,--D,10515,39771,1,0001277150,COMMON STOCK
A,01/30/2023 00:00:00,Obiaya Christiana,4,A-Award,--D,337,337,1,0001902712,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,12/15/2022 00:00:00,BATRACK DAN L,4,S-Sale,--D,30000,48487,1,0001207854,COMMON STOCK
D,12/14/2022 00:00:00,LEWIS J CHRISTOPHER,4,S-Sale,--D,4748,57875,2,0001007757,COMMON STOCK
D,12/14/2022 00:00:00,LEWIS J CHRISTOPHER,4,S-Sale,--D,9901,62623,1,0001007757,COMMON STOCK
D,12/13/2022 00:00:00,Volpi Kirsten M,4,G-Gift,--D,70,12463,1,0001582882,COMMON STOCK
D,12/06/2022 00:00:00,Volpi Kirsten M,4,G-Gift,--D,70,12533,2,0001582882,COMMON STOCK
D,12/06/2022 00:00:00,Volpi Kirsten M,4,S-Sale,--D,700,12603,1,0001582882,COMMON STOCK
D,11/23/2022 00:00:00,Argus Roger R,4,S-Sale,--D,4115,2081,1,0001721930,COMMON STOCK
D,11/22/2022 00:00:00,Hudkins Jill,4,S-Sale,--D,154,2926,7,0001927467,COMMON STOCK
D,11/22/2022 00:00:00,Hudkins Jill,4,S-Sale,--D,1846,3080,6,0001927467,COMMON STOCK
D,11/21/2022 00:00:00,Hopson Preston III,4,S-Sale,--D,3616,10395,7,0001728969,COMMON STOCK
D,11/18/2022 00:00:00,Volpi Kirsten M,4,M-Exempt,--D,318,0,3,0001582882,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/18/2022 00:00:00,Volpi Kirsten M,4,M-Exempt,--D,318,13303,2,0001582882,COMMON STOCK
A,11/18/2022 00:00:00,Volpi Kirsten M,4,A-Award,--D,1710,12985,1,0001582882,COMMON STOCK
D,11/18/2022 00:00:00,THOMPSON J KENNETH,4,M-Exempt,--D,318,0,3,0001188787,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/18/2022 00:00:00,THOMPSON J KENNETH,4,M-Exempt,--D,318,25336,2,0001188787,COMMON STOCK
A,11/18/2022 00:00:00,THOMPSON J KENNETH,4,A-Award,--D,1710,25018,1,0001188787,COMMON STOCK
D,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,505,1512,10,0001450067,COMMON STOCK
D,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,738,1475,9,0001450067,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,814,814,8,0001450067,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,1000,0,7,0001450067,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,F-InKind,--D,6823,71833,6,0001450067,COMMON STOCK
A,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,505,78656,5,0001450067,COMMON STOCK
A,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,738,78151,4,0001450067,COMMON STOCK
A,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,814,77413,3,0001450067,COMMON STOCK
A,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,M-Exempt,--D,1000,76599,2,0001450067,COMMON STOCK
A,11/18/2022 00:00:00,SHOEMAKER LESLIE L,4,A-Award,--D,9578,75599,1,0001450067,COMMON STOCK
D,11/18/2022 00:00:00,Ritrievi Kimberly E,4,G-Gift,--D,641,31740,1,0001592089,COMMON STOCK
D,11/18/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,318,0,3,0001007757,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/18/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,318,72524,2,0001007757,COMMON STOCK
A,11/18/2022 00:00:00,LEWIS J CHRISTOPHER,4,A-Award,--D,1710,72206,1,0001007757,COMMON STOCK
D,11/18/2022 00:00:00,Maguire Joanne M,4,M-Exempt,--D,318,0,3,0001368472,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/18/2022 00:00:00,Maguire Joanne M,4,M-Exempt,--D,318,14560,2,0001368472,COMMON STOCK
A,11/18/2022 00:00:00,Maguire Joanne M,4,A-Award,--D,1710,14242,1,0001368472,COMMON STOCK
D,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,199,597,11,0001927467,RESTRICTED STOCK UNITS
D,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,154,307,10,0001927467,RESTRICTED STOCK UNITS
D,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,73,72,9,0001927467,RESTRICTED STOCK UNITS
D,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,106,0,8,0001927467,RESTRICTED STOCK UNITS
D,11/18/2022 00:00:00,Hudkins Jill,4,F-InKind,--D,131,4926,5,0001927467,COMMON STOCK
A,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,199,5057,4,0001927467,COMMON STOCK
A,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,154,4858,3,0001927467,COMMON STOCK
A,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,73,4704,2,0001927467,COMMON STOCK
A,11/18/2022 00:00:00,Hudkins Jill,4,M-Exempt,--D,106,4631,1,0001927467,COMMON STOCK
D,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,412,1233,11,0001728969,COMMON STOCK
D,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,615,1229,10,0001728969,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,582,581,9,0001728969,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,539,0,8,0001728969,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Hopson Preston III,4,F-InKind,--D,3348,14011,6,0001728969,COMMON STOCK
A,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,412,17359,5,0001728969,COMMON STOCK
A,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,615,16947,4,0001728969,COMMON STOCK
A,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,582,16332,3,0001728969,COMMON STOCK
A,11/18/2022 00:00:00,Hopson Preston III,4,M-Exempt,--D,539,15750,2,0001728969,COMMON STOCK
A,11/18/2022 00:00:00,Hopson Preston III,4,A-Award,--D,6842,15211,1,0001728969,COMMON STOCK
D,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,199,597,10,0001561742,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,308,614,9,0001561742,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,407,407,8,0001561742,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,539,0,7,0001561742,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,CARTER BRIAN N,4,F-InKind,--D,3334,10052,6,0001561742,COMMON STOCK
A,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,199,13386,5,0001561742,COMMON STOCK
A,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,308,13187,4,0001561742,COMMON STOCK
A,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,407,12879,3,0001561742,COMMON STOCK
A,11/18/2022 00:00:00,CARTER BRIAN N,4,M-Exempt,--D,539,12472,2,0001561742,COMMON STOCK
A,11/18/2022 00:00:00,CARTER BRIAN N,4,A-Award,--D,4790,11933,1,0001561742,COMMON STOCK
D,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,505,1512,10,0001277150,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,738,1475,9,0001277150,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,814,814,8,0001277150,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,1000,0,7,0001277150,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BURDICK STEVEN M,4,F-InKind,--D,6823,50248,6,0001277150,COMMON STOCK
A,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,505,57071,5,0001277150,COMMON STOCK
A,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,738,56566,4,0001277150,COMMON STOCK
A,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,814,55828,3,0001277150,COMMON STOCK
A,11/18/2022 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,1000,55014,2,0001277150,COMMON STOCK
A,11/18/2022 00:00:00,BURDICK STEVEN M,4,A-Award,--D,9578,54014,1,0001277150,COMMON STOCK
A,11/18/2022 00:00:00,Birkenbeuel Gary,4,A-Award,--D,1710,7537,1,0001748476,COMMON STOCK
D,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,2807,8418,10,0001207854,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,3279,6557,9,0001207854,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,4276,4276,8,0001207854,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,5308,0,7,0001207854,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,BATRACK DAN L,4,F-InKind,--D,35607,78487,6,0001207854,COMMON STOCK
A,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,2807,114094,5,0001207854,COMMON STOCK
A,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,3279,111287,4,0001207854,COMMON STOCK
A,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,4276,108008,3,0001207854,COMMON STOCK
A,11/18/2022 00:00:00,BATRACK DAN L,4,M-Exempt,--D,5308,103732,2,0001207854,COMMON STOCK
A,11/18/2022 00:00:00,BATRACK DAN L,4,A-Award,--D,50286,98424,1,0001207854,COMMON STOCK
D,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,412,1233,10,0001721930,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,574,1147,9,0001721930,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,582,581,8,0001721930,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,539,0,7,0001721930,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Argus Roger R,4,F-InKind,--D,4834,6196,6,0001721930,COMMON STOCK
A,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,412,11030,5,0001721930,COMMON STOCK
A,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,574,10618,4,0001721930,COMMON STOCK
A,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,582,10044,3,0001721930,COMMON STOCK
A,11/18/2022 00:00:00,Argus Roger R,4,M-Exempt,--D,539,9462,2,0001721930,COMMON STOCK
A,11/18/2022 00:00:00,Argus Roger R,4,A-Award,--D,6842,8923,1,0001721930,COMMON STOCK
D,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,412,1233,10,0001721981,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,574,1147,9,0001721981,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,523,523,8,0001721981,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,539,0,7,0001721981,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/18/2022 00:00:00,Amidon Derek G,4,F-InKind,--D,3639,11141,6,0001721981,COMMON STOCK
A,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,412,14780,5,0001721981,COMMON STOCK
A,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,574,14368,4,0001721981,COMMON STOCK
A,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,523,13794,3,0001721981,COMMON STOCK
A,11/18/2022 00:00:00,Amidon Derek G,4,M-Exempt,--D,539,13271,2,0001721981,COMMON STOCK
A,11/18/2022 00:00:00,Amidon Derek G,4,A-Award,--D,6158,12732,1,0001721981,COMMON STOCK
A,11/16/2022 00:00:00,THOMPSON J KENNETH,4,A-Award,--D,380,380,1,0001188787,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,SHOEMAKER LESLIE L,4,A-Award,--D,2535,2535,1,0001450067,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Ritrievi Kimberly E,4,A-Award,--D,380,380,1,0001592089,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,O'Rourke Brendan M.,4,A-Award,--D,1014,1014,1,0001758350,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Maguire Joanne M,4,A-Award,--D,380,380,1,0001368472,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Hudkins Jill,4,A-Award,--D,1521,1521,1,0001927467,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,LEWIS J CHRISTOPHER,4,A-Award,--D,380,380,1,0001007757,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Hopson Preston III,4,A-Award,--D,2028,2028,1,0001728969,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Gandhi Prashant,4,A-Award,--D,380,380,1,0001927052,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,CARTER BRIAN N,4,A-Award,--D,1014,1014,1,0001561742,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,BURDICK STEVEN M,4,A-Award,--D,2535,2535,1,0001277150,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Birkenbeuel Gary,4,A-Award,--D,380,380,1,0001748476,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,BATRACK DAN L,4,A-Award,--D,15211,15211,1,0001207854,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Argus Roger R,4,A-Award,--D,2028,2028,1,0001721930,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/16/2022 00:00:00,Amidon Derek G,4,A-Award,--D,2028,2028,1,0001721981,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/14/2022 00:00:00,THOMPSON J KENNETH,4,S-Sale,--D,3500,23308,1,0001188787,COMMON STOCK
D,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,0,10,0001007757,STOCK OPTION
D,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,0,9,0001007757,STOCK OPTION
D,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,0,8,0001007757,STOCK OPTION
D,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,0,7,0001007757,STOCK OPTION
D,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,S-Sale,--D,15390,70496,6,0001007757,COMMON STOCK
D,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,S-Sale,--D,1410,85886,5,0001007757,COMMON STOCK
A,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,87296,4,0001007757,COMMON STOCK
A,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,83096,3,0001007757,COMMON STOCK
A,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,78896,2,0001007757,COMMON STOCK
A,08/25/2022 00:00:00,LEWIS J CHRISTOPHER,4,M-Exempt,--D,4200,74696,1,0001007757,COMMON STOCK
D,08/24/2022 00:00:00,Ritrievi Kimberly E,4,G-Gift,--D,200,32381,1,0001592089,COMMON STOCK
D,08/19/2022 00:00:00,Volpi Kirsten M,4,S-Sale,--D,1200,11275,1,0001582882,COMMON STOCK
D,06/01/2022 00:00:00,Volpi Kirsten M,4,S-Sale,--D,550,12475,1,0001582882,COMMON STOCK
A,05/02/2022 00:00:00,Gandhi Prashant,4,A-Award,--D,357,357,1,0001927052,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,03/18/2022 00:00:00,BROWNLIE WILLIAM R,4,M-Exempt,--D,8967,0,4,0001346227,COMMON STOCK
D,03/18/2022 00:00:00,BROWNLIE WILLIAM R,4,G-Gift,--D,2500,85376,3,0001346227,COMMON STOCK
D,03/18/2022 00:00:00,BROWNLIE WILLIAM R,4,S-Sale,--D,8967,87876,2,0001346227,COMMON STOCK
A,03/18/2022 00:00:00,BROWNLIE WILLIAM R,4,M-Exempt,--D,8967,96843,1,0001346227,COMMON STOCK
D,03/18/2022 00:00:00,Volpi Kirsten M,4,G-Gift,--D,610,13025,1,0001582882,COMMON STOCK
D,03/17/2022 00:00:00,HADEN PATRICK C,4,S-Sale,--D,318,3062,1,0001183870,COMMON STOCK
D,03/08/2022 00:00:00,Volpi Kirsten M,4,S-Sale,--D,900,13635,2,0001582882,COMMON STOCK
D,01/29/2022 00:00:00,O'Rourke Brendan M.,4,F-InKind,--D,124,1344,1,0001758350,COMMON STOCK
D,01/29/2022 00:00:00,Hopson Preston III,4,F-InKind,--D,305,8369,1,0001728969,COMMON STOCK
D,12/10/2021 00:00:00,THOMPSON J KENNETH,4,G-Gift,--D,350,26808,1,0001188787,COMMON STOCK
D,12/10/2021 00:00:00,BATRACK DAN L,4,M-Exempt,--D,9670,0,7,0001207854,STOCK OPTION (RIGHT TO BUY)
D,12/10/2021 00:00:00,BATRACK DAN L,4,S-Sale,--D,9670,48095,5,0001207854,COMMON STOCK
A,12/10/2021 00:00:00,BATRACK DAN L,4,M-Exempt,--D,9670,57765,4,0001207854,COMMON STOCK
D,12/09/2021 00:00:00,Volpi Kirsten M,4,G-Gift,--D,54,14535,1,0001582882,COMMON STOCK
D,12/09/2021 00:00:00,BATRACK DAN L,4,M-Exempt,--D,4817,9670,6,0001207854,STOCK OPTION (RIGHT TO BUY)
D,12/09/2021 00:00:00,BATRACK DAN L,4,G-Gift,--D,122000,48095,3,0001207854,COMMON STOCK
D,12/09/2021 00:00:00,BATRACK DAN L,4,S-Sale,--D,4817,170095,2,0001207854,COMMON STOCK
A,12/09/2021 00:00:00,BATRACK DAN L,4,M-Exempt,--D,4817,174912,1,0001207854,COMMON STOCK
D,12/08/2021 00:00:00,O'Rourke Brendan M.,4,S-Sale,--D,3633,1175,1,0001758350,COMMON STOCK
D,12/08/2021 00:00:00,BURDICK STEVEN M,4,S-Sale,--D,16132,44393,1,0001277150,COMMON STOCK
D,12/07/2021 00:00:00,Volpi Kirsten M,4,S-Sale,--D,700,14589,2,0001582882,COMMON STOCK
D,12/07/2021 00:00:00,Volpi Kirsten M,4,G-Gift,--D,978,15289,1,0001582882,COMMON STOCK
D,12/07/2021 00:00:00,LEMMON RICHARD A,4,G-Gift,--D,1158,35775,1,0001187157,COMMON STOCK
D,12/06/2021 00:00:00,BATRACK DAN L,4,S-Sale,--D,64000,170095,1,0001207854,COMMON STOCK
D,12/03/2021 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,2790,0,3,0001277150,STOCK OPTION (RIGHT TO BUY)
D,12/03/2021 00:00:00,BURDICK STEVEN M,4,S-Sale,--D,2790,60525,2,0001277150,COMMON STOCK
A,12/03/2021 00:00:00,BURDICK STEVEN M,4,M-Exempt,--D,2790,63315,1,0001277150,COMMON STOCK
D,11/30/2021 00:00:00,CHRISTENSEN CRAIG L,4,G-Gift,--D,400,36407,1,0001206709,COMMON STOCK
D,11/29/2021 00:00:00,CARTER BRIAN N,4,S-Sale,--D,3015,7143,1,0001561742,COMMON STOCK
D,11/24/2021 00:00:00,HADEN PATRICK C,4,S-Sale,--D,110,3380,4,0001183870,COMMON STOCK
D,11/24/2021 00:00:00,HADEN PATRICK C,4,S-Sale,--D,2200,3490,3,0001183870,COMMON STOCK
D,11/24/2021 00:00:00,Argus Roger R,4,M-Exempt,--D,1395,2790,8,0001721930,STOCK OPTION (RIGHT TO BUY)
D,11/24/2021 00:00:00,Argus Roger R,4,S-Sale,--D,1395,2038,6,0001721930,COMMON STOCK
A,11/24/2021 00:00:00,Argus Roger R,4,M-Exempt,--D,1395,3433,5,0001721930,COMMON STOCK
D,11/24/2021 00:00:00,Argus Roger R,4,S-Sale,--D,976,2038,4,0001721930,COMMON STOCK
D,11/24/2021 00:00:00,Argus Roger R,4,S-Sale,--D,2975,3014,3,0001721930,COMMON STOCK
A,11/23/2021 00:00:00,Volpi Kirsten M,4,A-Award,--D,318,318,2,0001582882,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/23/2021 00:00:00,Volpi Kirsten M,4,A-Award,--D,2310,16267,1,0001582882,COMMON STOCK
A,11/23/2021 00:00:00,THOMPSON J KENNETH,4,A-Award,--D,318,318,2,0001188787,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
A,11/23/2021 00:00:00,THOMPSON J KENNETH,4,A-Award,--D,2310,27158,1,0001188787,COMMON STOCK
A,11/23/2021 00:00:00,Teufele Bernard,4,A-Award,--D,1061,1061,3,0001722571,RESTRICTED STOCK UNITS (RIGHT TO RECEIVE)
D,11/23/2021 00:00:00,Teufele Bernard,4,F-InKind,--D,3105,12867,2,0001722571,COMMON STOCK
A,11/23/2021 00:00:00,Teufele Bernard,4,A-Award,--D,6466,15972,1,0001722571,COMMON STOCK
