MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/27/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,60914,1451459,3,0001907701,Common Stock
D,06/27/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,56787,1512373,2,0001907701,Common Stock
D,06/27/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,69799,1569160,1,0001907701,Common Stock
A,06/22/2023 00:00:00,BOTHA ROELOF,4,A-Award,--D,1132,33733,1,0001222287,Common Stock
D,06/12/2023 00:00:00,Barrysmith Mark,4,S-Sale,--D,8620,97743,1,0001956655,Common Stock
D,06/09/2023 00:00:00,Helgason David,4/A,J-Other,--D,381,10269,2,0001824018,Common Stock
D,06/09/2023 00:00:00,Helgason David,4,J-Other,--D,381,10269,2,0001824018,Common Stock
A,06/07/2023 00:00:00,Helgason David,4/A,A-Award,--D,5328,10650,1,0001824018,Common Stock
A,06/07/2023 00:00:00,Schuler Barry,4,A-Award,--D,7488,16024,1,0001506924,Common Stock
A,06/07/2023 00:00:00,Helgason David,4,A-Award,--D,5328,18070,1,0001824018,Common Stock
A,06/07/2023 00:00:00,Dovrat Shlomo,4,A-Award,--D,8496,113826,1,0001314246,Common Stock
A,06/07/2023 00:00:00,Kostman David,4,A-Award,--D,7056,125980,1,0001874180,Common Stock
A,06/07/2023 00:00:00,BOTHA ROELOF,4,A-Award,--D,9216,32601,1,0001222287,Common Stock
A,06/07/2023 00:00:00,Schmidt Campbell Mary,4,A-Award,--D,5328,26107,1,0001823598,Common Stock
A,06/07/2023 00:00:00,Lee Michelle K.,4,A-Award,--D,5328,14841,1,0001728889,Common Stock
A,06/07/2023 00:00:00,Sisco Robynne,4,A-Award,--D,7488,14700,1,0001470203,Common Stock
A,06/07/2023 00:00:00,Smith-Jeremie Keisha,4,A-Award,--D,6768,16055,1,0001874299,Common Stock
A,06/07/2023 00:00:00,Helgason David,4,A-Award,--D,5328,10650,1,0001824018,Common Stock
A,06/07/2023 00:00:00,"SLTA IV (GP), L.L.C.",4,A-Award,--I,5328,26632,1,0001672568,Common Stock
D,06/05/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,100,1638959,7,0001907701,Common Stock
D,06/05/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,932,1639059,6,0001907701,Common Stock
D,06/05/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,4125,1639991,5,0001907701,Common Stock
D,06/05/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,12592,1644116,4,0001907701,Common Stock
D,06/05/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,900,1656708,3,0001907701,Common Stock
D,06/05/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,900,1657608,2,0001907701,Common Stock
D,06/05/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,17951,1658508,1,0001907701,Common Stock
D,06/02/2023 00:00:00,Sisco Robynne,4,J-Other,--D,1324,7212,1,0001470203,Common Stock
D,06/01/2023 00:00:00,Carpenter Carol W.,4,S-Sale,--D,2000,389928,1,0001610111,Common Stock
D,06/01/2023 00:00:00,Dovrat Shlomo,4,S-Sale,--I,46675,0,3,0001314246,Common Stock
D,06/01/2023 00:00:00,Dovrat Shlomo,4,S-Sale,--I,65087,0,2,0001314246,Common Stock
D,06/01/2023 00:00:00,Dovrat Shlomo,4,S-Sale,--I,5013,0,1,0001314246,Common Stock
D,05/26/2023 00:00:00,Whitten Marc,4,S-Sale,--D,4049,673633,1,0001848572,Common Stock
D,05/26/2023 00:00:00,Visoso Luis Felipe,4,S-Sale,--D,6887,725328,1,0001816289,Common Stock
D,05/26/2023 00:00:00,RICCITIELLO JOHN S.,4,S-Sale,--D,36939,3211394,1,0001193857,Common Stock
D,05/26/2023 00:00:00,Carpenter Carol W.,4,S-Sale,--D,8810,391928,1,0001610111,Common Stock
D,05/26/2023 00:00:00,Barrysmith Mark,4,S-Sale,--D,6718,106363,1,0001956655,Common Stock
A,05/26/2023 00:00:00,Lee Michelle K.,4,S-Sale,--I,178,355,1,0001728889,Common Stock
A,05/23/2023 00:00:00,Dovrat Shlomo,4,J-Other,--D,89188,105330,8,0001314246,Common Stock
D,05/23/2023 00:00:00,Dovrat Shlomo,4,J-Other,--I,465327,5013,5,0001314246,Common Stock
D,05/23/2023 00:00:00,Dovrat Shlomo,4,S-Sale,--I,159673,470340,4,0001314246,Common Stock
A,05/23/2023 00:00:00,BOTHA ROELOF,4,J-Other,--I,2493,1109609,1,0001222287,Common Stock
A,05/22/2023 00:00:00,Dovrat Shlomo,4,J-Other,--I,46675,46675,7,0001314246,Common Stock
A,05/22/2023 00:00:00,Dovrat Shlomo,4,J-Other,--I,65087,65087,6,0001314246,Common Stock
A,05/22/2023 00:00:00,Dovrat Shlomo,4,J-Other,--I,630013,630013,3,0001314246,Common Stock
D,05/22/2023 00:00:00,Dovrat Shlomo,4,S-Sale,--I,12591,5495614,2,0001314246,Common Stock
D,05/22/2023 00:00:00,Dovrat Shlomo,4,J-Other,--I,2487409,5508205,1,0001314246,Common Stock
D,05/17/2023 00:00:00,Bar-Zeev Tomer,4,G-Gift,--D,50000,1676459,1,0001907701,Common Stock
D,05/11/2023 00:00:00,Bar-Zeev Tomer,4,S-Sale,--D,37500,1726459,1,0001907701,Common Stock
