MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,03/15/2023 00:00:00,TOOMEY THOMAS W,4,D-Return,--D,125000,0,3,0001195697,Partnership Common Units
A,03/15/2023 00:00:00,TOOMEY THOMAS W,4,M-Exempt,--D,125000,125000,2,0001195697,Partnership Common Units
D,03/15/2023 00:00:00,TOOMEY THOMAS W,4,M-Exempt,--D,125000,641070,1,0001195697,Class 2 LTIP Units
D,02/21/2023 00:00:00,Lacy Michael D,4,F-InKind,--D,522,14099,1,0001827142,Common Stock
D,02/15/2023 00:00:00,Hofmeister Tracy L,4,F-InKind,--D,116,9576,1,0001614109,Common Stock
D,02/15/2023 00:00:00,Lacy Michael D,4,F-InKind,--D,252,14621,1,0001827142,Common Stock
D,02/09/2023 00:00:00,Hofmeister Tracy L,4,D-Return,--D,19,3311,3,0001614109,Class 2 LTIP Units
D,02/09/2023 00:00:00,Hofmeister Tracy L,4,F-InKind,--D,200,9692,2,0001614109,Common Stock
A,02/09/2023 00:00:00,Hofmeister Tracy L,4,A-Award,--D,912,9892,1,0001614109,Common Stock
D,02/09/2023 00:00:00,TOOMEY THOMAS W,4,D-Return,--D,11826,766070,3,0001195697,Class 2 LTIP Units
D,02/09/2023 00:00:00,TOOMEY THOMAS W,4,D-Return,--D,1257,777896,2,0001195697,Class 2 LTIP Units
D,02/09/2023 00:00:00,TOOMEY THOMAS W,4,D-Return,--D,88764,779153,1,0001195697,Class 2 LTIP Units
D,02/09/2023 00:00:00,Lacy Michael D,4,D-Return,--D,817,168997,5,0001827142,Class 2 LTIP Units
D,02/09/2023 00:00:00,Lacy Michael D,4,D-Return,--D,116,169814,4,0001827142,Class 2 LTIP Units
D,02/09/2023 00:00:00,Lacy Michael D,4,D-Return,--D,2385,169930,3,0001827142,Class 2 LTIP Units
D,02/09/2023 00:00:00,Lacy Michael D,4,F-InKind,--D,1231,14873,2,0001827142,Common Stock
A,02/09/2023 00:00:00,Lacy Michael D,4,A-Award,--D,3520,16104,1,0001827142,Common Stock
D,02/09/2023 00:00:00,Fisher Joseph D,4,D-Return,--D,8414,258189,3,0001691531,Class 2 LTIP Units
D,02/09/2023 00:00:00,Fisher Joseph D,4,D-Return,--D,331,266603,2,0001691531,Class 2 LTIP Units
D,02/09/2023 00:00:00,Fisher Joseph D,4,D-Return,--D,23246,266934,1,0001691531,Class 2 LTIP Units
D,02/09/2023 00:00:00,ALCOCK HARRY G,4,D-Return,--D,7393,376945,3,0001229387,Class 2 LTIP Units
D,02/09/2023 00:00:00,ALCOCK HARRY G,4,D-Return,--D,331,384338,2,0001229387,Class 2 LTIP Units
D,02/09/2023 00:00:00,ALCOCK HARRY G,4,D-Return,--D,26416,384669,1,0001229387,Class 2 LTIP Units
D,02/06/2023 00:00:00,ALCOCK HARRY G,4,F-InKind,--D,1358,41675,1,0001229387,Common Stock
D,02/06/2023 00:00:00,Fisher Joseph D,4,F-InKind,--D,710,4794,1,0001691531,Common Stock
A,01/03/2023 00:00:00,TOOMEY THOMAS W,4,A-Award,--D,511571,5037932,2,0001195697,Class 2 Performance LTIP Units
A,01/03/2023 00:00:00,TOOMEY THOMAS W,4,A-Award,--D,1705240,4526361,1,0001195697,Class 2 Performance LTIP Units
A,01/03/2023 00:00:00,GROVE JON A,4,A-Award,--D,34105,109008,1,0001195691,Class 1 Performance LTIP Units
A,01/03/2023 00:00:00,Nickelberry Kevin C,4,A-Award,--D,7256,11930,1,0001882598,Class 1 LTIP Units
