MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/15/2023 00:00:00,MAHON PAUL A,4,M-Exempt,--D,6000,8500,4,0001231589,Stock Options
D,06/15/2023 00:00:00,MAHON PAUL A,4,S-Sale,--D,2264,36599,3,0001231589,Common Stock
D,06/15/2023 00:00:00,MAHON PAUL A,4,S-Sale,--D,3736,38863,2,0001231589,Common Stock
A,06/15/2023 00:00:00,MAHON PAUL A,4,M-Exempt,--D,6000,42599,1,0001231589,Common Stock
D,06/13/2023 00:00:00,Thompson Tommy G,4,M-Exempt,--D,1000,13000,5,0001324863,Share Tracking Award
D,06/13/2023 00:00:00,Thompson Tommy G,4,D-Return,--D,1000,7600,2,0001324863,Common Stock
A,06/13/2023 00:00:00,Thompson Tommy G,4,M-Exempt,--D,1000,8600,1,0001324863,Common Stock
D,06/02/2023 00:00:00,Thompson Tommy G,4,M-Exempt,--D,1000,14000,5,0001324863,Share Tracking Award
D,06/02/2023 00:00:00,Thompson Tommy G,4,D-Return,--D,1000,7600,2,0001324863,Common Stock
A,06/02/2023 00:00:00,Thompson Tommy G,4,M-Exempt,--D,1000,8600,1,0001324863,Common Stock
D,06/01/2023 00:00:00,MAHON PAUL A,4,M-Exempt,--D,6000,14500,5,0001231589,Stock Options
D,06/01/2023 00:00:00,MAHON PAUL A,4,S-Sale,--D,2850,36599,4,0001231589,Common Stock
D,06/01/2023 00:00:00,MAHON PAUL A,4,S-Sale,--D,2750,39449,3,0001231589,Common Stock
D,06/01/2023 00:00:00,MAHON PAUL A,4,S-Sale,--D,400,42199,2,0001231589,Common Stock
A,06/01/2023 00:00:00,MAHON PAUL A,4,M-Exempt,--D,6000,42599,1,0001231589,Common Stock
D,05/22/2023 00:00:00,Giltner Richard,4,M-Exempt,--D,5000,0,3,0001460472,Share Tracking Award
D,05/22/2023 00:00:00,Giltner Richard,4,D-Return,--D,5000,13870,2,0001460472,Common Stock
A,05/22/2023 00:00:00,Giltner Richard,4,M-Exempt,--D,5000,18870,1,0001460472,Common Stock
D,05/18/2023 00:00:00,MAHON PAUL A,4,M-Exempt,--D,6000,20500,4,0001231589,Stock Options
D,05/18/2023 00:00:00,MAHON PAUL A,4,S-Sale,--D,3006,36599,3,0001231589,Common Stock
D,05/18/2023 00:00:00,MAHON PAUL A,4,S-Sale,--D,2994,39605,2,0001231589,Common Stock
A,05/18/2023 00:00:00,MAHON PAUL A,4,M-Exempt,--D,6000,42599,1,0001231589,Common Stock
D,05/10/2023 00:00:00,PATUSKY CHRISTOPHER,4,M-Exempt,--D,2000,4000,4,0001231427,Share Tracking Award
D,05/10/2023 00:00:00,PATUSKY CHRISTOPHER,4,D-Return,--D,2000,1684,2,0001231427,Common Stock
A,05/10/2023 00:00:00,PATUSKY CHRISTOPHER,4,M-Exempt,--D,2000,3684,1,0001231427,Common Stock
