MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/16/2023 00:00:00,HURST ROBERT J/NY,4,G-Gift,--I,30000,266483,2,0001090366,Common Stock
D,06/16/2023 00:00:00,HURST ROBERT J/NY,4,G-Gift,--I,30000,296483,1,0001090366,Common Stock
D,05/23/2023 00:00:00,"Crestview Partners II GP, L.P.",4,J-Other,--I,4145005,18257737,1,0001505639,"Common Stock, par value $0.01 per share"
A,04/10/2023 00:00:00,HAWKES JAMES B,4,A-Award,--D,1706,423955,1,0001225368,Common Stock
A,04/10/2023 00:00:00,Jackson Mary M.,4,A-Award,--D,616,616,1,0001856953,Common Stock
A,04/10/2023 00:00:00,DEMARTINI RICHARD M,4,A-Award,--D,1045,8122,1,0001189874,Common Stock
A,04/10/2023 00:00:00,Rappaport Alan,4,A-Award,--D,1791,142018,1,0001495443,Common Stock
A,04/10/2023 00:00:00,HURST ROBERT J/NY,4,A-Award,--D,1578,19811,1,0001090366,Common Stock
A,04/10/2023 00:00:00,Hirtler-Garvey Karin,4,A-Award,--D,853,35072,1,0001336620,Common Stock
A,04/10/2023 00:00:00,Davanzo Lawrence,4,A-Award,--D,853,16141,1,0001485162,Common Stock
A,04/10/2023 00:00:00,Berlinski Milton R.,4,A-Award,--D,853,299646,1,0001729927,Common Stock
A,04/10/2023 00:00:00,"Crestview Partners II GP, L.P.",4,A-Award,--I,1578,22402742,1,0001505639,"Common Stock, par value $0.01 per share"
D,03/31/2023 00:00:00,Gupta Nina,4,F-InKind,--D,5557,192060,1,0001729988,Common Stock
D,03/31/2023 00:00:00,Policarpo Michael Dennis,4,F-InKind,--D,4251,1017976,1,0001730118,Common Stock
D,03/31/2023 00:00:00,Brown David Craig,4,F-InKind,--D,12428,2277038,1,0001730370,Common Stock
A,03/15/2023 00:00:00,Gupta Nina,4,A-Award,--D,36987,197617,1,0001729988,Common Stock
A,03/15/2023 00:00:00,Policarpo Michael Dennis,4,A-Award,--D,49260,1022227,1,0001730118,Common Stock
A,03/15/2023 00:00:00,Brown David Craig,4,A-Award,--D,113819,2289466,1,0001730370,Common Stock
D,03/15/2023 00:00:00,Gupta Nina,4,F-InKind,--D,12489,160630,1,0001729988,Common Stock
D,03/15/2023 00:00:00,Policarpo Michael Dennis,4,F-InKind,--D,14771,972967,1,0001730118,Common Stock
D,03/15/2023 00:00:00,Brown David Craig,4,F-InKind,--D,27617,2175647,1,0001730370,Common Stock
D,03/02/2023 00:00:00,"Crestview Partners II GP, L.P.",4,J-Other,--I,3296423,22401164,1,0001505639,"Common Stock, par value $0.01 per share"
D,02/23/2023 00:00:00,Cliff Kelly Stevenson,4,S-Sale,--D,12500,431422,1,0001730106,Common Stock
D,01/20/2023 00:00:00,Cliff Kelly Stevenson,4,M-Exempt,--D,39968,59952,3,0001730106,Stock Option (right to buy)
D,01/20/2023 00:00:00,Cliff Kelly Stevenson,4,F-InKind,--D,29048,443922,2,0001730106,Common Stock
A,01/20/2023 00:00:00,Cliff Kelly Stevenson,4,M-Exempt,--D,39968,472970,1,0001730106,Common Stock
A,01/10/2023 00:00:00,DEMARTINI RICHARD M,4,A-Award,--D,924,7077,1,0001189874,Common Stock
A,01/10/2023 00:00:00,Rappaport Alan,4,A-Award,--D,1720,140227,1,0001495443,Common Stock
A,01/10/2023 00:00:00,HURST ROBERT J/NY,4,A-Award,--D,1591,18233,1,0001090366,Common Stock
A,01/10/2023 00:00:00,Hirtler-Garvey Karin,4,A-Award,--D,860,34219,1,0001336620,Common Stock
A,01/10/2023 00:00:00,HAWKES JAMES B,4,A-Award,--D,1720,422249,1,0001225368,Common Stock
A,01/10/2023 00:00:00,Davanzo Lawrence,4,A-Award,--D,860,15288,1,0001485162,Common Stock
A,01/10/2023 00:00:00,Berlinski Milton R.,4,A-Award,--D,860,298793,1,0001729927,Common Stock
A,01/10/2023 00:00:00,"Crestview Partners II GP, L.P.",4,A-Award,--I,1591,25697587,1,0001505639,Class A Common Stock
D,01/01/2023 00:00:00,Cliff Kelly Stevenson,4,F-InKind,--D,13237,433002,1,0001730106,Common Stock
D,01/01/2023 00:00:00,Policarpo Michael Dennis,4,F-InKind,--D,14576,987738,1,0001730118,Common Stock
D,01/01/2023 00:00:00,Brown David Craig,4,F-InKind,--D,24873,2203264,1,0001730370,Common Stock
A,12/16/2022 00:00:00,Brown David Craig,4,P-Purchase,--D,20000,2228137,2,0001730370,Common Stock
A,12/15/2022 00:00:00,Brown David Craig,4,P-Purchase,--D,40000,2208137,1,0001730370,Common Stock
D,11/25/2022 00:00:00,"RCP Lake Co-Invest, L.P.",4,J-Other,--I,4201,45406,4,0001606112,Common Stock
D,11/25/2022 00:00:00,"RCP Lake Co-Invest, L.P.",4,J-Other,--I,218449,2361141,3,0001606112,Common Stock
D,11/25/2022 00:00:00,"RCP Lake Co-Invest, L.P.",4,J-Other,--I,262738,2839839,2,0001606112,Common Stock
D,11/25/2022 00:00:00,"RCP Lake Co-Invest, L.P.",4,J-Other,--I,137253,1483512,1,0001606112,Common Stock
D,11/25/2022 00:00:00,"Crestview Partners II GP, L.P.",4,J-Other,--I,2377359,25695996,1,0001505639,Common Stock
A,10/10/2022 00:00:00,Rappaport Alan,4,A-Award,--D,1953,138507,1,0001495443,Common Stock
A,10/10/2022 00:00:00,HURST ROBERT J/NY,4,A-Award,--D,1806,16642,1,0001090366,Common Stock
A,10/10/2022 00:00:00,Hirtler-Garvey Karin,4,A-Award,--D,976,33359,1,0001336620,Common Stock
A,10/10/2022 00:00:00,HAWKES JAMES B,4,A-Award,--D,1953,420529,1,0001225368,Common Stock
A,10/10/2022 00:00:00,DEMARTINI RICHARD M,4,A-Award,--D,1049,6153,1,0001189874,Common Stock
A,10/10/2022 00:00:00,Davanzo Lawrence,4,A-Award,--D,976,14428,1,0001485162,Common Stock
A,10/10/2022 00:00:00,Berlinski Milton R.,4,A-Award,--D,976,297933,1,0001729927,Common Stock
A,10/10/2022 00:00:00,"Crestview Partners II GP, L.P.",4,A-Award,--I,1806,28073355,1,0001505639,Class A Common Stock
D,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,17519,0,9,0001729988,Stock Option (right to buy)
D,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,14803,0,8,0001729988,Stock Option (right to buy)
D,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,18503,0,7,0001729988,Stock Option (right to buy)
D,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,72997,0,6,0001729988,Stock Option (right to buy)
D,08/30/2022 00:00:00,Gupta Nina,4,F-InKind,--D,85363,173119,5,0001729988,Common Stock
A,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,17519,258482,4,0001729988,Common Stock
A,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,14803,240963,3,0001729988,Common Stock
A,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,18503,226160,2,0001729988,Common Stock
A,08/30/2022 00:00:00,Gupta Nina,4,M-Exempt,--D,72997,207657,1,0001729988,Common Stock
D,08/26/2022 00:00:00,"RCP Lake Co-Invest, L.P.",4,J-Other,--I,1365867,1620765,1,0001606112,Class A Common Stock
D,08/24/2022 00:00:00,Policarpo Michael Dennis,4,M-Exempt,--D,66613,0,13,0001730118,Stock Option (right to buy)
