MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/27/2023 00:00:00,Rumbolz Michael D,4,A-Award,--D,5322,54814,1,0001313332,Common Stock
A,04/27/2023 00:00:00,MACNAB CRAIG,4,A-Award,--D,5322,56316,1,0001020280,Common Stock
A,04/27/2023 00:00:00,Holland Elizabeth I,4,A-Award,--D,5322,42692,1,0001697246,Common Stock
A,04/27/2023 00:00:00,Douglas Monica Howard,4,A-Award,--D,5322,25708,1,0001804234,Common Stock
A,04/27/2023 00:00:00,Cantor Diana F,4,A-Award,--D,5322,40202,1,0001320814,Common Stock
A,04/27/2023 00:00:00,ABRAHAMSON JAMES R,4,A-Award,--D,5322,134883,1,0001201260,Common Stock
A,04/03/2023 00:00:00,Rumbolz Michael D,4,A-Award,--D,160,49492,1,0001313332,Common Stock
A,04/03/2023 00:00:00,MACNAB CRAIG,4,A-Award,--D,360,50994,1,0001020280,Common Stock
A,04/03/2023 00:00:00,Holland Elizabeth I,4,A-Award,--D,192,37370,1,0001697246,Common Stock
A,04/03/2023 00:00:00,Douglas Monica Howard,4,A-Award,--D,48,20386,1,0001804234,Common Stock
A,04/03/2023 00:00:00,Cantor Diana F,4,A-Award,--D,400,34880,1,0001320814,Common Stock
A,04/03/2023 00:00:00,ABRAHAMSON JAMES R,4,A-Award,--D,480,129561,1,0001201260,Common Stock
D,02/28/2023 00:00:00,Wasserman Gabriel,4,F-InKind,--D,507,37918,1,0001745079,Common Stock
D,02/28/2023 00:00:00,KIESKE DAVID ANDREW,4,F-InKind,--D,3249,284906,1,0001726721,Common Stock
A,02/22/2023 00:00:00,Wasserman Gabriel,4,A-Award,--D,3654,38425,3,0001745079,Common Stock
D,02/22/2023 00:00:00,Wasserman Gabriel,4,F-InKind,--D,4284,34771,2,0001745079,Common Stock
A,02/22/2023 00:00:00,Wasserman Gabriel,4,A-Award,--D,11884,39055,1,0001745079,Common Stock
A,02/22/2023 00:00:00,Pitoniak Edward Baltazar,4,A-Award,--D,72957,926670,3,0001661712,Common Stock
D,02/22/2023 00:00:00,Pitoniak Edward Baltazar,4,F-InKind,--D,47247,853713,2,0001661712,Common Stock
A,02/22/2023 00:00:00,Pitoniak Edward Baltazar,4,A-Award,--D,208418,900960,1,0001661712,Common Stock
A,02/22/2023 00:00:00,Payne John W R,4,A-Award,--D,22413,338532,3,0001390815,Common Stock
D,02/22/2023 00:00:00,Payne John W R,4,F-InKind,--D,19134,316119,2,0001390815,Common Stock
A,02/22/2023 00:00:00,Payne John W R,4,A-Award,--D,90454,335253,1,0001390815,Common Stock
A,02/22/2023 00:00:00,KIESKE DAVID ANDREW,4,A-Award,--D,24806,288155,3,0001726721,Common Stock
D,02/22/2023 00:00:00,KIESKE DAVID ANDREW,4,F-InKind,--D,37767,263349,2,0001726721,Common Stock
A,02/22/2023 00:00:00,KIESKE DAVID ANDREW,4,A-Award,--D,83850,301116,1,0001726721,Common Stock
A,02/22/2023 00:00:00,Gallagher Samantha Sacks,4,A-Award,--D,17072,259108,2,0001621751,Common Stock
A,02/22/2023 00:00:00,Gallagher Samantha Sacks,4,A-Award,--D,58342,242036,1,0001621751,Common Stock
D,02/17/2023 00:00:00,Wasserman Gabriel,4,F-InKind,--D,368,27171,2,0001745079,Common Stock
