MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/29/2023 00:00:00,Larkin Diane M,4,F-InKind,--D,99,4214,1,0001819344,Common Stock
D,05/02/2023 00:00:00,Freye Theodor Werner,4,S-Sale,--D,549,5749,1,0001644373,Common Stock
D,04/26/2023 00:00:00,Favre Ritu,4,F-InKind,--D,34,1532,1,0001561678,Common Stock
D,04/26/2023 00:00:00,den Daas Kaj,4,F-InKind,--D,204,9232,1,0001307022,Common Stock
D,04/26/2023 00:00:00,Robinson-Berry Joan,4,F-InKind,--D,34,1564,1,0001825800,Common Stock
A,04/24/2023 00:00:00,Robinson-Berry Joan,4,A-Award,--D,481,1598,1,0001825800,Common Stock
A,04/24/2023 00:00:00,BAY MOGENS C,4,A-Award,--D,481,196145,1,0001185232,Common Stock
A,04/24/2023 00:00:00,Lanoha Richard Andrew,4,A-Award,--D,481,2171,1,0001792841,Common Stock
A,04/24/2023 00:00:00,den Daas Kaj,4,A-Award,--D,481,9436,1,0001307022,Common Stock
A,04/24/2023 00:00:00,Milliken James B.,4,A-Award,--D,481,7397,1,0001537229,Common Stock
A,04/24/2023 00:00:00,Favre Ritu,4,A-Award,--D,481,1566,1,0001561678,Common Stock
A,04/24/2023 00:00:00,PAGLIA CATHERINE JAMES,4,A-Award,--D,481,9331,1,0001228529,Common Stock
A,04/24/2023 00:00:00,Neary Daniel P,4,A-Award,--D,481,16138,1,0001291609,Common Stock
A,04/24/2023 00:00:00,Freye Theodor Werner,4,A-Award,--D,481,6298,1,0001644373,Common Stock
D,03/30/2023 00:00:00,Applbaum Avner M,4,F-InKind,--D,145,8174,1,0001807988,Common Stock
D,03/14/2023 00:00:00,Kaniewski Stephen G,4,M-Exempt,--D,15084,7543,4,0001518342,Non-Qualified Stock Option (right to buy)
D,03/14/2023 00:00:00,Kaniewski Stephen G,4,F-InKind,--D,11248,71857,2,0001518342,Common Stock
A,03/14/2023 00:00:00,Kaniewski Stephen G,4,M-Exempt,--D,15084,83105,1,0001518342,Common Stock
D,03/14/2023 00:00:00,Schapper Aaron M,4,M-Exempt,--D,1952,1952,6,0001811105,Non-Qualified Stock Option (right to buy)
D,03/14/2023 00:00:00,Schapper Aaron M,4,M-Exempt,--D,2081,0,5,0001811105,Non-Qualified Stock Option (right to buy)
D,03/14/2023 00:00:00,Schapper Aaron M,4,S-Sale,--D,1952,13629,4,0001811105,Common Stock
D,03/14/2023 00:00:00,Schapper Aaron M,4,S-Sale,--D,2081,15581,3,0001811105,Common Stock
A,03/14/2023 00:00:00,Schapper Aaron M,4,M-Exempt,--D,1952,17662,2,0001811105,Common Stock
A,03/14/2023 00:00:00,Schapper Aaron M,4,M-Exempt,--D,2081,15710,1,0001811105,Common Stock
D,03/02/2023 00:00:00,Kaniewski Stephen G,4,M-Exempt,--D,7290,0,4,0001518342,Non-Qualified Stock Option (right to buy)
D,03/02/2023 00:00:00,Kaniewski Stephen G,4,F-InKind,--D,5074,68021,2,0001518342,Common Stock
A,03/02/2023 00:00:00,Kaniewski Stephen G,4,M-Exempt,--D,7290,73095,1,0001518342,Common Stock
D,02/27/2023 00:00:00,Larkin Diane M,4,F-InKind,--D,877,4313,2,0001819344,Common Stock
A,02/27/2023 00:00:00,Larkin Diane M,4,A-Award,--D,2612,5190,1,0001819344,Common Stock
D,02/27/2023 00:00:00,Kaniewski Stephen G,4,F-InKind,--D,9965,65805,2,0001518342,Common Stock
A,02/27/2023 00:00:00,Kaniewski Stephen G,4,A-Award,--D,22471,75770,1,0001518342,Common Stock
D,02/27/2023 00:00:00,Applbaum Avner M,4,F-InKind,--D,2177,8319,2,0001807988,Common Stock
A,02/27/2023 00:00:00,Applbaum Avner M,4,A-Award,--D,5002,10496,1,0001807988,Common Stock
D,02/27/2023 00:00:00,Campbell Renee L,4,F-InKind,--D,385,2824,2,0001915814,Common Stock
A,02/27/2023 00:00:00,Campbell Renee L,4,A-Award,--D,1314,3209,1,0001915814,Common Stock
D,02/27/2023 00:00:00,Dasher ELlen S,4,F-InKind,--D,412,4817,2,0001775473,Common Stock
A,02/27/2023 00:00:00,Dasher ELlen S,4,A-Award,--D,1407,5229,1,0001775473,Common Stock
D,02/27/2023 00:00:00,Parnell Thomas Mitchell,4,F-InKind,--D,962,4815,2,0001775668,Common Stock
A,02/27/2023 00:00:00,Parnell Thomas Mitchell,4,A-Award,--D,2783,5777,1,0001775668,Common Stock
D,02/27/2023 00:00:00,Laterreur Claudio,4,F-InKind,--D,594,4023,2,0001778239,Common Stock
A,02/27/2023 00:00:00,Laterreur Claudio,4,A-Award,--D,2027,4617,1,0001778239,Common Stock
D,02/27/2023 00:00:00,MASSEY R ANDREW,4,F-InKind,--D,467,7796,2,0001203394,Common Stock
A,02/27/2023 00:00:00,MASSEY R ANDREW,4,A-Award,--D,1592,8263,1,0001203394,Common Stock
D,02/27/2023 00:00:00,Schapper Aaron M,4,F-InKind,--D,2785,13629,2,0001811105,Common Stock
A,02/27/2023 00:00:00,Schapper Aaron M,4,A-Award,--D,6412,16414,1,0001811105,Common Stock
D,02/27/2023 00:00:00,Francis Timothy P,4,F-InKind,--D,669,7701,2,0001541609,Common Stock
A,02/27/2023 00:00:00,Francis Timothy P,4,A-Award,--D,2280,8370,1,0001541609,Common Stock
D,12/18/2022 00:00:00,Kaniewski Stephen G,4,F-InKind,--D,899,53299,2,0001518342,Common Stock
D,12/16/2022 00:00:00,Francis Timothy P,4,F-InKind,--D,57,6090,1,0001541609,Common Stock
D,12/16/2022 00:00:00,Dasher ELlen S,4,F-InKind,--D,35,3822,1,0001775473,Common Stock
D,12/16/2022 00:00:00,MASSEY R ANDREW,4,F-InKind,--D,40,6671,1,0001203394,Common Stock
D,12/16/2022 00:00:00,Schapper Aaron M,4,F-InKind,--D,245,10002,1,0001811105,Common Stock
D,12/16/2022 00:00:00,Campbell Renee L,4,F-InKind,--I,8,647,3,0001915814,Common Stock
D,12/16/2022 00:00:00,Campbell Renee L,4,F-InKind,--D,28,1895,1,0001915814,Common Stock
D,12/16/2022 00:00:00,Parnell Thomas Mitchell,4,F-InKind,--D,70,2994,1,0001775668,Common Stock
D,12/16/2022 00:00:00,Kaniewski Stephen G,4,F-InKind,--D,859,54128,1,0001518342,Common Stock
D,12/16/2022 00:00:00,Laterreur Claudio,4,F-InKind,--D,51,2590,1,0001778239,Common Stock
D,12/14/2022 00:00:00,Applbaum Avner M,4,F-InKind,--D,211,5494,1,0001807988,Common Stock
D,12/14/2022 00:00:00,Parnell Thomas Mitchell,4,F-InKind,--D,66,3064,1,0001775668,Common Stock
D,12/14/2022 00:00:00,Campbell Renee L,4,F-InKind,--I,7,655,3,0001915814,Common Stock
D,12/14/2022 00:00:00,Campbell Renee L,4,F-InKind,--D,31,1923,1,0001915814,Common Stock
D,12/14/2022 00:00:00,Larkin Diane M,4,F-InKind,--D,70,2578,1,0001819344,Common Stock
D,12/14/2022 00:00:00,Schapper Aaron M,4,F-InKind,--D,233,10247,1,0001811105,Common Stock
D,12/14/2022 00:00:00,Kaniewski Stephen G,4,F-InKind,--D,902,54987,1,0001518342,Common Stock
D,12/14/2022 00:00:00,MASSEY R ANDREW,4,F-InKind,--D,40,6711,1,0001203394,Common Stock
D,12/14/2022 00:00:00,Francis Timothy P,4,F-InKind,--D,51,6147,1,0001541609,Common Stock
D,12/14/2022 00:00:00,Dasher ELlen S,4,F-InKind,--D,32,3857,1,0001775473,Common Stock
D,12/14/2022 00:00:00,Laterreur Claudio,4,F-InKind,--D,51,2641,1,0001778239,Common Stock
D,12/13/2022 00:00:00,Francis Timothy P,4,F-InKind,--D,36,6198,2,0001541609,Common Stock
D,12/13/2022 00:00:00,Schapper Aaron M,4,F-InKind,--D,182,10480,2,0001811105,Common Stock
D,12/13/2022 00:00:00,Dasher ELlen S,4,F-InKind,--D,22,3889,2,0001775473,Common Stock
D,12/13/2022 00:00:00,Kaniewski Stephen G,4,F-InKind,--D,631,55889,2,0001518342,Common Stock
