MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/29/2023 00:00:00,Maddock Deirdre K.,4,A-Award,--D,200000,200000,2,0001892882,AO RUs
A,06/29/2023 00:00:00,Maddock Deirdre K.,4,A-Award,--D,33334,33334,1,0001892882,Restricted Units
A,06/29/2023 00:00:00,Weiss Glen J.,4,A-Award,--D,1500000,1500000,2,0001773371,AO RUs
A,06/29/2023 00:00:00,Weiss Glen J.,4,A-Award,--D,250000,250000,1,0001773371,Restricted Units
A,06/29/2023 00:00:00,Langer Barry,4,A-Award,--D,1500000,1500000,2,0001773294,AO RUs
A,06/29/2023 00:00:00,Langer Barry,4,A-Award,--D,250000,250000,1,0001773294,Restricted Units
A,06/29/2023 00:00:00,Chera Haim,4,A-Award,--D,1000000,1000000,2,0001774826,AO RUs
A,06/29/2023 00:00:00,Chera Haim,4,A-Award,--D,166667,166667,1,0001774826,Restricted Units
A,06/29/2023 00:00:00,Franco Michael J.,4,A-Award,--D,1950000,1950000,2,0001504696,AO RUs
A,06/29/2023 00:00:00,Franco Michael J.,4,A-Award,--D,325000,325000,1,0001504696,Restricted Units
A,06/29/2023 00:00:00,ROTH STEVEN,4,A-Award,--D,2625000,2625000,2,0000904503,AO RUs
A,06/29/2023 00:00:00,ROTH STEVEN,4,A-Award,--D,437500,437500,1,0000904503,Restricted Units
A,05/26/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1000,9673,6,0001246492,Preferred Shares Series M
A,05/26/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1000,9668,5,0001246492,Preferred Shares Series M
A,05/25/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1000,12000,4,0001246492,Preferred Shares Series N
A,05/25/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1000,10000,3,0001246492,Preferred Shares Series N
A,05/25/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1673,8673,2,0001246492,Preferred Shares Series M
A,05/25/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1668,8668,1,0001246492,Preferred Shares Series M
A,05/23/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1000,7000,2,0001246492,Preferred Shares Series M
A,05/23/2023 00:00:00,WIGHT RUSSELL B JR,4,P-Purchase,--I,1000,7000,1,0001246492,Preferred Shares Series M
A,05/18/2023 00:00:00,TISCH DANIEL R,4,A-Award,--D,13436,13436,1,0001111794,Restricted Units
A,05/18/2023 00:00:00,Puri Mandakini,4,A-Award,--D,13436,13436,1,0001407197,Restricted Units
A,05/18/2023 00:00:00,McGuire Raymond J,4,A-Award,--D,13436,13436,1,0001377736,Restricted Units
A,05/18/2023 00:00:00,Bassey Beatrice Hamza,4,A-Award,--D,13436,13436,1,0001809005,Restricted Units
A,05/18/2023 00:00:00,Helman William W,4,A-Award,--D,13436,13436,1,0001339232,Restricted Units
A,05/18/2023 00:00:00,Fascitelli Michael D,4,A-Award,--D,13436,13436,1,0001203691,Restricted Units
A,05/18/2023 00:00:00,MANDELBAUM DAVID,4,A-Award,--D,13436,13436,1,0001246483,Restricted Units
A,05/18/2023 00:00:00,WIGHT RUSSELL B JR,4,A-Award,--D,13436,13436,5,0001246492,Restricted Units
