MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/08/2023 00:00:00,Lucas Richard M,4,G-Gift,-ED,7500,146290.209,1,0001503845,Common Stock
A,06/02/2023 00:00:00,Florkowski Gregory,4,A-Award,--D,27.667,159.72,1,0001929116,Dividend Equivalent Rights
A,06/02/2023 00:00:00,Lucas Richard M,4,A-Award,--D,28.397,167.574,1,0001503845,Dividend Equivalent Rights
A,06/02/2023 00:00:00,THEOBALD STEPHEN P,4,A-Award,--D,81.868,909.549,1,0001507723,Dividend Equivalent Rights
A,06/02/2023 00:00:00,Walker William M,4,A-Award,--D,96.807,848.7624,1,0001503841,Dividend Equivalent Rights
A,06/02/2023 00:00:00,Smith Howard W III,4,A-Award,--D,50.333,363.805,1,0001503844,Dividend Equivalent Rights
A,06/02/2023 00:00:00,Pryor Paula A.,4,A-Award,--D,34.739,208.631,1,0001811383,Dividend Equivalent Rights
A,05/04/2023 00:00:00,Wells Donna,4,A-Award,--D,2303,2303,1,0001613921,Deferred Stock Units
A,05/04/2023 00:00:00,Rice E. John Jr,4,A-Award,--D,2303,29685,1,0001503875,Common Stock
A,05/04/2023 00:00:00,Malone Michael D,4,A-Award,--D,2303,2303,1,0001421021,Deferred Stock Units
A,05/04/2023 00:00:00,Warren Michael J.,4,A-Award,--D,1689,1689,2,0001698331,Deferred Stock Units
A,05/04/2023 00:00:00,Warren Michael J.,4,A-Award,--D,2303,2303,1,0001698331,Deferred Stock Units
A,05/04/2023 00:00:00,SCHMALTZ DANA L,4,A-Award,--D,1842,1842,2,0001104397,Deferred Stock Units
A,05/04/2023 00:00:00,SCHMALTZ DANA L,4,A-Award,--D,2303,74277,1,0001104397,Common Stock
A,05/04/2023 00:00:00,Levy Ellen,4,A-Award,--D,2303,2303,1,0001657271,Deferred Stock Units
A,03/23/2023 00:00:00,Florkowski Gregory,4,A-Award,--D,28.083,132.053,3,0001929116,Dividend Equivalent Rights
D,03/23/2023 00:00:00,Florkowski Gregory,4,F-InKind,--D,5,17794.091,2,0001929116,Common Stock
A,03/23/2023 00:00:00,Florkowski Gregory,4,A-Award,--D,8.816,17799.091,1,0001929116,Common Stock
A,03/23/2023 00:00:00,Pryor Paula A.,4,A-Award,--D,35.261,173.892,3,0001811383,Dividend Equivalent Rights
D,03/23/2023 00:00:00,Pryor Paula A.,4,F-InKind,--D,3,8560.778,2,0001811383,Common Stock
A,03/23/2023 00:00:00,Pryor Paula A.,4,A-Award,--D,6.063,8563.778,1,0001811383,Common Stock
A,03/23/2023 00:00:00,Lucas Richard M,4,A-Award,--D,28.824,139.177,3,0001503845,Dividend Equivalent Rights
D,03/23/2023 00:00:00,Lucas Richard M,4,F-InKind,--D,10,153790.209,2,0001503845,Common Stock
A,03/23/2023 00:00:00,Lucas Richard M,4,A-Award,--D,20.59,153800.209,1,0001503845,Common Stock
A,03/23/2023 00:00:00,THEOBALD STEPHEN P,4,A-Award,--D,83.1,827.681,1,0001507723,Dividend Equivalent Rights
A,03/23/2023 00:00:00,Walker William M,4,A-Award,--D,98.261,751.9554,1,0001503841,Dividend Equivalent Rights
A,03/23/2023 00:00:00,Smith Howard W III,4,A-Award,--D,51.089,313.472,1,0001503844,Dividend Equivalent Rights
D,03/15/2023 00:00:00,Lucas Richard M,4,M-Exempt,--D,150.116,110.353,5,0001503845,Dividend Equivalent Rights
D,03/15/2023 00:00:00,Lucas Richard M,4,M-Exempt,--D,2221,0,4,0001503845,Restricted Stock Units
D,03/15/2023 00:00:00,Lucas Richard M,4,M-Exempt,--D,4442,0,3,0001503845,Deferred Stock Units
D,03/15/2023 00:00:00,Lucas Richard M,4,F-InKind,--D,1899,153779.619,2,0001503845,Common Stock
A,03/15/2023 00:00:00,Lucas Richard M,4,M-Exempt,--D,6813.116,155678.619,1,0001503845,Common Stock
D,03/15/2023 00:00:00,SCHMALTZ DANA L,4,M-Exempt,--D,2139,0,2,0001104397,Deferred Stock Units
A,03/15/2023 00:00:00,SCHMALTZ DANA L,4,M-Exempt,--D,2139,71974,1,0001104397,Common Stock
D,03/15/2023 00:00:00,Pryor Paula A.,4,M-Exempt,--D,44.204,138.631,5,0001811383,Dividend Equivalent Rights
D,03/15/2023 00:00:00,Pryor Paula A.,4,M-Exempt,--D,654,0,4,0001811383,Restricted Stock Units
D,03/15/2023 00:00:00,Pryor Paula A.,4,M-Exempt,--D,1308,0,3,0001811383,Deferred Stock Units
D,03/15/2023 00:00:00,Pryor Paula A.,4,F-InKind,--D,929,8557.715,2,0001811383,Common Stock
A,03/15/2023 00:00:00,Pryor Paula A.,4,M-Exempt,--D,2006.204,9486.715,1,0001811383,Common Stock
D,03/15/2023 00:00:00,Florkowski Gregory,4,M-Exempt,--D,64.275,103.97,5,0001929116,Dividend Equivalent Rights
D,03/15/2023 00:00:00,Florkowski Gregory,4,M-Exempt,--D,951,0,4,0001929116,Restricted Stock Units
D,03/15/2023 00:00:00,Florkowski Gregory,4,M-Exempt,--D,1903,0,3,0001929116,Deferred Stock Units
D,03/15/2023 00:00:00,Florkowski Gregory,4,F-InKind,--D,1294,17790.275,2,0001929116,Common Stock
A,03/15/2023 00:00:00,Florkowski Gregory,4,M-Exempt,--D,2918.275,19084.275,1,0001929116,Common Stock
