MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/15/2023 00:00:00,SODERBERY ROBERT,4,F-InKind,--D,3461,194187,1,0001820713,Common Stock
D,06/15/2023 00:00:00,Sivaram Srinivasan,4,F-InKind,--D,19851,314413.498,1,0001587067,Common Stock
D,06/15/2023 00:00:00,RAY MICHAEL CHARLES,4,F-InKind,--D,12928,151127,1,0001593199,Common Stock
D,06/15/2023 00:00:00,JABRE WISSAM G,4,F-InKind,--D,19851,179523,1,0001903967,Common Stock
D,06/15/2023 00:00:00,Goeckeler David,4,F-InKind,--D,14888,719512,1,0001713941,Common Stock
D,06/14/2023 00:00:00,Zamiska Gene M.,4,F-InKind,--D,115,30915,1,0001456385,Common Stock
D,05/27/2023 00:00:00,Sivaram Srinivasan,4/A,F-InKind,--D,918,333288.498,1,0001587067,Common Stock
D,05/27/2023 00:00:00,Goeckeler David,4/A,F-InKind,--D,2940,733510,1,0001713941,Common Stock
D,05/27/2023 00:00:00,Zamiska Gene M.,4,F-InKind,--D,162,31030,1,0001456385,Common Stock
D,05/27/2023 00:00:00,SODERBERY ROBERT,4,F-InKind,--D,606,196950,1,0001820713,Common Stock
D,05/27/2023 00:00:00,Sivaram Srinivasan,4,F-InKind,--D,640,333566.498,1,0001587067,Common Stock
D,05/27/2023 00:00:00,RAY MICHAEL CHARLES,4,F-InKind,--D,373,163739,1,0001593199,Common Stock
D,05/27/2023 00:00:00,Goeckeler David,4,F-InKind,--D,2050,734400,1,0001713941,Common Stock
D,05/23/2023 00:00:00,Rayman Reed B,4,D-Return,--D,5198,0,1,0001603311,Common Stock
D,04/22/2023 00:00:00,Sivaram Srinivasan,4,F-InKind,--D,10308,334206.498,1,0001587067,Common Stock
D,04/22/2023 00:00:00,RAY MICHAEL CHARLES,4,F-InKind,--D,3729,164112,1,0001593199,Common Stock
D,03/08/2023 00:00:00,Goeckeler David,4,M-Exempt,--D,5109.7472,0,3,0001713941,Dividend Equivalent Rights
D,03/08/2023 00:00:00,Goeckeler David,4,F-InKind,--D,213906,736450,2,0001713941,Common Stock
