MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/02/2023 00:00:00,Norris Gina A.,4,A-Award,--D,1250,4850,1,0001811214,"Common Stock, par value $0.01 per share"
A,05/02/2023 00:00:00,WILSON JOHN H,4,A-Award,--D,1250,12850,1,0001182935,"Common Stock, par value $0.01 per share"
A,05/02/2023 00:00:00,WEAVER SCOTT D,4,A-Award,--D,1250,27850,1,0001250820,"Common Stock, par value $0.01 per share"
A,05/02/2023 00:00:00,Walker William Kelvin,4,A-Award,--D,1250,2100,1,0001945607,"Common Stock, par value $0.01 per share"
A,05/02/2023 00:00:00,Thomas William R III,4,A-Award,--D,1250,12350,1,0001369011,"Common Stock, par value $0.01 per share"
D,04/26/2023 00:00:00,Ford Matthew D.,4,M-Exempt,--D,2000,0,2,0001465883,Stock Option (right to buy)
A,04/26/2023 00:00:00,Ford Matthew D.,4,M-Exempt,--D,2000,36138,1,0001465883,"Common Stock, par value $0.01 per share"
D,02/21/2023 00:00:00,Ford Matthew D.,4,S-Sale,--D,2725,34138,2,0001465883,"Common Stock, par value $0.01 per share"
D,02/17/2023 00:00:00,Ford Matthew D.,4,S-Sale,--D,275,36863,1,0001465883,"Common Stock, par value $0.01 per share"
D,01/15/2023 00:00:00,Ford Matthew D.,4,F-InKind,--D,1862,37138,2,0001465883,"Common Stock, par value $0.01 per share"
A,01/15/2023 00:00:00,Ford Matthew D.,4,A-Award,--D,7500,39000,1,0001465883,"Common Stock, par value $0.01 per share"
A,01/15/2023 00:00:00,ECKERT BRET J,4,A-Award,--D,75000,175000,1,0001551162,"Common Stock, par value $0.01 per share"
A,01/15/2023 00:00:00,JONES DANIEL L,4,A-Award,--D,100000,631116,1,0001250809,"Common Stock, par value $0.01 per share"
A,09/06/2022 00:00:00,Walker William Kelvin,4,A-Award,--D,850,850,1,0001945607,"Common Stock, par value $0.01 per share"
D,07/21/2022 00:00:00,Ford Matthew D.,4,M-Exempt,--D,1000,2000,2,0001465883,Stock Option (right to buy)
A,07/21/2022 00:00:00,Ford Matthew D.,4,M-Exempt,--D,1000,31500,1,0001465883,"Common Stock, par value $0.01 per share"
A,05/03/2022 00:00:00,Norris Gina A.,4,A-Award,--D,1250,3600,1,0001811214,"Common Stock, par value $0.01 per share"
A,05/03/2022 00:00:00,WEAVER SCOTT D,4,A-Award,--D,1250,26600,1,0001250820,"Common Stock, par value $0.01 per share"
A,05/03/2022 00:00:00,Thomas William R III,4,A-Award,--D,1250,11100,1,0001369011,"Common Stock, par value $0.01 per share"
A,05/03/2022 00:00:00,WILSON JOHN H,4,A-Award,--D,1250,11600,1,0001182935,"Common Stock, par value $0.01 per share"
D,01/26/2022 00:00:00,Ford Matthew D.,4,M-Exempt,--D,3000,3000,2,0001465883,Stock Option (right to buy)
