MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,03/06/2023 00:00:00,AI Entertainment Holdings LLC,4,G-Gift,-ED,125000000,240701589,1,0001813621,Class B Common Stock
A,02/28/2023 00:00:00,Kreiz Ynon,4,A-Award,--I,5545,20299,1,0001708842,Class A Common Stock
A,02/28/2023 00:00:00,Lynton Michael,4,A-Award,--D,8080,21497,1,0001606115,Class A Common Stock
A,02/28/2023 00:00:00,Kurzman Cecelia,4,A-Award,--D,5545,17655,1,0001570004,Class A Common Stock
D,02/28/2023 00:00:00,Hertz Noreena,4,F-InKind,--D,1450,18849,2,0001807354,Class A Common Stock
A,02/28/2023 00:00:00,Hertz Noreena,4,A-Award,--D,5545,20299,1,0001807354,Class A Common Stock
A,02/28/2023 00:00:00,Dubuc Nancy,4,A-Award,--D,5545,13378,1,0001874269,Class A Common Stock
D,02/28/2023 00:00:00,Dopfner Mathias,4,F-InKind,--D,1450,18849,2,0001370931,Class A Common Stock
A,02/28/2023 00:00:00,Dopfner Mathias,4,A-Award,--D,5545,20299,1,0001370931,Class A Common Stock
D,02/24/2023 00:00:00,Benet Lincoln E,4,S-Sale,--D,30000,349341,1,0001644643,Class A Common Stock
D,02/21/2023 00:00:00,Benet Lincoln E,4,S-Sale,--D,20000,379341,1,0001644643,Class A Common Stock
A,01/12/2023 00:00:00,Lousada Max,4,A-Award,--D,145560,2752586,1,0001807479,Class A Common Stock
A,01/12/2023 00:00:00,Matusch Timothy,4,A-Award,--D,23290,23290,1,0001960402,Class A Common Stock
A,01/04/2023 00:00:00,Steven James,4,A-Award,--D,13100,30375,1,0001807375,Class A Common Stock
A,01/04/2023 00:00:00,Ruxandra Oana,4,A-Award,--D,14556,23528,1,0001807397,Class A Common Stock
A,01/04/2023 00:00:00,Robinson Paul M,4,A-Award,--D,14556,29799,1,0001398149,Class A Common Stock
A,01/04/2023 00:00:00,Osherova Maria,4,A-Award,--D,12518,29844,1,0001807390,Class A Common Stock
A,01/04/2023 00:00:00,Moot Guy,4,A-Award,--D,21834,47238,1,0001807378,Class A Common Stock
A,01/04/2023 00:00:00,Marshall Carianne,4,A-Award,--D,21834,47238,1,0001807342,Class A Common Stock
A,01/04/2023 00:00:00,Levin Eric,4,A-Award,--D,36390,87197,1,0001807394,Class A Common Stock
A,01/04/2023 00:00:00,Cooper Stephen Forbes,4,A-Award,--D,215033,6915833,2,0001335032,Class A Common Stock
A,01/04/2023 00:00:00,Cooper Stephen Forbes,4,A-Award,--D,203785,6700800,1,0001335032,Class A Common Stock
D,11/30/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,15000,399341,1,0001644643,Class A Common Stock
D,11/28/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,20000,414341,1,0001644643,Class A Common Stock
D,03/30/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,10000,434341,1,0001644643,Class A Common Stock
D,03/28/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,10000,444341,1,0001644643,Class A Common Stock
D,03/04/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,10000,454341,1,0001644643,Class A Common Stock
D,03/03/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,10000,464341,2,0001644643,Class A Common Stock
D,03/02/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,10000,474341,1,0001644643,Class A Common Stock
D,03/01/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,10000,484341,2,0001644643,Class A Common Stock
D,02/28/2022 00:00:00,Benet Lincoln E,4,S-Sale,--D,20000,494341,1,0001644643,Class A Common Stock
A,02/28/2022 00:00:00,LEE THOMAS H,4,A-Award,--D,2416,12338,1,0000901269,Class A Common Stock
A,02/28/2022 00:00:00,Kurzman Cecelia,4,A-Award,--D,4832,12110,1,0001570004,Class A Common Stock
A,02/28/2022 00:00:00,Kreiz Ynon,4,A-Award,--I,4832,14754,1,0001708842,Class A Common Stock
A,02/28/2022 00:00:00,Dubuc Nancy,4,A-Award,--D,4832,7833,1,0001874269,Class A Common Stock
A,02/28/2022 00:00:00,Hertz Noreena,4,A-Award,--D,4832,14754,1,0001807354,Class A Common Stock
A,02/28/2022 00:00:00,Dopfner Mathias,4,A-Award,--D,4832,14754,1,0001370931,Class A Common Stock
A,02/28/2022 00:00:00,Lynton Michael,4,A-Award,--D,7040,21497,1,0001606115,Class A Common Stock
D,01/27/2022 00:00:00,AI Entertainment Holdings LLC,4,J-Other,--I,1087137,487929,1,0001813621,Class B Common Stock
D,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,C-Conversion,--I,1868428,0,9,0001813621,Class B Common Stock
D,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,C-Conversion,--I,2337392,0,8,0001813621,Class B Common Stock
D,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,C-Conversion,--D,4356680,365701589,7,0001813621,Class B Common Stock
D,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,S-Sale,--I,1868428,0,6,0001813621,Class A Common Stock
A,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,C-Conversion,--I,1868428,1868428,5,0001813621,Class A Common Stock
D,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,S-Sale,--I,2337392,0,4,0001813621,Class A Common Stock
A,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,C-Conversion,--I,2337392,2337392,3,0001813621,Class A Common Stock
D,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,S-Sale,--D,4356680,0,2,0001813621,Class A Common Stock
A,01/06/2022 00:00:00,AI Entertainment Holdings LLC,4,C-Conversion,--D,4356680,4356680,1,0001813621,Class A Common Stock
A,01/04/2022 00:00:00,Cooper Stephen Forbes,4,A-Award,--D,165796,6738727,2,0001335032,Class A Common Stock
