MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/07/2023 00:00:00,Pullum Anne,4,S-Sale,--D,5000,12790.5636,1,0001688834,"Ordinary Shares, nominal value $0.000304635 per share"
D,06/01/2023 00:00:00,Gebauer Julie Jarecke,4,S-Sale,--D,2500,77239.573,1,0001477865,"Ordinary Shares, nominal value $0.000304635 per share"
A,05/17/2023 00:00:00,Tomczyk Fredric J,4,A-Award,--D,881,955,2,0001350921,"Ordinary Shares, nominal value $0.000304635 per share"
D,05/17/2023 00:00:00,Tomczyk Fredric J,4,F-InKind,--D,69,74,1,0001350921,"Ordinary Shares, nominal value $0.000304635 per share"
A,05/17/2023 00:00:00,Hunt Jacqueline,4,A-Award,--D,881,955,2,0001968656,"Ordinary Shares, nominal value $0.000304635 per share"
D,05/17/2023 00:00:00,Hunt Jacqueline,4,F-InKind,--D,69,74,1,0001968656,"Ordinary Shares, nominal value $0.000304635 per share"
A,05/17/2023 00:00:00,Chipman Stephen M.,4,A-Award,--D,881,955,2,0001968603,"Ordinary Shares, nominal value $0.000304635 per share"
D,05/17/2023 00:00:00,Chipman Stephen M.,4,F-InKind,--D,69,74,1,0001968603,"Ordinary Shares, nominal value $0.000304635 per share"
A,05/17/2023 00:00:00,REILLY PAUL C,4,A-Award,--D,881,1268,2,0001240439,"Ordinary Shares, nominal value $0.000304635 per share"
D,05/17/2023 00:00:00,REILLY PAUL C,4,F-InKind,--D,359,387,1,0001240439,"Ordinary Shares, nominal value $0.000304635 per share"
A,05/17/2023 00:00:00,Beale Inga K,4,A-Award,--D,881,1531,2,0001803480,"Ordinary Shares, nominal value $0.000304635 per share"
D,05/17/2023 00:00:00,Beale Inga K,4,F-InKind,--D,465,650,1,0001803480,"Ordinary Shares, nominal value $0.000304635 per share"
