MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/07/2023 00:00:00,Sega Ronald M,4,M-Exempt,--D,2000,0,3,0001421389,Non-Qualified Stock Option (Right to Buy)
D,06/07/2023 00:00:00,Sega Ronald M,4,S-Sale,--D,2000,13689,2,0001421389,"Woodward, Inc. Common Stock"
A,06/07/2023 00:00:00,Sega Ronald M,4,M-Exempt,--D,2000,15689,1,0001421389,"Woodward, Inc. Common Stock"
A,06/01/2023 00:00:00,Utley Tana Leigh,4,A-Award,--D,1002,1002,1,0001653266,Non-Qualified Stock Option (Right to Buy)
A,06/01/2023 00:00:00,Petryszyn Mary D,4,A-Award,--D,1002,1002,1,0001791724,Non-Qualified Stock Option (Right to Buy)
D,05/18/2023 00:00:00,Sega Ronald M,4,M-Exempt,--D,1395,2000,3,0001421389,Non-Qualified Stock Option (Right to Buy)
D,05/18/2023 00:00:00,Sega Ronald M,4,S-Sale,--D,1395,13689,2,0001421389,"Woodward, Inc. Common Stock"
A,05/18/2023 00:00:00,Sega Ronald M,4,M-Exempt,--D,1395,15084,1,0001421389,"Woodward, Inc. Common Stock"
D,05/10/2023 00:00:00,SENGSTACK GREGG C,4,M-Exempt,--D,5395,0,4,0001189242,Non-Qualified Stock Option (Right to Buy)
D,05/10/2023 00:00:00,SENGSTACK GREGG C,4,S-Sale,--D,2045,17450,2,0001189242,"Woodward, Inc. Common Stock"
A,05/10/2023 00:00:00,SENGSTACK GREGG C,4,M-Exempt,--D,5395,19495,1,0001189242,"Woodward, Inc. Common Stock"
A,05/08/2023 00:00:00,BHALLA RAJEEV,4,P-Purchase,--D,461,1380,1,0001193996,"Woodward, Inc. Common Stock"
A,04/04/2023 00:00:00,Drake Eileen P.,4,A-Award,--D,200.246,1164.377,1,0001635474,Phantom Stock
A,02/24/2023 00:00:00,Blankenship Charles P,4,P-Purchase,--D,500,49523,1,0001728364,"Woodward, Inc. Common Stock"
A,02/07/2023 00:00:00,BHALLA RAJEEV,4,P-Purchase,--D,484,919,1,0001193996,"Woodward, Inc. Common Stock"
D,02/01/2023 00:00:00,Sega Ronald M,4,M-Exempt,--D,2000,3395,3,0001421389,Non-Qualified Stock Option (Right to Buy)
D,02/01/2023 00:00:00,Sega Ronald M,4,S-Sale,--D,2000,13689,2,0001421389,"Woodward, Inc. Common Stock"
A,02/01/2023 00:00:00,Sega Ronald M,4,M-Exempt,--D,2000,15689,1,0001421389,"Woodward, Inc. Common Stock"
A,12/05/2022 00:00:00,Hobbs Randall,4,A-Award,--D,10181,10181,4,0001955481,Non-qualified Stock Options (Right to Buy)
A,12/05/2022 00:00:00,Hobbs Randall,4,A-Award,--D,2867,44404,3,0001955481,"Woodward, Inc. Common Stock"
A,12/05/2022 00:00:00,Hobbs Randall,4,A-Award,--D,36345,41537,2,0001955481,"Woodward, Inc. Common Stock"
A,12/05/2022 00:00:00,Hobbs Randall,4,A-Award,--D,5192,5192,1,0001955481,"Woodward, Inc. Common Stock"
A,10/11/2022 00:00:00,Drake Eileen P.,4,A-Award,--D,227.91,782.18,1,0001635474,Phantom Stock
A,10/11/2022 00:00:00,Korte Daniel G.,4,A-Award,--D,227.91,782.18,1,0001603393,Phantom Stock
A,10/03/2022 00:00:00,Voskuil Terence J.,4,A-Award,--D,12018,12018,3,0001841643,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Voskuil Terence J.,4,A-Award,--D,1315,1315,1,0001841643,"Woodward, Inc. Common Stock"
A,10/03/2022 00:00:00,Ross Roger Alan,4,A-Award,--D,12343,12343,3,0001651443,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Ross Roger Alan,4,A-Award,--D,1350,6189,1,0001651443,"Woodward, Inc. Common Stock"
A,10/03/2022 00:00:00,Patel Sagar A,4,A-Award,--D,12134,12134,3,0001523231,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Patel Sagar A,4,A-Award,--D,1327,2958.8,1,0001523231,"Woodward, Inc. Common Stock"
A,10/03/2022 00:00:00,Hartman Mark D,4,A-Award,--D,18091,18091,3,0001348801,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Hartman Mark D,4,A-Award,--D,1979,4564,1,0001348801,"Woodward, Inc. Common Stock"
A,10/03/2022 00:00:00,Fawzy Christopher,4,A-Award,--D,13555,13555,3,0001299623,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Fawzy Christopher,4,A-Award,--D,1483,4989,1,0001299623,"Woodward, Inc. Common Stock"
A,10/03/2022 00:00:00,Cromwell Thomas G,4,A-Award,--D,31181,31181,3,0001454930,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Cromwell Thomas G,4,A-Award,--D,3411,3411,1,0001454930,"Woodward, Inc. Common Stock"
A,10/03/2022 00:00:00,Blankenship Charles P,4,A-Award,--D,95288,95288,2,0001728364,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Blankenship Charles P,4,A-Award,--D,10423,49023,1,0001728364,"Woodward, Inc. Common Stock"
A,10/03/2022 00:00:00,SENGSTACK GREGG C,4,A-Award,--D,3844,3844,1,0001189242,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Sega Ronald M,4,A-Award,--D,3844,3844,1,0001421389,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,PETROVICH MARY L,4,A-Award,--D,3844,3844,1,0001180069,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Korte Daniel G.,4,A-Award,--D,3844,3844,1,0001603393,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Hess David P,4,A-Award,--D,3844,3844,1,0001304945,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,Drake Eileen P.,4,A-Award,--D,3844,3844,1,0001635474,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,DONOVAN PAUL,4,A-Award,--D,3844,3844,1,0001017674,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,COHN JOHN D,4,A-Award,--D,3844,3844,1,0001180036,Non-Qualified Stock Option (Right to Buy)
A,10/03/2022 00:00:00,BHALLA RAJEEV,4,A-Award,--D,3844,3844,1,0001193996,Non-Qualified Stock Option (Right to Buy)
D,09/07/2022 00:00:00,Hartman Mark D,4,M-Exempt,--D,5300,0,4,0001348801,Non- Qualified Stock Option (Right to Buy)
D,09/07/2022 00:00:00,Hartman Mark D,4,S-Sale,--D,5300,2585,2,0001348801,"Woodward, Inc. Common Stock"
A,09/07/2022 00:00:00,Hartman Mark D,4,M-Exempt,--D,5300,7885,1,0001348801,"Woodward, Inc. Common Stock"
A,09/06/2022 00:00:00,BHALLA RAJEEV,4,P-Purchase,--D,435,468,1,0001193996,"Woodward, Inc. Common Stock"
A,09/01/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,2100,21500,1,0001017674,"Woodward, Inc. Common Stock"
A,08/31/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,300,19400,3,0001017674,"Woodward, Inc. Common Stock"
A,08/31/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,3000,19100,2,0001017674,"Woodward, Inc. Common Stock"
A,08/31/2022 00:00:00,Blankenship Charles P,4,P-Purchase,--D,500,38600,1,0001728364,"Woodward, Inc. Common Stock"
A,08/30/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,2000,16100,1,0001017674,"Woodward, Inc. Common Stock"
A,08/30/2022 00:00:00,Hess David P,4,P-Purchase,--D,11000,15400,1,0001304945,"Woodward, Inc. Common Stock"
A,08/29/2022 00:00:00,Blankenship Charles P,4,P-Purchase,--D,500,38100,2,0001728364,"Woodward, Inc. Common Stock"
A,08/26/2022 00:00:00,Blankenship Charles P,4,P-Purchase,--D,500,37600,1,0001728364,"Woodward, Inc. Common Stock"
A,08/22/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,200,14100,3,0001017674,"Woodward, Inc. Common Stock"
A,08/22/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,1800,13900,2,0001017674,"Woodward, Inc. Common Stock"
A,08/19/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,1000,12100,1,0001017674,"Woodward, Inc. Common Stock"
D,08/12/2022 00:00:00,PETROVICH MARY L,4,M-Exempt,--D,5100,0,4,0001180069,Nonqualifed Stock Option (right to buy)
D,08/12/2022 00:00:00,PETROVICH MARY L,4,S-Sale,--D,5100,6395,2,0001180069,"Woodward, Inc. Common Stock"
A,08/12/2022 00:00:00,PETROVICH MARY L,4,M-Exempt,--D,5100,11495,1,0001180069,"Woodward, Inc. Common Stock"
A,08/04/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,800,11100,4,0001017674,"Woodward, Inc. Common Stock"
A,08/04/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,4000,10300,3,0001017674,"Woodward, Inc. Common Stock"
A,08/04/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,5200,6300,2,0001017674,"Woodward, Inc. Common Stock"
A,08/03/2022 00:00:00,DONOVAN PAUL,4,P-Purchase,--D,1100,1100,1,0001017674,"Woodward, Inc. Common Stock"
A,08/03/2022 00:00:00,Blankenship Charles P,4,P-Purchase,--D,500,37100,1,0001728364,"Woodward, Inc. Common Stock"
A,07/05/2022 00:00:00,Korte Daniel G.,4,A-Award,--D,211.749,553.504,1,0001603393,Phantom Stock
A,07/05/2022 00:00:00,Drake Eileen P.,4,A-Award,--D,211.749,553.504,1,0001635474,Phantom Stock
D,06/02/2022 00:00:00,GENDRON THOMAS A,4,S-Sale,--I,10000,32000,1,0001113706,"Woodward, Inc. Common Stock"
A,05/20/2022 00:00:00,Blankenship Charles P,4,P-Purchase,--D,500,36600,2,0001728364,"Woodward, Inc. Common Stock"
A,05/19/2022 00:00:00,Blankenship Charles P,4,P-Purchase,--D,400,36100,1,0001728364,"Woodward, Inc. Common Stock"
D,05/11/2022 00:00:00,SENGSTACK GREGG C,4,M-Exempt,--D,5100,0,3,0001189242,Non-Qualified Stock Option (Right to Buy)
A,05/11/2022 00:00:00,SENGSTACK GREGG C,4,M-Exempt,--D,5100,14100,1,0001189242,"Woodward, Inc. Common Stock"
D,05/09/2022 00:00:00,BHALLA RAJEEV,4,S-Sale,--D,33,435,1,0001193996,"Woodward, Inc. Common Stock"
