MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/28/2023 00:00:00,KRAEMER HARRY M JANSEN JR,4,A-Award,--D,631.6321,1302.0784,1,0001082877,Phantom Stock (Directors' Deferred Compensation) DDC
A,06/28/2023 00:00:00,MAZELSKY JONATHAN JAY,4,A-Award,--D,263.7696,263.7696,1,0001556270,Phantom Stock (Directors' Deferred Compensation) DDC
A,05/25/2023 00:00:00,Wenzel Ilse Dorothea,4,A-Award,--D,5419,11848.891,1,0001915341,Common Stock
A,05/25/2023 00:00:00,Vergis Janet S.,4,A-Award,--D,5419,21714.459,1,0001590794,Common Stock
A,05/25/2023 00:00:00,VARON LESLIE F,4,A-Award,--D,5419,25382.685,1,0001207403,Common Stock
A,05/25/2023 00:00:00,MAZELSKY JONATHAN JAY,4,A-Award,--D,5419,5419,1,0001556270,Common Stock
A,05/25/2023 00:00:00,LUCIER GREGORY T,4,A-Award,--D,5419,33030.994,1,0001251299,Common Stock
A,05/25/2023 00:00:00,KRAEMER HARRY M JANSEN JR,4,A-Award,--D,5419,148156.133,1,0001082877,Common Stock
A,05/25/2023 00:00:00,HOSEIN CLYDE,4,A-Award,--D,5419,18173.075,1,0001230185,Common Stock
A,05/25/2023 00:00:00,HOLDEN BETSY D,4,A-Award,--D,5419,29324.805,1,0001061695,Common Stock
A,05/25/2023 00:00:00,Deese Willie A,4,A-Award,--D,5419,34960.85,1,0001328766,Common Stock
A,05/25/2023 00:00:00,BRANDT ERIC,4,A-Award,--D,8128,53030.008,1,0001190639,Common Stock
A,05/04/2023 00:00:00,Brackett Erania,4,A-Award,--D,2500,2500,2,0001877055,Stock Option (Right to Buy)
A,05/04/2023 00:00:00,Brackett Erania,4,A-Award,--D,790,39011.307,1,0001877055,Common Stock
D,05/02/2023 00:00:00,BRANDT ERIC,4,M-Exempt,--D,6200,0,4,0001190639,Stock Option (Right to Buy)
D,05/02/2023 00:00:00,BRANDT ERIC,4,S-Sale,--D,6200,44902.008,2,0001190639,Common Stock
A,05/02/2023 00:00:00,BRANDT ERIC,4,M-Exempt,--D,6200,51102.008,1,0001190639,Common Stock
A,04/15/2023 00:00:00,Deese Willie A,4,A-Award,--D,22.836,29541.85,1,0001328766,Common Stock
A,04/14/2023 00:00:00,Yankie Lisa,4,A-Award,--D,0.3284,96.4824,3,0001792079,Phantom Stock (Dentsply Supplemental Savings Plan) DSSP
A,04/14/2023 00:00:00,Yankie Lisa,4,A-Award,--D,5.5709,1641.293,2,0001792079,Phantom Stock (Supplemental Executive Retirement Plan) SERP
A,04/14/2023 00:00:00,Yankie Lisa,4,A-Award,--D,204.02,89153.1,1,0001792079,Common Stock
A,04/14/2023 00:00:00,Wenzel Ilse Dorothea,4,A-Award,--D,22.836,6429.891,1,0001915341,Common Stock
A,04/14/2023 00:00:00,Wagner Richard M,4,A-Award,--D,26.514,7465.547,1,0001422014,Common Stock
A,04/14/2023 00:00:00,Vergis Janet S.,4,A-Award,--D,22.836,16295.459,1,0001590794,Common Stock
A,04/14/2023 00:00:00,VARON LESLIE F,4,A-Award,--D,31.398,19963.685,1,0001207403,Common Stock
A,04/14/2023 00:00:00,Staehler Cord Friedrich,4,A-Award,--D,284.471,97977.949,1,0001778592,Common Stock
A,04/14/2023 00:00:00,ROSENZWEIG RICHARD C,4,A-Award,--D,173.656,48918.656,1,0001206725,Common Stock
A,04/14/2023 00:00:00,LUCIER GREGORY T,4,A-Award,--D,22.836,27611.994,1,0001251299,Common Stock
A,04/14/2023 00:00:00,KRAEMER HARRY M JANSEN JR,4,A-Award,--D,2.2756,670.4463,2,0001082877,Phantom Stock (Directors' Deferred Compensation) DDC
A,04/14/2023 00:00:00,KRAEMER HARRY M JANSEN JR,4,A-Award,--D,56.902,142737.133,1,0001082877,Common Stock
