MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/20/2023 00:00:00,Hays Joseph Christopher,4,S-Sale,--D,30000,551456,1,0001813655,Common Stock
D,06/16/2023 00:00:00,Schuck Henry,4,S-Sale,--I,28816,279043,4,0001813217,Common Stock
D,06/16/2023 00:00:00,Schuck Henry,4,S-Sale,--I,54518,307859,3,0001813217,Common Stock
D,06/16/2023 00:00:00,Schuck Henry,4,S-Sale,--D,1292817,10288001,2,0001813217,Common Stock
D,06/16/2023 00:00:00,Schuck Henry,4,S-Sale,--D,707183,11580818,1,0001813217,Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,464708,0,10,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,61716,0,9,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,15427,0,8,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,323014,0,7,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,2936449,0,6,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,734109,0,5,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,2160897,0,4,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,3273006,0,3,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,818250,0,2,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,Crockett Todd,4,J-Other,--I,12512510,0,1,0001356054,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,464708,0,10,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,61716,0,9,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,15427,0,8,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,323014,0,7,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,2936449,0,6,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,734109,0,5,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,2160897,0,4,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,3273006,0,3,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,818250,0,2,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,TA Atlantic & Pacific VII-B L.P.,4,J-Other,--I,12512510,0,1,0001548682,Class A Common Stock
D,06/15/2023 00:00:00,"TA ASSOCIATES, L.P.",4,J-Other,--I,464708,0,10,0001034569,Class A Common Stock
