MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/29/2023 00:00:00,QUINN STEPHEN D,4,A-Award,--D,1259.103,98957.179,1,0001184842,Deferred Comp
A,06/29/2023 00:00:00,Lee Vivian S,4,A-Award,--D,873.101,13384.684,1,0001625824,Deferred Comp
A,06/29/2023 00:00:00,Huang Claire A,4,A-Award,--D,983.387,17768.067,1,0001817025,Deferred Comp
D,05/31/2023 00:00:00,Law Scott A.,4,F-InKind,--D,112,21928.636,1,0001777947,Common Stock
A,05/05/2023 00:00:00,Yastine Barbara A.,4,A-Award,--D,4419,17343,1,0001506757,Common Stock
A,05/05/2023 00:00:00,Murphy Edward F,4,A-Award,--D,4419,31528.29,1,0001614584,Common Stock
A,05/05/2023 00:00:00,Skonnard Aaron,4,A-Award,--D,4419,21478.709,1,0001738460,Deferred Comp
A,05/05/2023 00:00:00,QUINN STEPHEN D,4,A-Award,--D,4419,97698.076,1,0001184842,Deferred Comp
A,05/05/2023 00:00:00,Lee Vivian S,4,A-Award,--D,4419,12511.583,1,0001625824,Deferred Comp
A,05/05/2023 00:00:00,Huang Claire A,4,A-Award,--D,4419,16784.68,1,0001817025,Deferred Comp
A,05/05/2023 00:00:00,CRITTENDEN GARY L,4,A-Award,--D,4419,21182.89,1,0001012683,Deferred Comp
A,05/05/2023 00:00:00,Contreras-Sweet Maria,4,A-Award,--D,4419,8159,1,0001700964,Common Stock
A,05/05/2023 00:00:00,Gupta Suren,4,A-Award,--D,4419,25344.016,1,0001518079,Deferred Comp
A,05/04/2023 00:00:00,ALEXANDER BRUCE K,4/A,A-Award,--D,669.4134,4657.3754,1,0001184824,Deferred Comp
A,05/04/2023 00:00:00,Hoff Olga,4/A,A-Award,--D,147.5087,600.3747,1,0001748752,Deferred Comp
A,05/04/2023 00:00:00,ANDERSON A SCOTT,4/A,A-Award,--D,1228.0481,22194.1801,1,0001184825,Deferred Comp
A,05/04/2023 00:00:00,SIMMONS HARRIS H,4/A,A-Award,--D,3759.5459,20374.4259,1,0001182870,Deferred Comp
A,05/04/2023 00:00:00,Huang Claire A,4,P-Purchase,--I,6000,6000,2,0001817025,Common Stock
A,05/04/2023 00:00:00,Huang Claire A,4,P-Purchase,--D,18000,18000,1,0001817025,Common Stock
A,05/04/2023 00:00:00,SIMMONS HARRIS H,4,P-Purchase,--D,3759.5459,20374.4259,1,0001182870,Deferred Comp
A,05/04/2023 00:00:00,Hoff Olga,4,P-Purchase,--D,147.5087,600.3747,1,0001748752,Deferred Comp
A,05/04/2023 00:00:00,ANDERSON A SCOTT,4,P-Purchase,--D,1228.0481,22194.1801,1,0001184825,Deferred Comp
A,05/04/2023 00:00:00,ALEXANDER BRUCE K,4,P-Purchase,--D,669.4134,4657.3754,1,0001184824,Deferred Comp
A,05/04/2023 00:00:00,Robinson Rebecca K,4,P-Purchase,--I,10000,10359.885,1,0001666262,Common Stock
D,05/03/2023 00:00:00,Richards Robert Ryan,4,M-Exempt,--D,2351,4010,3,0001706843,Restricted Stock Units
D,05/03/2023 00:00:00,Richards Robert Ryan,4,F-InKind,--D,687,10371,2,0001706843,Common Stock
A,05/03/2023 00:00:00,Richards Robert Ryan,4,M-Exempt,--D,2351,11058,1,0001706843,Common Stock
A,05/03/2023 00:00:00,SIMMONS HARRIS H,4,P-Purchase,--D,20000,1274990,1,0001182870,Common Stock
A,05/01/2023 00:00:00,Burdiss Paul E.,4,P-Purchase,--I,14500,14500,2,0001639402,Common Stock
A,05/01/2023 00:00:00,Burdiss Paul E.,4,P-Purchase,--I,5500,9057.148,1,0001639402,Common Stock
A,04/28/2023 00:00:00,MCLEAN SCOTT J,4,P-Purchase,--I,37000,104540.477,1,0001186735,Common Stock
A,04/03/2023 00:00:00,Skonnard Aaron,4,A-Award,--D,813.643,17059.709,1,0001738460,Deferred Comp
A,04/03/2023 00:00:00,QUINN STEPHEN D,4,A-Award,--D,1173.359,93279.076,1,0001184842,Deferred Comp
A,04/03/2023 00:00:00,Lee Vivian S,4,A-Award,--D,813.643,8092.583,1,0001625824,Deferred Comp
A,04/03/2023 00:00:00,Huang Claire A,4,A-Award,--D,916.419,12365.68,1,0001817025,Deferred Comp
A,03/06/2023 00:00:00,Young Mark Richard,4,A-Award,--D,779,12869,1,0001644275,Common Stock
A,03/06/2023 00:00:00,STEPHENS STEVEN DAN,4,A-Award,--D,1025,44155,1,0001213157,Common Stock
D,03/03/2023 00:00:00,SIMMONS HARRIS H,4,G-Gift,--D,21420,1254990,1,0001182870,Common Stock
D,03/02/2023 00:00:00,Hoff Olga,4,F-InKind,--D,39,10733,1,0001748752,Common Stock
D,03/01/2023 00:00:00,Young Mark Richard,4,F-InKind,--D,224,12090,1,0001644275,Common Stock
D,03/01/2023 00:00:00,Stewart Randy R,4,F-InKind,--D,129,10359,1,0001749597,Common Stock
D,03/01/2023 00:00:00,STEPHENS STEVEN DAN,4,F-InKind,--D,308,43130,1,0001213157,Common Stock
D,03/01/2023 00:00:00,Smith Jennifer Anne,4,F-InKind,--D,271,22013.649,1,0001658177,Common Stock
D,03/01/2023 00:00:00,SHIREY TERRY ALAN,4,F-InKind,--D,166,21989,1,0001331637,Common Stock
D,03/01/2023 00:00:00,Robinson Rebecca K,4,F-InKind,--D,216,22317,1,0001666262,Common Stock
D,03/01/2023 00:00:00,Morris Michael,4,F-InKind,--D,269,29136,1,0001584716,Common Stock
D,03/01/2023 00:00:00,MCLEAN SCOTT J,4,F-InKind,--D,1025,113229,1,0001186735,Common Stock
