MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/23/2023 00:00:00,PECK KRISTIN C,4,M-Exempt,--D,13000,309014,6,0001488267,Stock Option
D,05/23/2023 00:00:00,PECK KRISTIN C,4,S-Sale,--D,2100,56843,4,0001488267,Common Stock
D,05/23/2023 00:00:00,PECK KRISTIN C,4,S-Sale,--D,2235,58943,3,0001488267,Common Stock
D,05/23/2023 00:00:00,PECK KRISTIN C,4,S-Sale,--D,8665,61178,2,0001488267,Common Stock
A,05/23/2023 00:00:00,PECK KRISTIN C,4,M-Exempt,--D,13000,69843,1,0001488267,Common Stock
D,05/19/2023 00:00:00,Norden Gregory,4/A,G-Gift,--I,2659,583.1922,3,0001405104,Common Stock
D,05/15/2023 00:00:00,Norden Gregory,4/A,G-Gift,--I,2659,3242.1922,1,0001405104,Common Stock
D,05/05/2023 00:00:00,Norden Gregory,4,G-Gift,--I,5318,583.1922,1,0001405104,Common Stock
D,04/18/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,2010,20221,6,0001567878,Stock Option
D,04/18/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,2328,22231,5,0001567878,Stock Option
D,04/18/2023 00:00:00,Lagano Roxanne,4,S-Sale,--D,4338,26357,3,0001567878,Common Stock
A,04/18/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,2010,30695,2,0001567878,Common Stock
A,04/18/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,2328,28685,1,0001567878,Common Stock
A,04/06/2023 00:00:00,Polzer Robert J,4,A-Award,--D,82.4896,7737.9587,1,0001900620,Phantom Stock Unit
A,04/06/2023 00:00:00,PECK KRISTIN C,4,A-Award,--D,1219.5161,46538.6426,1,0001488267,Phantom Stock Unit
A,04/06/2023 00:00:00,Mamilli Wafaa,4,A-Award,--D,186.8511,6441.0483,1,0001800960,Phantom Stock Unit
A,04/06/2023 00:00:00,Lagano Roxanne,4,A-Award,--D,113.9155,25396.6591,1,0001567878,Phantom Stock Unit
A,04/06/2023 00:00:00,Joseph Wetteny,4,A-Award,--D,302.4176,1747.0382,1,0001285781,Phantom Stock Unit
A,04/06/2023 00:00:00,Chen Heidi C.,4,A-Award,--D,144.1105,8519.4259,1,0001567828,Phantom Stock Unit
A,03/31/2023 00:00:00,Polzer Robert J,4,A-Award,--D,236.0844,7655.4691,1,0001900620,Phantom Stock Unit
A,03/31/2023 00:00:00,PECK KRISTIN C,4,A-Award,--D,1836.6768,45319.1265,1,0001488267,Phantom Stock Unit
A,03/31/2023 00:00:00,Mamilli Wafaa,4,A-Award,--D,584.0681,6254.1972,1,0001800960,Phantom Stock Unit
A,03/31/2023 00:00:00,Lagano Roxanne,4,A-Award,--D,500.1571,25282.7436,1,0001567878,Phantom Stock Unit
A,03/31/2023 00:00:00,Joseph Wetteny,4,A-Award,--D,491.9788,1444.6206,1,0001285781,Phantom Stock Unit
A,03/31/2023 00:00:00,Ferran Astorga Jeannette,4,A-Award,--D,143.5299,607.6091,1,0001900614,Phantom Stock Unit
A,03/31/2023 00:00:00,Driscoll Rimma,4,A-Award,--D,198.0842,3885.223,1,0001952575,Phantom Stock Unit
A,03/31/2023 00:00:00,Chen Heidi C.,4,A-Award,--D,542.6287,8375.3154,1,0001567828,Phantom Stock Unit
D,02/14/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,6026,24559,6,0001567878,Stock Option
D,02/14/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,6984,30585,5,0001567878,Stock Option
D,02/14/2023 00:00:00,Lagano Roxanne,4,S-Sale,--D,13010,26357,3,0001567878,Common Stock
A,02/14/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,6026,39367,2,0001567878,Common Stock
A,02/14/2023 00:00:00,Lagano Roxanne,4,M-Exempt,--D,6984,33341,1,0001567878,Common Stock
A,02/11/2023 00:00:00,Chen Heidi C.,4/A,M-Exempt,--D,2841.9848,0,7,0001567828,Performance Award Unit
A,02/11/2023 00:00:00,Chen Heidi C.,4/A,M-Exempt,--D,2299.5987,3748.1058,5,0001567828,Restricted Stock Unit
D,02/11/2023 00:00:00,Chen Heidi C.,4/A,F-InKind,--D,1002,37383,4,0001567828,Common Stock
A,02/11/2023 00:00:00,Chen Heidi C.,4/A,M-Exempt,--D,2841,38385,3,0001567828,Common Stock
D,02/11/2023 00:00:00,Chen Heidi C.,4/A,F-InKind,--D,755,35544,2,0001567828,Common Stock
A,02/11/2023 00:00:00,Chen Heidi C.,4/A,M-Exempt,--D,2299,36299,1,0001567828,Common Stock
A,02/11/2023 00:00:00,SCULLY ROBERT W,4,A-Award,--D,1626.8438,4321.3527,3,0001352881,Deferred Stock Unit
A,02/11/2023 00:00:00,SCULLY ROBERT W,4,A-Award,--D,1626.8438,2651.9299,1,0001352881,Restricted Stock Unit
A,02/11/2023 00:00:00,Rhodes Linda,4,M-Exempt,--D,1626.8438,2651.9299,3,0001336284,Restricted Stock Unit
D,02/11/2023 00:00:00,Rhodes Linda,4,J-Other,--D,358,6987,2,0001336284,Common Stock
A,02/11/2023 00:00:00,Rhodes Linda,4,M-Exempt,--D,1626,7345,1,0001336284,Common Stock
A,02/11/2023 00:00:00,Reed Willie M,4,M-Exempt,--D,1626.8438,2651.9299,2,0001601695,Restricted Stock Unit
A,02/11/2023 00:00:00,Reed Willie M,4,M-Exempt,--D,1626,8408,1,0001601695,Common Stock
A,02/11/2023 00:00:00,Polzer Robert J,4,M-Exempt,--D,349.0658,0,8,0001900620,Performance Award Unit
A,02/11/2023 00:00:00,Polzer Robert J,4,M-Exempt,--D,282.3532,1648.4549,6,0001900620,Restricted Stock Unit
D,02/11/2023 00:00:00,Polzer Robert J,4,F-InKind,--D,119,2353,4,0001900620,Common Stock
A,02/11/2023 00:00:00,Polzer Robert J,4,M-Exempt,--D,349,2472,3,0001900620,Common Stock
