Date,TotalBuy,TotalSell
05/01/2023 00:00:00,0,75634
04/01/2023 00:00:00,661793,1319642
03/01/2023 00:00:00,14816,187730
02/01/2023 00:00:00,13480,15165
12/01/2022 00:00:00,0,2978
11/01/2022 00:00:00,0,20200
10/01/2022 00:00:00,1492148,2789829
09/01/2022 00:00:00,814342,0
08/01/2022 00:00:00,31896,282262
05/01/2022 00:00:00,0,26276
04/01/2022 00:00:00,620558,1079153
03/01/2022 00:00:00,13480,0
02/01/2022 00:00:00,14388,42824
11/01/2021 00:00:00,486,36005
10/01/2021 00:00:00,1311047,2447260
09/01/2021 00:00:00,1070317,0
08/01/2021 00:00:00,5071896,10230792
05/01/2021 00:00:00,0,142082
04/01/2021 00:00:00,630275,1100781
02/01/2021 00:00:00,34679,41193
01/01/2021 00:00:00,281,0
12/01/2020 00:00:00,0,408
11/01/2020 00:00:00,57480,105004
10/01/2020 00:00:00,1588200,2946756
09/01/2020 00:00:00,1398299,0
08/01/2020 00:00:00,560000,1130715
05/01/2020 00:00:00,0,4491
04/01/2020 00:00:00,203496,393831
02/01/2020 00:00:00,13698,10003
01/01/2020 00:00:00,32889,32889
12/01/2019 00:00:00,0,6880
11/01/2019 00:00:00,51764,96529
10/01/2019 00:00:00,289498,579333
09/01/2019 00:00:00,374740,0
08/01/2019 00:00:00,595000,1219253
05/01/2019 00:00:00,35000,126411
04/01/2019 00:00:00,241687,409444
03/01/2019 00:00:00,10003,0
02/01/2019 00:00:00,58491,12639
01/01/2019 00:00:00,35000,35000
11/01/2018 00:00:00,14371,24798
10/01/2018 00:00:00,398384,829300
09/01/2018 00:00:00,363252,0
08/01/2018 00:00:00,595675,1291798
07/01/2018 00:00:00,0,15652
06/01/2018 00:00:00,13132,46586
05/01/2018 00:00:00,58921,207649
04/01/2018 00:00:00,912209,1421110
02/01/2018 00:00:00,59097,50504
01/01/2018 00:00:00,0,15641
12/01/2017 00:00:00,480,16121
11/01/2017 00:00:00,114964,91370
10/01/2017 00:00:00,2217483,1865383
08/01/2017 00:00:00,595675,1308373
07/01/2017 00:00:00,0,11949
06/01/2017 00:00:00,13139,36404
05/01/2017 00:00:00,203118,631770
04/01/2017 00:00:00,46604,79492
