Date,TotalBuy,TotalSell
06/01/2023 00:00:00,2228041,352066
05/01/2023 00:00:00,52368,4978802
04/01/2023 00:00:00,10499,20998
03/01/2023 00:00:00,37087,38864
02/01/2023 00:00:00,21424,40381
01/01/2023 00:00:00,24961,14045
12/01/2022 00:00:00,59866.712,6122507
11/01/2022 00:00:00,390625,13501310
10/01/2022 00:00:00,22960,11480
09/01/2022 00:00:00,14455,27043
08/01/2022 00:00:00,11695,23248
07/01/2022 00:00:00,12911,24924
06/01/2022 00:00:00,11665.516,22960
05/01/2022 00:00:00,18341,6041268
04/01/2022 00:00:00,11480,22960
03/01/2022 00:00:00,60996,116682
02/01/2022 00:00:00,105474,199689
01/01/2022 00:00:00,26436,49945
12/01/2021 00:00:00,24444.8707,70131
11/01/2021 00:00:00,412803,365782
10/01/2021 00:00:00,24265,48530
09/01/2021 00:00:00,41938,83876
08/01/2021 00:00:00,42590,86478
07/01/2021 00:00:00,41827,77310
06/01/2021 00:00:00,37671.723,77312
05/01/2021 00:00:00,38050,77312
04/01/2021 00:00:00,61715,131817
03/01/2021 00:00:00,78547,123758
02/01/2021 00:00:00,79681,170310
01/01/2021 00:00:00,22362,38923
12/01/2020 00:00:00,59199.6205,136601
11/01/2020 00:00:00,321926,151710
10/01/2020 00:00:00,5602,11204
09/01/2020 00:00:00,8081,16780
08/01/2020 00:00:00,13780,27304
07/01/2020 00:00:00,33247,67112
06/01/2020 00:00:00,58800.94,110466
05/01/2020 00:00:00,44342,88288
04/01/2020 00:00:00,27647,55913
03/01/2020 00:00:00,49838,58047
02/01/2020 00:00:00,73928,162472
01/01/2020 00:00:00,19905,39810
12/01/2019 00:00:00,30992.6838,61644
11/01/2019 00:00:00,530700,143055
10/01/2019 00:00:00,33902,67804
09/01/2019 00:00:00,44677,83404
08/01/2019 00:00:00,34229,67804
07/01/2019 00:00:00,10585,21170
06/01/2019 00:00:00,116109.386,232164
05/01/2019 00:00:00,39378,76332
04/01/2019 00:00:00,5703,11949
03/01/2019 00:00:00,40113.534,67071
02/01/2019 00:00:00,69314,108441
01/01/2019 00:00:00,29530,57854
12/01/2018 00:00:00,28367.5478,64897
11/01/2018 00:00:00,492721,355372
10/01/2018 00:00:00,30976,61952
09/01/2018 00:00:00,30984.9741,61952
08/01/2018 00:00:00,36267,68761.6302
07/01/2018 00:00:00,38489,76978
06/01/2018 00:00:00,39732.4494,81583
05/01/2018 00:00:00,50565,100486
04/01/2018 00:00:00,41071,82142
03/01/2018 00:00:00,72746.3869,118668
02/01/2018 00:00:00,80078,159576
01/01/2018 00:00:00,60826,119834
12/01/2017 00:00:00,74696.2073,152725
11/01/2017 00:00:00,756896,250032
10/01/2017 00:00:00,48473,98958
09/01/2017 00:00:00,29852.4224,59686
08/01/2017 00:00:00,35309,71273
07/01/2017 00:00:00,15000,30000
06/01/2017 00:00:00,25008.1043,43150
05/01/2017 00:00:00,15349,30000
04/01/2017 00:00:00,15000,30000
03/01/2017 00:00:00,98571.357,169370
02/01/2017 00:00:00,15325,30000
01/01/2017 00:00:00,15000,30000
12/01/2016 00:00:00,15009.4567,38647
