Date,TotalBuy,TotalSell
05/01/2023 00:00:00,60530,1903
04/01/2023 00:00:00,0,3556
03/01/2023 00:00:00,0,12746
02/01/2023 00:00:00,1454762,552219
12/01/2022 00:00:00,7102,7102
09/01/2022 00:00:00,0,5000
08/01/2022 00:00:00,12274,60507
07/01/2022 00:00:00,2078,6000
05/01/2022 00:00:00,20727,946
04/01/2022 00:00:00,32851,1587
03/01/2022 00:00:00,8003,22252
02/01/2022 00:00:00,518474,193930
01/01/2022 00:00:00,0,27403
08/01/2021 00:00:00,0,1115
06/01/2021 00:00:00,0,60030
05/01/2021 00:00:00,20400,1902
04/01/2021 00:00:00,21630,0
03/01/2021 00:00:00,42105,213228
02/01/2021 00:00:00,48299,18289
12/01/2020 00:00:00,5000,5000
10/01/2020 00:00:00,5293,0
06/01/2020 00:00:00,0,122311
05/01/2020 00:00:00,46263,0
03/01/2020 00:00:00,207252,0
02/01/2020 00:00:00,4745,0
12/01/2019 00:00:00,10603,10603
11/01/2019 00:00:00,5000,5000
09/01/2019 00:00:00,20000,0
08/01/2019 00:00:00,21858,0
05/01/2019 00:00:00,85937,168478
03/01/2019 00:00:00,18315,20767
02/01/2019 00:00:00,240942,1787
12/01/2018 00:00:00,13422,49548
11/01/2018 00:00:00,0,41865
07/01/2018 00:00:00,0,8135
05/01/2018 00:00:00,28875,0
03/01/2018 00:00:00,77662,251585
02/01/2018 00:00:00,73647,1280
12/01/2017 00:00:00,65000,962399
11/01/2017 00:00:00,60000,60000
08/01/2017 00:00:00,0,2841240
07/01/2017 00:00:00,2350,3749005
06/01/2017 00:00:00,0,826694
05/01/2017 00:00:00,51957,113943
03/01/2017 00:00:00,132524,3054737
