Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,40020
05/01/2023 00:00:00,0,673
04/01/2023 00:00:00,1079,0
03/01/2023 00:00:00,0,84059
02/01/2023 00:00:00,295400,128496
01/01/2023 00:00:00,20352,0
12/01/2022 00:00:00,0,57705
11/01/2022 00:00:00,0,4280
09/01/2022 00:00:00,0,2696
08/01/2022 00:00:00,0,62600
07/01/2022 00:00:00,8284,0
06/01/2022 00:00:00,0,6630
05/01/2022 00:00:00,6423,0
03/01/2022 00:00:00,0,81466
02/01/2022 00:00:00,238110,97497
01/01/2022 00:00:00,25496,0
12/01/2021 00:00:00,0,70465
11/01/2021 00:00:00,0,4200
10/01/2021 00:00:00,161,0
09/01/2021 00:00:00,0,6000
08/01/2021 00:00:00,0,10000
05/01/2021 00:00:00,0,10500
03/01/2021 00:00:00,0,83039
02/01/2021 00:00:00,230149,139185
01/01/2021 00:00:00,81816,0
12/01/2020 00:00:00,89,0
11/01/2020 00:00:00,0,12650
09/01/2020 00:00:00,37104,0
08/01/2020 00:00:00,0,311
07/01/2020 00:00:00,0,734
06/01/2020 00:00:00,0,803
03/01/2020 00:00:00,0,62792
02/01/2020 00:00:00,303245,123117
01/01/2020 00:00:00,87840,0
12/01/2019 00:00:00,146,0
10/01/2019 00:00:00,534,0
07/01/2019 00:00:00,0,715
06/01/2019 00:00:00,0,3000
05/01/2019 00:00:00,0,1200
04/01/2019 00:00:00,695,0
03/01/2019 00:00:00,0,132753
02/01/2019 00:00:00,496991,208939
01/01/2019 00:00:00,83450,0
12/01/2018 00:00:00,1783,2850
11/01/2018 00:00:00,0,25175
06/01/2018 00:00:00,2309,6700
05/01/2018 00:00:00,0,5500
04/01/2018 00:00:00,1459,0
03/01/2018 00:00:00,55280,22431
02/01/2018 00:00:00,370540,151142
01/01/2018 00:00:00,75402,0
11/01/2017 00:00:00,0,13200
06/01/2017 00:00:00,7043,21113
03/01/2017 00:00:00,0,31968
02/01/2017 00:00:00,215701,86473
01/01/2017 00:00:00,20050,3850
11/01/2016 00:00:00,0,7823
09/01/2016 00:00:00,0,36989
08/01/2016 00:00:00,0,3000
06/01/2016 00:00:00,7051,22800
03/01/2016 00:00:00,0,135192
