Date,TotalBuy,TotalSell
06/01/2023 00:00:00,3569.34,11230
05/01/2023 00:00:00,85671.299,181467.598
03/01/2023 00:00:00,625871.6560000001,433361.512
02/01/2023 00:00:00,62900,98167
12/01/2022 00:00:00,150.21,3973
11/01/2022 00:00:00,60102,139323
10/01/2022 00:00:00,0,17600
09/01/2022 00:00:00,2094.08,3290.764
08/01/2022 00:00:00,30688,68343
07/01/2022 00:00:00,24331,24331
06/01/2022 00:00:00,44825.028,83014.256
05/01/2022 00:00:00,20079.510000000002,13827.02
03/01/2022 00:00:00,553918.407,357335
02/01/2022 00:00:00,103128.67,164117
01/01/2022 00:00:00,2316,0
12/01/2021 00:00:00,13600.23,21480
11/01/2021 00:00:00,11600,46156
09/01/2021 00:00:00,27326.204999999998,41451.409999999996
08/01/2021 00:00:00,1804.171,2502.342
07/01/2021 00:00:00,600,2700
06/01/2021 00:00:00,14048.1,35900
05/01/2021 00:00:00,37722.3,15438
04/01/2021 00:00:00,2379.7,0
03/01/2021 00:00:00,664609.3,241529
02/01/2021 00:00:00,44093.90000000001,58272.1
12/01/2020 00:00:00,44200,92565
11/01/2020 00:00:00,276134,447426
08/01/2020 00:00:00,38217,88147
07/01/2020 00:00:00,3950,3950
06/01/2020 00:00:00,270,1270
05/01/2020 00:00:00,31540,16355
04/01/2020 00:00:00,0,250
03/01/2020 00:00:00,640328.1999999998,297405
02/01/2020 00:00:00,62508,98236
12/01/2019 00:00:00,82800,166500
11/01/2019 00:00:00,4198,9846
09/01/2019 00:00:00,18000,36000
08/01/2019 00:00:00,0,2250
07/01/2019 00:00:00,0,2250
06/01/2019 00:00:00,0,5562
05/01/2019 00:00:00,33247,24120
04/01/2019 00:00:00,6134,12268
03/01/2019 00:00:00,326225,119836
02/01/2019 00:00:00,48400,90601
12/01/2018 00:00:00,25050,31657
11/01/2018 00:00:00,748,1496
09/01/2018 00:00:00,12500,29985
08/01/2018 00:00:00,21767,49034
07/01/2018 00:00:00,326,326
06/01/2018 00:00:00,10006,9090
05/01/2018 00:00:00,54203,57449
03/01/2018 00:00:00,308516,93754
02/01/2018 00:00:00,26661,55388
01/01/2018 00:00:00,68032,119627
12/01/2017 00:00:00,9254,15200
11/01/2017 00:00:00,1712,6790
09/01/2017 00:00:00,9967,24484
08/01/2017 00:00:00,11422,31266
06/01/2017 00:00:00,21600,47200
05/01/2017 00:00:00,69129,70776
