Date,TotalBuy,TotalSell
06/01/2023 00:00:00,2500,5435
05/01/2023 00:00:00,5435,1265
03/01/2023 00:00:00,1250,1794
02/01/2023 00:00:00,13815,2500
01/01/2023 00:00:00,400,400
11/01/2022 00:00:00,0,257
08/01/2022 00:00:00,0,3065
06/01/2022 00:00:00,500,640
05/01/2022 00:00:00,9448,2389
03/01/2022 00:00:00,2200,1500
02/01/2022 00:00:00,13644,1432
12/01/2021 00:00:00,1800,1800
11/01/2021 00:00:00,1000,25754
10/01/2021 00:00:00,0,2248
09/01/2021 00:00:00,0,9508
08/01/2021 00:00:00,0,26965
07/01/2021 00:00:00,0,4419
06/01/2021 00:00:00,2055,33399
05/01/2021 00:00:00,3870,12497
03/01/2021 00:00:00,0,5405
02/01/2021 00:00:00,8037,1210
12/01/2020 00:00:00,0,289
09/01/2020 00:00:00,1200,3400
08/01/2020 00:00:00,11000,20913
07/01/2020 00:00:00,500,500
06/01/2020 00:00:00,1000,1955
05/01/2020 00:00:00,5976,7676
03/01/2020 00:00:00,1500,1500
02/01/2020 00:00:00,14773,1300
11/01/2019 00:00:00,0,246
09/01/2019 00:00:00,0,70
08/01/2019 00:00:00,0,3575
06/01/2019 00:00:00,500,4206
05/01/2019 00:00:00,54300,58784
04/01/2019 00:00:00,2000,2000
03/01/2019 00:00:00,10000,17650
01/01/2019 00:00:00,2150,2150
12/01/2018 00:00:00,3650,1650
11/01/2018 00:00:00,0,337
09/01/2018 00:00:00,0,6000
08/01/2018 00:00:00,1500,3464
06/01/2018 00:00:00,2500,3069
05/01/2018 00:00:00,53750,56385
03/01/2018 00:00:00,1000,900
12/01/2017 00:00:00,4706,4472
11/01/2017 00:00:00,2000,4000
10/01/2017 00:00:00,2000,2000
09/01/2017 00:00:00,0,4364
08/01/2017 00:00:00,500,500
06/01/2017 00:00:00,0,3201
