Date,TotalBuy,TotalSell
06/01/2023 00:00:00,55196,129018
05/01/2023 00:00:00,603510,60417
02/01/2023 00:00:00,54986,5047983
01/01/2023 00:00:00,0,45000
12/01/2022 00:00:00,0,87500
11/01/2022 00:00:00,0,84133
09/01/2022 00:00:00,5438,0
08/01/2022 00:00:00,113721,0
06/01/2022 00:00:00,1296578,339962
05/01/2022 00:00:00,448085,139829
03/01/2022 00:00:00,0,7500
02/01/2022 00:00:00,81611,0
12/01/2021 00:00:00,0,255000
11/01/2021 00:00:00,3920,9239372
10/01/2021 00:00:00,0,190931
09/01/2021 00:00:00,0,438260
08/01/2021 00:00:00,37848,312439
07/01/2021 00:00:00,0,388913
06/01/2021 00:00:00,0,265163
05/01/2021 00:00:00,279303,289063
04/01/2021 00:00:00,0,150246
03/01/2021 00:00:00,0,1832852
02/01/2021 00:00:00,0,17232574
12/01/2020 00:00:00,0,50000
11/01/2020 00:00:00,388933,3750000
10/01/2020 00:00:00,8210817,1695575
05/01/2020 00:00:00,10000,0
