Date,TotalBuy,TotalSell
05/01/2023 00:00:00,60252,0
04/01/2023 00:00:00,51528,10167
02/01/2023 00:00:00,0,90668
01/01/2023 00:00:00,273584,0
10/01/2022 00:00:00,4336,0
07/01/2022 00:00:00,1258,0
05/01/2022 00:00:00,42578,0
04/01/2022 00:00:00,0,9864
03/01/2022 00:00:00,0,5416
02/01/2022 00:00:00,0,105077
01/01/2022 00:00:00,227405,34041
12/01/2021 00:00:00,0,25518
11/01/2021 00:00:00,0,22289
10/01/2021 00:00:00,1054,14375
09/01/2021 00:00:00,0,37042
08/01/2021 00:00:00,0,9542
07/01/2021 00:00:00,1080,12875
06/01/2021 00:00:00,0,24542
05/01/2021 00:00:00,29167,11004
04/01/2021 00:00:00,1190,45699
03/01/2021 00:00:00,0,21626
02/01/2021 00:00:00,0,221576
01/01/2021 00:00:00,197049,0
12/01/2020 00:00:00,0,976
11/01/2020 00:00:00,0,22500
10/01/2020 00:00:00,3440,17300
07/01/2020 00:00:00,4350,0
05/01/2020 00:00:00,103354,1461
04/01/2020 00:00:00,20979,1904
03/01/2020 00:00:00,22840,0
02/01/2020 00:00:00,0,224651
01/01/2020 00:00:00,509626,0
12/01/2019 00:00:00,0,7079
11/01/2019 00:00:00,0,2222
10/01/2019 00:00:00,2603,2222
09/01/2019 00:00:00,0,2222
08/01/2019 00:00:00,0,2222
07/01/2019 00:00:00,2784,17222
06/01/2019 00:00:00,0,2222
05/01/2019 00:00:00,59039,8388
04/01/2019 00:00:00,3140,4258
03/01/2019 00:00:00,0,59533
02/01/2019 00:00:00,271059,291968
01/01/2019 00:00:00,270159,0
12/01/2018 00:00:00,0,4415
11/01/2018 00:00:00,0,25000
10/01/2018 00:00:00,2932,0
08/01/2018 00:00:00,15974,0
07/01/2018 00:00:00,2380,0
05/01/2018 00:00:00,51887,5697
04/01/2018 00:00:00,2303,0
03/01/2018 00:00:00,0,46462
02/01/2018 00:00:00,221305,57554
01/01/2018 00:00:00,273486,0
12/01/2017 00:00:00,13043,8664
11/01/2017 00:00:00,2889,5778
10/01/2017 00:00:00,5464,5774
09/01/2017 00:00:00,2887,5774
08/01/2017 00:00:00,2888,5776
07/01/2017 00:00:00,5879,5774
06/01/2017 00:00:00,2268,4536
