Date,TotalBuy,TotalSell
06/01/2023 00:00:00,225507,463041
05/01/2023 00:00:00,41480,54066
04/01/2023 00:00:00,420000,840000
03/01/2023 00:00:00,573260,564199
02/01/2023 00:00:00,70000,145695
01/01/2023 00:00:00,141420,280000
12/01/2022 00:00:00,240000,0
11/01/2022 00:00:00,21000,87540
09/01/2022 00:00:00,4000,4000
08/01/2022 00:00:00,4000,4000
07/01/2022 00:00:00,1621,9
06/01/2022 00:00:00,3000,6000
05/01/2022 00:00:00,38099,16032
03/01/2022 00:00:00,141305,33181
02/01/2022 00:00:00,118458,0
01/01/2022 00:00:00,2675,2000
12/01/2021 00:00:00,289752,571236
11/01/2021 00:00:00,302507,598596
10/01/2021 00:00:00,340000,680000
09/01/2021 00:00:00,1094900,2189800
08/01/2021 00:00:00,345000,690549
07/01/2021 00:00:00,356234,700000
06/01/2021 00:00:00,392928,751902
05/01/2021 00:00:00,355000,712230
04/01/2021 00:00:00,360000,725000
03/01/2021 00:00:00,489968,692556
02/01/2021 00:00:00,340000,684000
01/01/2021 00:00:00,340000,684000
12/01/2020 00:00:00,609234,728778
11/01/2020 00:00:00,358181,720619
10/01/2020 00:00:00,328000,674000
09/01/2020 00:00:00,265085,543150
08/01/2020 00:00:00,230802,485633
07/01/2020 00:00:00,328000,663000
06/01/2020 00:00:00,394800,368192
05/01/2020 00:00:00,31000,36000
04/01/2020 00:00:00,1343,7398
03/01/2020 00:00:00,95354,10924
02/01/2020 00:00:00,170000,324000
01/01/2020 00:00:00,1512,1512
12/01/2019 00:00:00,184000,366810
11/01/2019 00:00:00,4000,16000
10/01/2019 00:00:00,384000,760194
09/01/2019 00:00:00,228000,382500
08/01/2019 00:00:00,433000,864500
07/01/2019 00:00:00,428518,867018
06/01/2019 00:00:00,265510,423138
05/01/2019 00:00:00,257110,490720
04/01/2019 00:00:00,147988,309476
03/01/2019 00:00:00,128763,31010
01/01/2019 00:00:00,4500,0
12/01/2018 00:00:00,9463,1621
06/01/2018 00:00:00,4462031,7560077
04/01/2018 00:00:00,10000,0
02/01/2018 00:00:00,20000,0
01/01/2018 00:00:00,80781,20372
12/01/2017 00:00:00,15064,15064
11/01/2017 00:00:00,9734996,19469992
