Date,TotalBuy,TotalSell
06/01/2023 00:00:00,19000,0
05/01/2023 00:00:00,1299393,368200
04/01/2023 00:00:00,94.8,0
03/01/2023 00:00:00,0,6450
02/01/2023 00:00:00,804800,1609600
01/01/2023 00:00:00,876.15,0
11/01/2022 00:00:00,324400,648800
10/01/2022 00:00:00,112.82,7000
08/01/2022 00:00:00,142000,284000
07/01/2022 00:00:00,20100.4,40000
05/01/2022 00:00:00,872396,0
04/01/2022 00:00:00,86.9,0
01/01/2022 00:00:00,380866.02,0
12/01/2021 00:00:00,1365800,2296600
11/01/2021 00:00:00,54800,109600
10/01/2021 00:00:00,363350.46,363276
09/01/2021 00:00:00,381578,469078
08/01/2021 00:00:00,382400,757800
07/01/2021 00:00:00,1913.65,0
05/01/2021 00:00:00,3347224,3118000
04/01/2021 00:00:00,66.65,0
01/01/2021 00:00:00,39.42,0
12/01/2020 00:00:00,13334,13334
11/01/2020 00:00:00,676600,1380994
10/01/2020 00:00:00,158546.75,317000
09/01/2020 00:00:00,60900,128100
08/01/2020 00:00:00,85000,170000
07/01/2020 00:00:00,46030.64,88000
06/01/2020 00:00:00,795567,1563149
05/01/2020 00:00:00,1642692,15000
04/01/2020 00:00:00,40.79,0
03/01/2020 00:00:00,6666,6666
02/01/2020 00:00:00,35000,37385
01/01/2020 00:00:00,10099.24,10000
12/01/2019 00:00:00,18000,36000
11/01/2019 00:00:00,116000,218360
10/01/2019 00:00:00,577622.26,1118766
07/01/2019 00:00:00,84.71000000000001,0
05/01/2019 00:00:00,1644304,0
04/01/2019 00:00:00,659108.72,1258600
03/01/2019 00:00:00,94000,159000
02/01/2019 00:00:00,31000,62000
01/01/2019 00:00:00,99.31,1400
12/01/2018 00:00:00,545,0
11/01/2018 00:00:00,0,3500
10/01/2018 00:00:00,95.88,0
09/01/2018 00:00:00,23500,47000
08/01/2018 00:00:00,47200,103413
07/01/2018 00:00:00,675082.64,1287000
05/01/2018 00:00:00,1713328,0
04/01/2018 00:00:00,219.65,0
02/01/2018 00:00:00,10000,20000
01/01/2018 00:00:00,161.89999999999998,0
11/01/2017 00:00:00,620000,1163000
10/01/2017 00:00:00,308160.26,616000
08/01/2017 00:00:00,463200,911400
07/01/2017 00:00:00,138547.90000000002,0
06/01/2017 00:00:00,25600,92000
