Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,1029423
05/01/2023 00:00:00,628593,1442189
02/01/2023 00:00:00,0,737939
01/01/2023 00:00:00,643617,202519
12/01/2022 00:00:00,0,100000
11/01/2022 00:00:00,0,1051420
10/01/2022 00:00:00,2000000,700000
08/01/2022 00:00:00,20000,40000
07/01/2022 00:00:00,13935,0
04/01/2022 00:00:00,0,26879
02/01/2022 00:00:00,0,690391
01/01/2022 00:00:00,619689,600501
11/01/2021 00:00:00,0,971391
10/01/2021 00:00:00,0,32122
09/01/2021 00:00:00,425000,654166
08/01/2021 00:00:00,320000,431750
07/01/2021 00:00:00,1082812,1611607
06/01/2021 00:00:00,5106,110000
05/01/2021 00:00:00,42274,198462
04/01/2021 00:00:00,537500,805801
03/01/2021 00:00:00,0,16720
02/01/2021 00:00:00,0,417628
01/01/2021 00:00:00,2882756,188608
12/01/2020 00:00:00,666667,2029303
11/01/2020 00:00:00,250000,500288
10/01/2020 00:00:00,0,340719
09/01/2020 00:00:00,90000,599612
08/01/2020 00:00:00,128996,194167
07/01/2020 00:00:00,0,249972
06/01/2020 00:00:00,350189,3628995
05/01/2020 00:00:00,193612,2283824
04/01/2020 00:00:00,0,1139043
03/01/2020 00:00:00,0,14554
02/01/2020 00:00:00,105681,211362
01/01/2020 00:00:00,803417,1182603
12/01/2019 00:00:00,0,325000
11/01/2019 00:00:00,375000,0
07/01/2019 00:00:00,11220,696221
06/01/2019 00:00:00,142272,1088323
05/01/2019 00:00:00,0,17761
03/01/2019 00:00:00,21267,7349
01/01/2019 00:00:00,151626,101364
11/01/2018 00:00:00,500000,0
08/01/2018 00:00:00,7500,0
07/01/2018 00:00:00,2000000,0
05/01/2018 00:00:00,41283,17422
03/01/2018 00:00:00,22989,3141
01/01/2018 00:00:00,29047,7207
05/01/2017 00:00:00,0,8603
03/01/2017 00:00:00,27248,0
01/01/2017 00:00:00,146171,2963
08/01/2016 00:00:00,100000,0
03/01/2016 00:00:00,36497,0
01/01/2016 00:00:00,30348,0
12/01/2015 00:00:00,10000,0
