Date,TotalBuy,TotalSell
06/01/2023 00:00:00,414,6524
05/01/2023 00:00:00,139506,1426
04/01/2023 00:00:00,0,13659
03/01/2023 00:00:00,315754,17866
02/01/2023 00:00:00,11246,0
01/01/2023 00:00:00,0,1942
11/01/2022 00:00:00,0,8500
10/01/2022 00:00:00,0,1214
09/01/2022 00:00:00,0,1327
08/01/2022 00:00:00,11560,0
07/01/2022 00:00:00,0,5776
06/01/2022 00:00:00,37500,10417
05/01/2022 00:00:00,135993,0
03/01/2022 00:00:00,192090,0
01/01/2022 00:00:00,16764,0
08/01/2021 00:00:00,230723,0
06/01/2021 00:00:00,82502,0
03/01/2021 00:00:00,88203,35713217
12/01/2020 00:00:00,0,36656250
10/01/2020 00:00:00,712430,47625000
