Date,TotalBuy,TotalSell
05/01/2023 00:00:00,63960,59700
03/01/2023 00:00:00,17636.719999999998,3966
02/01/2023 00:00:00,0,12500
11/01/2022 00:00:00,31224,15835
10/01/2022 00:00:00,0,2
06/01/2022 00:00:00,1000,0
05/01/2022 00:00:00,50790,38590
03/01/2022 00:00:00,16858.158,4956
02/01/2022 00:00:00,0,950.11
01/01/2022 00:00:00,35,0
12/01/2021 00:00:00,51826,99826
11/01/2021 00:00:00,43927,20711
10/01/2021 00:00:00,565.3304,0
09/01/2021 00:00:00,0,1375
08/01/2021 00:00:00,0,5000
07/01/2021 00:00:00,518.486,0
05/01/2021 00:00:00,58145,39798
04/01/2021 00:00:00,510.799,0
03/01/2021 00:00:00,31102.640000000007,9625
02/01/2021 00:00:00,500,0
01/01/2021 00:00:00,528.0931,0
12/01/2020 00:00:00,500,239515
11/01/2020 00:00:00,44614,25948
10/01/2020 00:00:00,491.32640000000004,0
08/01/2020 00:00:00,5060,4265
07/01/2020 00:00:00,467.34819999999996,0
06/01/2020 00:00:00,2000,0
05/01/2020 00:00:00,63090,34021
04/01/2020 00:00:00,486.9402,0
03/01/2020 00:00:00,15125.349999999999,0
01/01/2020 00:00:00,423.9085,0
11/01/2019 00:00:00,60114,32178
10/01/2019 00:00:00,824.3224,0
07/01/2019 00:00:00,446.36199999999997,0
05/01/2019 00:00:00,71685,39355
04/01/2019 00:00:00,458.8338,0
03/01/2019 00:00:00,18048.719999999998,0
02/01/2019 00:00:00,6901,6901
01/01/2019 00:00:00,639.3960000000001,0
11/01/2018 00:00:00,63134,35092
10/01/2018 00:00:00,254.844,0
08/01/2018 00:00:00,37739,74739
07/01/2018 00:00:00,263.544,0
06/01/2018 00:00:00,310,430
05/01/2018 00:00:00,71460,40224
04/01/2018 00:00:00,285.389,0
03/01/2018 00:00:00,33000,2500
01/01/2018 00:00:00,278.134,0
12/01/2017 00:00:00,0,2232.01
11/01/2017 00:00:00,69043,40422
10/01/2017 00:00:00,281.981,0
08/01/2017 00:00:00,4560,750
07/01/2017 00:00:00,282.207,0
05/01/2017 00:00:00,35325,42153
