Date,TotalBuy,TotalSell
05/01/2023 00:00:00,12175,0
02/01/2023 00:00:00,36582,6569
01/01/2023 00:00:00,0,3624
12/01/2022 00:00:00,826,0
06/01/2022 00:00:00,0,693
05/01/2022 00:00:00,12713,1029
04/01/2022 00:00:00,7629,0
02/01/2022 00:00:00,13897,0
01/01/2022 00:00:00,25632,15496
11/01/2021 00:00:00,34021,71580
05/01/2021 00:00:00,9945,661
03/01/2021 00:00:00,842,0
02/01/2021 00:00:00,16158,0
01/01/2021 00:00:00,37336,19513
09/01/2020 00:00:00,0,609
08/01/2020 00:00:00,14174,26226
05/01/2020 00:00:00,14126,0
04/01/2020 00:00:00,4060,149
03/01/2020 00:00:00,4660,9007
02/01/2020 00:00:00,16571,15771.1723
01/01/2020 00:00:00,65939,33728
09/01/2019 00:00:00,0,10000
08/01/2019 00:00:00,6908,17839
07/01/2019 00:00:00,2823,0
06/01/2019 00:00:00,2140,3372
05/01/2019 00:00:00,76319,134026
02/01/2019 00:00:00,23207,0
01/01/2019 00:00:00,49321,25170
11/01/2018 00:00:00,6096,10096
09/01/2018 00:00:00,10000,20000
08/01/2018 00:00:00,11634,23268
05/01/2018 00:00:00,30124,37792
03/01/2018 00:00:00,518,0
02/01/2018 00:00:00,26164,0
01/01/2018 00:00:00,57314,33178
11/01/2017 00:00:00,6723,13579
08/01/2017 00:00:00,15169,33673
05/01/2017 00:00:00,10353,3747
03/01/2017 00:00:00,23383,46022
02/01/2017 00:00:00,21250,62
01/01/2017 00:00:00,97225,81567
