Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,6000
05/01/2023 00:00:00,0,5000
03/01/2023 00:00:00,84504,61173
02/01/2023 00:00:00,0,13056
01/01/2023 00:00:00,0,15000
11/01/2022 00:00:00,0,2000
09/01/2022 00:00:00,72721,50463
08/01/2022 00:00:00,182011,171705
06/01/2022 00:00:00,239589,365732
03/01/2022 00:00:00,76293,73899
12/01/2021 00:00:00,0,5720
11/01/2021 00:00:00,0,67241
09/01/2021 00:00:00,72016,83501
08/01/2021 00:00:00,692738,125873
07/01/2021 00:00:00,7603,10851
06/01/2021 00:00:00,160000,244240
05/01/2021 00:00:00,0,5000
04/01/2021 00:00:00,3637,5040
03/01/2021 00:00:00,59237,70235
02/01/2021 00:00:00,0,39256
12/01/2020 00:00:00,8127,58152
11/01/2020 00:00:00,0,4500
10/01/2020 00:00:00,1265,1901
09/01/2020 00:00:00,56655,82969
08/01/2020 00:00:00,229350,98022
07/01/2020 00:00:00,17202,23281
06/01/2020 00:00:00,232000,354148
04/01/2020 00:00:00,3637,4894
03/01/2020 00:00:00,88396,20451
01/01/2020 00:00:00,7228,10174
12/01/2019 00:00:00,9737,20449
10/01/2019 00:00:00,1265,1901
09/01/2019 00:00:00,101944,53389
08/01/2019 00:00:00,175392,126333
07/01/2019 00:00:00,23103,31488
06/01/2019 00:00:00,304000,464056
03/01/2019 00:00:00,5549,0
12/01/2018 00:00:00,1669,2480
11/01/2018 00:00:00,746,1108
10/01/2018 00:00:00,1264,1899
09/01/2018 00:00:00,596200,0
08/01/2018 00:00:00,110868,162069
07/01/2018 00:00:00,5210,3604
06/01/2018 00:00:00,256000,390784
05/01/2018 00:00:00,0,57539
03/01/2018 00:00:00,0,9000
01/01/2018 00:00:00,1055,1613
12/01/2017 00:00:00,3885,26059
11/01/2017 00:00:00,746,8286
08/01/2017 00:00:00,383738,153695
07/01/2017 00:00:00,4701,2349
06/01/2017 00:00:00,288000,447115
02/01/2017 00:00:00,0,3500
01/01/2017 00:00:00,1055,1613
12/01/2016 00:00:00,3126,13534
11/01/2016 00:00:00,745,16024
09/01/2016 00:00:00,83200,0
08/01/2016 00:00:00,435545,109846
