Date,TotalBuy,TotalSell
06/01/2023 00:00:00,119776,196383
05/01/2023 00:00:00,24658,46624
04/01/2023 00:00:00,293856.15,332656
03/01/2023 00:00:00,817743,1217764
02/01/2023 00:00:00,5439915,2888773
01/01/2023 00:00:00,644852,938581
12/01/2022 00:00:00,15853,33362
11/01/2022 00:00:00,18526,45567
10/01/2022 00:00:00,15852,131704
09/01/2022 00:00:00,22180,38752
08/01/2022 00:00:00,92217,137545
07/01/2022 00:00:00,15853,31706
06/01/2022 00:00:00,65852,87749
05/01/2022 00:00:00,18527,35859
04/01/2022 00:00:00,113242.83000000002,35776
03/01/2022 00:00:00,945461,1410696
02/01/2022 00:00:00,6665496,2989885
01/01/2022 00:00:00,592818,879910
12/01/2021 00:00:00,117819,141948
11/01/2021 00:00:00,256270,295088
10/01/2021 00:00:00,17819,157715
09/01/2021 00:00:00,17818,45636
08/01/2021 00:00:00,17818,120636
07/01/2021 00:00:00,17819,62638
06/01/2021 00:00:00,17818,65636
05/01/2021 00:00:00,17819,35638
04/01/2021 00:00:00,1114754.32,1036280
03/01/2021 00:00:00,1437570,2145520
02/01/2021 00:00:00,3888623,1993654
01/01/2021 00:00:00,18132,36264
12/01/2020 00:00:00,18132,49935
11/01/2020 00:00:00,18131,63635
10/01/2020 00:00:00,18132,116799
09/01/2020 00:00:00,18132,36264
08/01/2020 00:00:00,6454413,36264
07/01/2020 00:00:00,78673856,36262
06/01/2020 00:00:00,18132,36264
05/01/2020 00:00:00,18132,36264
04/01/2020 00:00:00,221337.63,42789
03/01/2020 00:00:00,1356212,2035059
02/01/2020 00:00:00,3914714,1947474
01/01/2020 00:00:00,57838,43676
12/01/2019 00:00:00,21838,69426
11/01/2019 00:00:00,21838,43676
10/01/2019 00:00:00,21838,2383753.193
09/01/2019 00:00:00,21838,43676
08/01/2019 00:00:00,21838,43676
07/01/2019 00:00:00,30434.57,140524
06/01/2019 00:00:00,21838,45535
05/01/2019 00:00:00,21838,43676
04/01/2019 00:00:00,161072.90999999997,196812
03/01/2019 00:00:00,2278770,2944000
02/01/2019 00:00:00,4572932,2226027
01/01/2019 00:00:00,17272,34544
12/01/2018 00:00:00,17272,46834
11/01/2018 00:00:00,17272,35182
10/01/2018 00:00:00,22031.45,54544
09/01/2018 00:00:00,17272,34544
08/01/2018 00:00:00,2119488,4229832
07/01/2018 00:00:00,17272,115490
06/01/2018 00:00:00,17272,64544
05/01/2018 00:00:00,358609,375881
04/01/2018 00:00:00,147659.32,39616
03/01/2018 00:00:00,1200974,2355538
02/01/2018 00:00:00,3990370,2469498
01/01/2018 00:00:00,19858,39716
12/01/2017 00:00:00,22375,59716
11/01/2017 00:00:00,19859,39718
10/01/2017 00:00:00,19858,43593
09/01/2017 00:00:00,19858,39716
08/01/2017 00:00:00,19859,126481
07/01/2017 00:00:00,19858,39716
06/01/2017 00:00:00,0,39716
