Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,2367
05/01/2023 00:00:00,0,18751
04/01/2023 00:00:00,6161,0
03/01/2023 00:00:00,2928,0
02/01/2023 00:00:00,196395,88738
01/01/2023 00:00:00,6188,4203
10/01/2022 00:00:00,7383,77
09/01/2022 00:00:00,0,1350
08/01/2022 00:00:00,0,526
07/01/2022 00:00:00,6521,0
06/01/2022 00:00:00,0,970
05/01/2022 00:00:00,2696,19523
04/01/2022 00:00:00,7458,1491
03/01/2022 00:00:00,0,2040
02/01/2022 00:00:00,203644,99659
01/01/2022 00:00:00,16003,9789
12/01/2021 00:00:00,10000,10000
11/01/2021 00:00:00,0,426
10/01/2021 00:00:00,6884,0
09/01/2021 00:00:00,0,55
08/01/2021 00:00:00,0,1249
07/01/2021 00:00:00,5196,0
06/01/2021 00:00:00,0,361
05/01/2021 00:00:00,0,1216
04/01/2021 00:00:00,4437,0
03/01/2021 00:00:00,0,1000
02/01/2021 00:00:00,98481,29669
01/01/2021 00:00:00,5305,0
12/01/2020 00:00:00,2000,3091
11/01/2020 00:00:00,0,212
10/01/2020 00:00:00,12098,0
08/01/2020 00:00:00,0,3949
07/01/2020 00:00:00,7641,0
06/01/2020 00:00:00,5090,0
05/01/2020 00:00:00,0,484
04/01/2020 00:00:00,10726,0
02/01/2020 00:00:00,87932,14479
01/01/2020 00:00:00,8145,0
12/01/2019 00:00:00,0,1078
11/01/2019 00:00:00,1837,3907
10/01/2019 00:00:00,20287,23000
09/01/2019 00:00:00,35000,70000
08/01/2019 00:00:00,0,552
07/01/2019 00:00:00,10407,0
06/01/2019 00:00:00,1200,0
05/01/2019 00:00:00,5491,1443
04/01/2019 00:00:00,15137,0
03/01/2019 00:00:00,5450,10900
02/01/2019 00:00:00,119251,13957
01/01/2019 00:00:00,11996,0
12/01/2018 00:00:00,3310,4091
11/01/2018 00:00:00,13235,252
10/01/2018 00:00:00,30804,5446
09/01/2018 00:00:00,12000,18554
08/01/2018 00:00:00,0,204
07/01/2018 00:00:00,8096,0
06/01/2018 00:00:00,57500,115000
05/01/2018 00:00:00,33742,64675
04/01/2018 00:00:00,8177,0
03/01/2018 00:00:00,0,200
02/01/2018 00:00:00,126547,11403
01/01/2018 00:00:00,7799,0
12/01/2017 00:00:00,0,10791
11/01/2017 00:00:00,0,251
10/01/2017 00:00:00,9690,0
08/01/2017 00:00:00,0,224
07/01/2017 00:00:00,15140,13479
06/01/2017 00:00:00,62571,125142
05/01/2017 00:00:00,0,4774
04/01/2017 00:00:00,20623,23830
03/01/2017 00:00:00,0,150
02/01/2017 00:00:00,106205,14861
01/01/2017 00:00:00,7143,0
