Date,TotalBuy,TotalSell
03/01/2023 00:00:00,72043,65084
02/01/2023 00:00:00,56644,0
11/01/2022 00:00:00,0,13394
08/01/2022 00:00:00,0,5380
05/01/2022 00:00:00,2470,0
03/01/2022 00:00:00,52610,27016
02/01/2022 00:00:00,77502,8821
08/01/2021 00:00:00,0,5640
05/01/2021 00:00:00,2966,60415
03/01/2021 00:00:00,62108,37131
02/01/2021 00:00:00,115090,0
12/01/2020 00:00:00,0,1000
11/01/2020 00:00:00,0,2000
08/01/2020 00:00:00,0,72524
03/01/2020 00:00:00,88411,51155
02/01/2020 00:00:00,65615,3000
12/01/2019 00:00:00,0,2000
11/01/2019 00:00:00,7109,69068
08/01/2019 00:00:00,0,6747
05/01/2019 00:00:00,3500,0
03/01/2019 00:00:00,0,65090
02/01/2019 00:00:00,153797,0
01/01/2019 00:00:00,20000,0
08/01/2018 00:00:00,13986,49458
06/01/2018 00:00:00,7.848,0
05/01/2018 00:00:00,8885,33219
03/01/2018 00:00:00,6582,72899
02/01/2018 00:00:00,183503,32867
12/01/2017 00:00:00,0,250
11/01/2017 00:00:00,0,1500
09/01/2017 00:00:00,17552,35104
07/01/2017 00:00:00,0,5738
06/01/2017 00:00:00,0,1000
03/01/2017 00:00:00,0,35988
02/01/2017 00:00:00,300880,0
01/01/2017 00:00:00,0,3982
09/01/2016 00:00:00,0,2662
03/01/2016 00:00:00,0,9217
02/01/2016 00:00:00,49694,0
