Date,TotalBuy,TotalSell
06/01/2023 00:00:00,126000,83602
03/01/2023 00:00:00,128504,37942
02/01/2023 00:00:00,10000,20000
12/01/2022 00:00:00,10000,20000
11/01/2022 00:00:00,445989,9819
09/01/2022 00:00:00,1000,2000
08/01/2022 00:00:00,89630,24207
12/01/2021 00:00:00,28000,56000
11/01/2021 00:00:00,423407,73153
10/01/2021 00:00:00,14000,28000
08/01/2021 00:00:00,11410,22820
05/01/2021 00:00:00,98000,162000
03/01/2021 00:00:00,33000,66000
02/01/2021 00:00:00,75400,150800
11/01/2020 00:00:00,758614,77000
08/01/2020 00:00:00,94000,140916
05/01/2020 00:00:00,30370,0
03/01/2020 00:00:00,40000,0
11/01/2019 00:00:00,1154500,0
08/01/2019 00:00:00,5000,0
05/01/2019 00:00:00,7000,7000
04/01/2019 00:00:00,10000,20000
03/01/2019 00:00:00,10000,20000
02/01/2019 00:00:00,685400,40000
11/01/2018 00:00:00,10600,21200
05/01/2018 00:00:00,2040,0
03/01/2018 00:00:00,7500,0
02/01/2018 00:00:00,511000,0
11/01/2017 00:00:00,0,35000
10/01/2017 00:00:00,110685,64938
08/01/2017 00:00:00,816634,408317
05/01/2017 00:00:00,980182,544841
