Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,698.352
04/01/2023 00:00:00,1977,2662
03/01/2023 00:00:00,1000,2746
02/01/2023 00:00:00,644,0
12/01/2022 00:00:00,502,728
11/01/2022 00:00:00,210,3270.3809
09/01/2022 00:00:00,49372,36508
08/01/2022 00:00:00,39250,63517
04/01/2022 00:00:00,1977,2801
12/01/2021 00:00:00,502,723
11/01/2021 00:00:00,6426,14178
09/01/2021 00:00:00,89909,96191
08/01/2021 00:00:00,4400,10627
04/01/2021 00:00:00,1976,2788
02/01/2021 00:00:00,400,1323.107
12/01/2020 00:00:00,664,4974
11/01/2020 00:00:00,1200,2823
09/01/2020 00:00:00,68657,40063
08/01/2020 00:00:00,21150,36379
06/01/2020 00:00:00,37000,60360
05/01/2020 00:00:00,0,443
04/01/2020 00:00:00,3084,2289
12/01/2019 00:00:00,6432,6086
11/01/2019 00:00:00,0,848
09/01/2019 00:00:00,81149,57686
08/01/2019 00:00:00,0,635
05/01/2019 00:00:00,40500,65981.7315
04/01/2019 00:00:00,17000,0
12/01/2018 00:00:00,1416,10521
09/01/2018 00:00:00,90865,41329
06/01/2018 00:00:00,0,350
05/01/2018 00:00:00,41000,67191
12/01/2017 00:00:00,5192,11278
11/01/2017 00:00:00,0,3146
09/01/2017 00:00:00,115826,57945
08/01/2017 00:00:00,8520,15923
06/01/2017 00:00:00,41176,41176
05/01/2017 00:00:00,52000,90914
03/01/2017 00:00:00,7000,15298
12/01/2016 00:00:00,312,468
11/01/2016 00:00:00,0,1299
