Date,TotalBuy,TotalSell
06/01/2023 00:00:00,52129,27132
05/01/2023 00:00:00,70153.37700000001,37801
04/01/2023 00:00:00,19731,27496
03/01/2023 00:00:00,291022,114597
01/01/2023 00:00:00,709956,399922
12/01/2022 00:00:00,64138,112883
11/01/2022 00:00:00,309528,413606
07/01/2022 00:00:00,10000,0
06/01/2022 00:00:00,2776,2776
05/01/2022 00:00:00,102554,72301774
04/01/2022 00:00:00,74606,110207
03/01/2022 00:00:00,34112370,67320897
02/01/2022 00:00:00,42418166,135042177
01/01/2022 00:00:00,1100021,801431
12/01/2021 00:00:00,29708,24774
11/01/2021 00:00:00,50097840,147643984
10/01/2021 00:00:00,12080260,24247186
09/01/2021 00:00:00,0,20000
08/01/2021 00:00:00,35300718,124341476
07/01/2021 00:00:00,0,20000
06/01/2021 00:00:00,17177,50461
05/01/2021 00:00:00,53898510,107533636
04/01/2021 00:00:00,77483,43801040
03/01/2021 00:00:00,43934761,87465999
01/01/2021 00:00:00,915980,38398360
12/01/2020 00:00:00,34249,12733
11/01/2020 00:00:00,5974924,11949848
10/01/2020 00:00:00,32032117,92052417
09/01/2020 00:00:00,71275,0
08/01/2020 00:00:00,60547,84373
07/01/2020 00:00:00,28103249,56132517
05/01/2020 00:00:00,160506,15680
04/01/2020 00:00:00,59193,0
02/01/2020 00:00:00,34622,7256
01/01/2020 00:00:00,755549,265072
12/01/2019 00:00:00,15019,0
11/01/2019 00:00:00,0,15331
10/01/2019 00:00:00,7678,3839
09/01/2019 00:00:00,132258664,420496926
08/01/2019 00:00:00,90547,101059
07/01/2019 00:00:00,135497,187656
05/01/2019 00:00:00,69559,14679
02/01/2019 00:00:00,10,10
01/01/2019 00:00:00,1466790,97636
12/01/2018 00:00:00,14440,0
11/01/2018 00:00:00,101203727,433603625
10/01/2018 00:00:00,41,6
08/01/2018 00:00:00,60578,98920
07/01/2018 00:00:00,159086,227252
06/01/2018 00:00:00,34389,35
05/01/2018 00:00:00,78908,17505350
04/01/2018 00:00:00,57947,30
03/01/2018 00:00:00,0,21047746
02/01/2018 00:00:00,10,201
01/01/2018 00:00:00,764023,19985
12/01/2017 00:00:00,8478,20252936
10/01/2017 00:00:00,1530,257
08/01/2017 00:00:00,611631,9154
07/01/2017 00:00:00,935411,81861
