Date,TotalBuy,TotalSell
06/01/2023 00:00:00,2500,3109
05/01/2023 00:00:00,5000,6218
04/01/2023 00:00:00,174089,116454
03/01/2023 00:00:00,68467,43610
02/01/2023 00:00:00,540680,378323
01/01/2023 00:00:00,3333,4322
11/01/2022 00:00:00,537705,1261213
10/01/2022 00:00:00,40945,0
06/01/2022 00:00:00,13334,26668
05/01/2022 00:00:00,231,0
04/01/2022 00:00:00,364028,207487
03/01/2022 00:00:00,16667,23226
02/01/2022 00:00:00,403185,580008
11/01/2021 00:00:00,10000,0
07/01/2021 00:00:00,16667,20726
06/01/2021 00:00:00,13333,26666
05/01/2021 00:00:00,201622,328538
04/01/2021 00:00:00,94973,131036
03/01/2021 00:00:00,16666,22836
02/01/2021 00:00:00,476791,498874
01/01/2021 00:00:00,150000,300000
11/01/2020 00:00:00,250000,500000
08/01/2020 00:00:00,6250,8710
07/01/2020 00:00:00,48416,20725
06/01/2020 00:00:00,13333,16580
05/01/2020 00:00:00,133522,31249
04/01/2020 00:00:00,94972,131035
03/01/2020 00:00:00,150027.60499999998,0
02/01/2020 00:00:00,436111,243743
12/01/2019 00:00:00,94.395,0
10/01/2019 00:00:00,1250,1555
08/01/2019 00:00:00,6250,8710
07/01/2019 00:00:00,100000,0
05/01/2019 00:00:00,551702,1098856
04/01/2019 00:00:00,1008133,26433
03/01/2019 00:00:00,81250,8710
02/01/2019 00:00:00,593464,244437
12/01/2018 00:00:00,2.714,0
11/01/2018 00:00:00,0,23000
10/01/2018 00:00:00,22500,38561
08/01/2018 00:00:00,263125,423347
06/01/2018 00:00:00,568222,1136444
05/01/2018 00:00:00,519568,1034588
04/01/2018 00:00:00,959044,1830642
03/01/2018 00:00:00,368366,914323
02/01/2018 00:00:00,995805,791173
01/01/2018 00:00:00,9750,15277
12/01/2017 00:00:00,375010.556,800178
11/01/2017 00:00:00,125000,260000
10/01/2017 00:00:00,32928,38207
09/01/2017 00:00:00,625,2506
08/01/2017 00:00:00,12500,16832
06/01/2017 00:00:00,18750,23879
05/01/2017 00:00:00,282500,585998.296
04/01/2017 00:00:00,0,101942
