Date,TotalBuy,TotalSell
05/01/2023 00:00:00,50032,0
03/01/2023 00:00:00,16432,0
02/01/2023 00:00:00,215743,62392.388
07/01/2022 00:00:00,9615,0
05/01/2022 00:00:00,32403,0
04/01/2022 00:00:00,11316,0
03/01/2022 00:00:00,0,6500
02/01/2022 00:00:00,102918,46718
01/01/2022 00:00:00,9930,0
10/01/2021 00:00:00,12887,2952
09/01/2021 00:00:00,65771,0
07/01/2021 00:00:00,29772,0
06/01/2021 00:00:00,13043,4000
05/01/2021 00:00:00,0,3000
04/01/2021 00:00:00,10825,0
03/01/2021 00:00:00,228455,74500
02/01/2021 00:00:00,0,39137
01/01/2021 00:00:00,10062,0
12/01/2020 00:00:00,822745,822745
11/01/2020 00:00:00,1353232,2601791
10/01/2020 00:00:00,11740,0
09/01/2020 00:00:00,73100,0
08/01/2020 00:00:00,75000.01,0
06/01/2020 00:00:00,2403.202,0
05/01/2020 00:00:00,0,415.441
03/01/2020 00:00:00,122733.823,120000
02/01/2020 00:00:00,2074978.8,0
12/01/2019 00:00:00,2703.326,3285.32
09/01/2019 00:00:00,1588.2359999999999,0
06/01/2019 00:00:00,1569.768,0
05/01/2019 00:00:00,13156.529,0
03/01/2019 00:00:00,2023.53,0
01/01/2019 00:00:00,1163,0
12/01/2018 00:00:00,1656.978,0
11/01/2018 00:00:00,465.116,0
09/01/2018 00:00:00,60500.472,0
06/01/2018 00:00:00,1716.868,0
03/01/2018 00:00:00,2578.982,0
01/01/2018 00:00:00,9045.931,0
12/01/2017 00:00:00,1509.5669999999998,0
09/01/2017 00:00:00,1168.438,0
07/01/2017 00:00:00,312.5,0
06/01/2017 00:00:00,1319.688,12500
