Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,14242
05/01/2023 00:00:00,0,611146
04/01/2023 00:00:00,0,200000
01/01/2023 00:00:00,19700,921
12/01/2022 00:00:00,30000,51243
11/01/2022 00:00:00,10000,20000
08/01/2022 00:00:00,145777,27105
05/01/2022 00:00:00,3420,0
04/01/2022 00:00:00,1616,0
02/01/2022 00:00:00,84337,137327
01/01/2022 00:00:00,16569,0
12/01/2021 00:00:00,21210,43663
11/01/2021 00:00:00,16000,26000
09/01/2021 00:00:00,190275,476963
08/01/2021 00:00:00,283041,252831
03/01/2021 00:00:00,800,2600
01/01/2021 00:00:00,20718,1236
12/01/2020 00:00:00,800,6073
11/01/2020 00:00:00,11000,16000
10/01/2020 00:00:00,0,1649
09/01/2020 00:00:00,2339,1600
08/01/2020 00:00:00,237443,7916
06/01/2020 00:00:00,0,1800
05/01/2020 00:00:00,62500,31000
03/01/2020 00:00:00,25000,25000
01/01/2020 00:00:00,22248,0
12/01/2019 00:00:00,30631,84908
11/01/2019 00:00:00,6000,9203
10/01/2019 00:00:00,0,2291
09/01/2019 00:00:00,97679,160584
08/01/2019 00:00:00,209521,5518
06/01/2019 00:00:00,0,400000
05/01/2019 00:00:00,0,401374
01/01/2019 00:00:00,37206,0
11/01/2018 00:00:00,12000,12000
08/01/2018 00:00:00,239102,7761
06/01/2018 00:00:00,62274,62274
05/01/2018 00:00:00,0,1384
02/01/2018 00:00:00,0,1055
01/01/2018 00:00:00,38214,0
12/01/2017 00:00:00,12000,12000
10/01/2017 00:00:00,0,2411
09/01/2017 00:00:00,0,21061
08/01/2017 00:00:00,318234,6065
06/01/2017 00:00:00,43900,116347
